affiliation_id,person_id,start_inclusive,end_exclusive,state,party_id,support,date_status,date_earliest,date_latest,alternatives,evidence_ids,decision_ids
affiliation-002a4a3e3ac6,person-69c3d0fe4619,2016-03-31,2016-05-12,PARTY,MDB,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-548,PERSON-CONTINUITY-REVIEW
affiliation-017d672040b0,person-a4d00cc5738e,2023-01-01,2024-09-06,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-5e67e9e2f44e,PERSON-CONTINUITY-REVIEW
affiliation-034b56f974be,person-87ad75f8d2f9,2022-03-28,2022-03-31,PARTY,REPUBLICANOS,dated assertion plus targeted-search continuity,evidence_supported,,,[],AFF-013;AFF-014;AFF-015;AFF-055;AFF-056;BOL-E01;BOL-E02;BOL-E18;V5W6E03;V5W6E07;V5W6E09;V5W6E10,PERSON-CONTINUITY-REVIEW;R17;V5W6D02
affiliation-039f7dd7bfc6,person-a25fdc2c76f8,2016-05-12,2018-01-04,PARTY,REPUBLICANOS,adjudicated_documentary_or_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],OFF-003;OFF-012;ATLAS-578,PERSON-CONTINUITY-REVIEW;R07
affiliation-03c9fed66d5d,person-bb7b68961b8f,2023-01-01,2026-03-20,PARTY,PSB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-de8718bf31f7,PERSON-CONTINUITY-REVIEW
affiliation-046ac4ccc1d3,person-5fd0956c528c,2015-01-01,2015-03-19,PARTY,PROS,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-8702e7355c32,PERSON-CONTINUITY-REVIEW;R01
affiliation-052c0590e5d4,person-e88c07c66af0,2017-02-03,2017-12-15,PARTY,PSDB,adjudicated_documentary_or_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],OFF-003;OFF-012;OFF-013,PERSON-CONTINUITY-REVIEW
affiliation-0582c89d9bcd,person-3501522a16bc,2016-05-12,2016-05-23,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-5584b8519f7d,PERSON-CONTINUITY-REVIEW
affiliation-06b7bbeb61ed,person-c65a317c70db,2019-01-01,2022-02-08,PARTY,DEM,dated assertion plus targeted-search continuity,evidence_supported,,,[],AFF-028;AFF-029;AFF-030;AFF-044;BOL-E14;BOL-E15;BOL-E16,BOL-A01;PERSON-CONTINUITY-REVIEW
affiliation-09d1f6259269,person-95a7db1ddc55,2023-01-01,2026-03-20,PARTY,REDE,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-1d889ee6861c,PERSON-CONTINUITY-REVIEW
affiliation-0a61bf84ff67,person-9fe6d70bf384,2015-03-31,2016-05-12,PARTY,PT,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-89bba1651520,PERSON-CONTINUITY-REVIEW
affiliation-0acad5fe7baf,person-8a2d89267620,2018-01-05,2019-01-01,PARTY,REPUBLICANOS,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-579,PERSON-CONTINUITY-REVIEW;R07
affiliation-0b6f459ac1e7,person-69c3d0fe4619,2015-10-05,2016-03-31,PARTY,MDB,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-547,PERSON-CONTINUITY-REVIEW
affiliation-0ce85cff52a7,person-22683c1aec2c,2015-01-01,2016-05-12,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-3a3bd99ec9c2,PERSON-CONTINUITY-REVIEW
affiliation-0dfac208e513,person-ead656f02bfe,2016-05-12,2019-01-01,PARTY,PP,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-80fb13f63f08,PERSON-CONTINUITY-REVIEW
affiliation-0e1f4321662d,person-c0ab45f1955b,2023-01-01,2026-03-20,PARTY,PT,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-880bd4a97d76,PERSON-CONTINUITY-REVIEW
affiliation-0e608e299231,person-2b7bc2067f3b,2019-01-01,2022-03-28,UNAFFILIATED,,dated assertion plus targeted-search continuity,evidence_supported,,,[],AFF-015;AFF-016;BOL-E19,PERSON-CONTINUITY-REVIEW;R18
affiliation-0eb57fd96d71,person-6f9b22d26357,2025-03-10,2026-03-20,PARTY,PT,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-ae881085444e,PERSON-CONTINUITY-REVIEW
affiliation-10d430b823de,person-82f55f78ebd6,2016-05-12,2018-04-06,PARTY,DEM,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-6de03bbf7354,PERSON-CONTINUITY-REVIEW
affiliation-1126c806f45a,person-f1eb4370a38c,2018-05-28,2019-01-01,UNAFFILIATED,,evidence_supported_continuity,supported_date,,,[],NEW-FONSECA,PERSON-CONTINUITY-REVIEW;R12
affiliation-11634b1466ac,person-aea12d3cd8f6,2023-01-01,2024-04-02,UNAFFILIATED,,evidence_supported_continuity,supported_date,,,[],AFF-033,PERSON-CONTINUITY-REVIEW
affiliation-11917984b5cf,person-1a6fb01c17d6,2016-05-12,2019-01-01,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-8259181f231d,PERSON-CONTINUITY-REVIEW
affiliation-11c0600943a0,person-40b55dc0bb6c,2018-04-06,2018-04-10,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-d2b6ba0c63b5,PERSON-CONTINUITY-REVIEW
affiliation-12c68d7be9c0,person-4dbf0bdfa625,2017-11-01,2018-04-10,PARTY,MDB,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-609;C041;LEG-c9ecc2f3d167,C041;PERSON-CONTINUITY-REVIEW
affiliation-157a954f295a,person-2b7bc2067f3b,2022-03-28,2022-03-31,PARTY,REPUBLICANOS,dated assertion plus targeted-search continuity,evidence_supported,,,[],AFF-015;AFF-016;BOL-E19,PERSON-CONTINUITY-REVIEW;R18
affiliation-15b98927b738,person-8aa66af5537a,2023-01-01,2026-03-20,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-da6ce3b869d1,PERSON-CONTINUITY-REVIEW
affiliation-17032a771737,person-90757367fdcf,2016-04-19,2016-05-12,PARTY,PT,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-42ef15a41df1,PERSON-CONTINUITY-REVIEW
affiliation-17061ef0b2d7,person-a74198f91d7f,2019-01-01,2020-02-18,PARTY,DEM,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-df0a18aba9ff,PERSON-CONTINUITY-REVIEW;R30
affiliation-170b4b064d8f,person-6e58f0606af5,2018-07-11,2023-01-01,UNAFFILIATED,,evidence_supported_continuity,supported_date,,,[],LEG-300fa8e71e1b;LEG-0a433c253eb3,PERSON-CONTINUITY-REVIEW
affiliation-173dac1efde4,person-f9bec775a094,2022-03-31,2023-01-01,UNAFFILIATED,,adjudicated_documentary_or_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],OFF-025;ATLAS-637,PERSON-CONTINUITY-REVIEW
affiliation-178c65b3baec,person-03e5816de50d,2016-04-29,2016-05-12,PARTY,PT,adjudicated_documentary_or_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-554,PERSON-CONTINUITY-REVIEW
affiliation-17b5cdf8e9ca,person-5139ef661a7d,2015-01-01,2016-03-31,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-bbe559c76692,PERSON-CONTINUITY-REVIEW
affiliation-18b79f294f7c,person-fc5415a3bc75,2021-03-31,2021-04-06,PARTY,PL,dated assertion plus targeted-search continuity,evidence_supported,,,[],OFF-026;OFF-027;OFF-028,PERSON-CONTINUITY-REVIEW;R22
affiliation-19442b1fa5de,person-4dbf0bdfa625,2017-02-03,2017-11-01,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-79c599cac5ac,PERSON-CONTINUITY-REVIEW
affiliation-1a01e6c71c60,person-f8bcbd6bbf95,2016-05-24,2016-11-22,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],C047;LEG-689fffcf6dc3,C047;PERSON-CONTINUITY-REVIEW
affiliation-1a549179e1fd,person-fd6d27c2b524,2022-03-27,2022-03-31,PARTY,PL,dated assertion plus targeted-search continuity,evidence_supported,,,[],AFF-012;AFF-044;BOL-E10;BOL-E22,PERSON-CONTINUITY-REVIEW;R14
affiliation-1acf6c75b9f2,person-cd7eec731906,2015-12-08,2016-04-29,UNAFFILIATED,,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-551;C021,C021;PERSON-CONTINUITY-REVIEW
affiliation-1cb53fca27f3,person-f531e7e77d22,2016-05-12,2018-04-02,PARTY,PP,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-7f67dc077f97,PERSON-CONTINUITY-REVIEW
affiliation-1d879fdac545,person-1eca0d922c8e,2017-05-22,2017-10-25,PARTY,PSB,evidence_supported_continuity,supported_date,,,[],C006;NEW-COELHO,C006;PERSON-CONTINUITY-REVIEW;R10;R30
affiliation-1e430540f85f,person-36c135f51965,2015-01-01,2016-03-18,PARTY,REPUBLICANOS,evidence_supported_continuity,supported_date,,,[],AFF-001,PERSON-CONTINUITY-REVIEW;R02
affiliation-1e682eb55f9d,person-5d5c6255c599,2015-04-16,2016-05-12,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-7f1bb5c8a3de,PERSON-CONTINUITY-REVIEW
affiliation-1f505a8145c2,person-4a62f5bd6174,2015-10-02,2015-10-05,PARTY,MDB,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-c63d31861f21,PERSON-CONTINUITY-REVIEW
affiliation-1ff82b1cd2c5,person-d75dc2747d17,2022-03-31,2023-01-01,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-0561fae55600,PERSON-CONTINUITY-REVIEW
affiliation-1fffe4c27ba3,person-ff3ca3610dba,2017-11-30,2019-01-01,PARTY,PSDB,adjudicated_explicit_compilation_assertion_forward_continuity,adjudicated_continuity,,,[],ATLAS-565,PERSON-CONTINUITY-REVIEW
affiliation-204e64daf583,person-124094b2bfa2,2020-12-09,2022-03-30,PARTY,PSC,dated assertion plus targeted-search continuity,evidence_supported,,,[],AFF-032;BOL-E20;C013,C013;PERSON-CONTINUITY-REVIEW;R24
affiliation-2076c877abd6,person-81ec7a04357e,2016-05-12,2018-04-06,PARTY,PV,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-0e05a77ccc65,PERSON-CONTINUITY-REVIEW;R08
affiliation-20acd3279ca7,person-b983e95c8716,2024-09-27,2026-03-20,PARTY,PT,evidence_supported_continuity,supported_date,,,[],NEW-MACAE,PERSON-CONTINUITY-REVIEW
affiliation-20ee72e20ccc,person-9cdf4e7199c3,2022-03-31,2023-01-01,PARTY,REPUBLICANOS,dated assertion plus targeted-search continuity,evidence_supported,,,[],LEG-8c8c4650eaeb;BOL-E18;BOL-E22,PERSON-CONTINUITY-REVIEW;R25
affiliation-21245128bf6f,person-88d109b51eb0,2022-03-31,2023-01-01,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-e0e4ca4ca8d3,PERSON-CONTINUITY-REVIEW
affiliation-213b45561941,person-882405f44f66,2019-02-28,2021-02-25,UNAFFILIATED,,dated assertion plus targeted-search continuity,evidence_supported,,,[],OFF-019;OFF-020;OFF-021;OFF-022;BOL-E10,BOL-A03;PERSON-CONTINUITY-REVIEW
affiliation-22a173c7a425,person-771d907e0f23,2019-01-01,2019-04-08,UNAFFILIATED,,inherited_dated_assertion_then_reviewed_continuity_forward_continuity,adjudicated_continuity,,,[],LEG-b6119274bf0c,PERSON-CONTINUITY-REVIEW
affiliation-22af2be40aed,person-20d6d1c35408,2021-11-30,2022-03-31,PARTY,PL,dated assertion plus targeted-search continuity,evidence_supported,,,[],AFF-024;AFF-025;BOL-E12;BOL-E13;V5W6E04;V5W6E05;V5W6E06;V5W6E08;V5W6E09;V5W6E10,PERSON-CONTINUITY-REVIEW;R16;V5W6D03
