atlas_line,administration_id,governor_start_raw,governor_end_raw,office_type_raw,office_raw,portfolio_party_raw,person_raw,minister_start_raw,minister_end_raw,minister_party_raw,person_id,service_ids,reconciliation_status,decision_ids,notes
615,bolsonaro,01/01/2019,31/12/2022,Órgão da PR,Casa Civil,ind,Onyx Lorenzoni,01/01/2019,17/02/2020,DEM,person-a74198f91d7f,service-9652707b0ac0;service-jair_bolsonaro-0-1;service-jair_bolsonaro-0-37;service-jair_bolsonaro-0-55,date semantics,OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R30,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
616,bolsonaro,01/01/2019,31/12/2022,Órgão da PR,Casa Civil,sfp,Walter Souza Braga Netto,18/02/2020,30/03/2021,sfp,person-0b9c7bbdb3fe,service-jair_bolsonaro-0-19;service-jair_bolsonaro-0-2,office/scope difference,C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
617,bolsonaro,01/01/2019,31/12/2022,Órgão da PR,Casa Civil,sfp,Luiz Eduardo Ramos,06/04/2021,03/08/2021,sfp,person-0fbaba5c8624,service-jair_bolsonaro-0-3;service-jair_bolsonaro-0-38;service-jair_bolsonaro-0-46,office/scope difference,BOL-A02;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
618,bolsonaro,01/01/2019,31/12/2022,Órgão da PR,Casa Civil,PP,Ciro Nogueira,04/08/2021,31/12/2022,PP,person-af97e0cae87f,service-jair_bolsonaro-0-4,date semantics,C010;C036;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
619,bolsonaro,01/01/2019,31/12/2022,Ministério,Justiça e Segurança Pública,sfp,Sérgio Moro,01/01/2019,24/04/2020,sfp,person-1bf1b217be4a,service-jair_bolsonaro-0-12,agreement,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
620,bolsonaro,01/01/2019,31/12/2022,Ministério,Justiça e Segurança Pública,sfp,André Mendonça,28/04/2020,30/03/2021,sfp,person-326c14e875d3,service-jair_bolsonaro-0-13;service-jair_bolsonaro-0-29;service-jair_bolsonaro-0-31,office/scope difference,C049;C056;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
621,bolsonaro,01/01/2019,31/12/2022,Ministério,Justiça e Segurança Pública,sfp,Anderson Gustavo Torres,06/04/2021,31/12/2022,sfp,person-6e95055d8cff,service-jair_bolsonaro-0-14,date semantics,PERSON-CONTINUITY-REVIEW;R19,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
622,bolsonaro,01/01/2019,31/12/2022,Ministério,Defesa,sfp,Fernando Azevedo e Silva,01/01/2019,30/03/2021,sfp,person-701837a286fb,service-jair_bolsonaro-0-18,date semantics,C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
623,bolsonaro,01/01/2019,31/12/2022,Ministério,Defesa,sfp,Walter Souza Braga Netto,06/04/2021,31/03/2022,sfp,person-0b9c7bbdb3fe,service-jair_bolsonaro-0-19;service-jair_bolsonaro-0-2,date semantics,C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
624,bolsonaro,01/01/2019,31/12/2022,Ministério,Defesa,sfp,Paulo Sérgio Nogueira,31/03/2022,31/12/2022,sfp,person-99dce727f50d,service-jair_bolsonaro-0-20,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
625,bolsonaro,01/01/2019,31/12/2022,Ministério,Relações Exteriores,sfp,Ernesto Araújo,01/01/2019,30/03/2021,sfp,person-37d1541c30a3,service-jair_bolsonaro-0-21,date semantics,C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
626,bolsonaro,01/01/2019,31/12/2022,Ministério,Relações Exteriores,sfp,Carlos Alberto Franco França,06/04/2021,31/12/2022,sfp,person-ebaf14a16f4d,service-jair_bolsonaro-0-22,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
627,bolsonaro,01/01/2019,31/12/2022,Ministério,Economia,sfp,Paulo Guedes,01/01/2019,31/12/2022,sfp,person-40f3a2e695f4,service-jair_bolsonaro-0-5,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
628,bolsonaro,01/01/2019,31/12/2022,Ministério,Infraestrutura,sfp,Tarcísio Gomes de Freitas,01/01/2019,30/03/2022,sfp,person-2b7bc2067f3b,service-jair_bolsonaro-0-49,date semantics,PERSON-CONTINUITY-REVIEW;R18,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
629,bolsonaro,01/01/2019,31/12/2022,Ministério,Infraestrutura,sfp,Marcelo Sampaio Cunha Filho,31/03/2022,31/12/2022,sfp,person-94039ea6c1ed,service-jair_bolsonaro-0-50,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
630,bolsonaro,01/01/2019,31/12/2022,Ministério,Agricultura,ind,Tereza Cristina,01/01/2019,31/03/2022,DEM,person-c65a317c70db,service-jair_bolsonaro-0-15,agreement,BOL-A01;PERSON-CONTINUITY-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
631,bolsonaro,01/01/2019,31/12/2022,Ministério,Agricultura,ind,Marcos Montes Cordeiro,31/03/2022,31/12/2022,PSD,person-b8dfe242ff4d,service-jair_bolsonaro-0-16,date semantics,PERSON-CONTINUITY-REVIEW;R25,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
632,bolsonaro,01/01/2019,31/12/2022,Ministério,Educação,sfp,Ricardo Vélez Rodríguez,01/01/2019,08/04/2019,sfp,person-771d907e0f23,service-jair_bolsonaro-0-39,agreement,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
633,bolsonaro,01/01/2019,31/12/2022,Ministério,Educação,sfp,Abraham Weintraub,09/04/2019,18/06/2020,sfp,person-e76ae1eaa3cb,service-jair_bolsonaro-0-40,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
634,bolsonaro,01/01/2019,31/12/2022,Ministério,Educação,sfp,Milton Ribeiro,08/07/2020,29/03/2022,sfp,person-289af7b4f132,service-jair_bolsonaro-0-43,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
635,bolsonaro,01/01/2019,31/12/2022,Ministério,Educação,sfp,Victor Godoy,30/03/2022,31/12/2022,sfp,person-ad64ef4485f1,service-jair_bolsonaro-0-44,date semantics,C022;C048;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
636,bolsonaro,01/01/2019,31/12/2022,Ministério,Trabalho e Previdência,ind,Onyx Lorenzoni,28/07/2021,31/03/2022,DEM,person-a74198f91d7f,service-9652707b0ac0;service-jair_bolsonaro-0-1;service-jair_bolsonaro-0-37;service-jair_bolsonaro-0-55,office/scope difference,OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R30,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
637,bolsonaro,01/01/2019,31/12/2022,Ministério,Trabalho e Previdência,sfp,José Carlos Oliveira,31/03/2022,31/12/2022,sfp,person-f9bec775a094,service-df493137b62f,date semantics,OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
638,bolsonaro,01/01/2019,31/12/2022,Ministério,Saúde,ind,Luiz Henrique Mandetta,01/01/2019,15/04/2020,DEM,person-eeb5a64cf94d,service-jair_bolsonaro-0-25,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
639,bolsonaro,01/01/2019,31/12/2022,Ministério,Saúde,sfp,Nelson Teich,16/04/2020,15/05/2020,sfp,person-f4df829d9e6a,service-jair_bolsonaro-0-26,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
640,bolsonaro,01/01/2019,31/12/2022,Ministério,Saúde,sfp,Eduardo Pazuello,16/05/2020,22/03/2021,sfp,person-6f575955e5ae,service-jair_bolsonaro-0-27,date semantics,C042;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
641,bolsonaro,01/01/2019,31/12/2022,Ministério,Saúde,sfp,Marcelo Queiroga,23/03/2021,31/12/2022,sfp,person-2c3dff30638f,service-jair_bolsonaro-0-28,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
642,bolsonaro,01/01/2019,31/12/2022,Ministério,Minas e Energia,sfp,Bento Costa Lima Leite,01/01/2019,11/05/2022,sfp,person-74eb6ba4197c,service-jair_bolsonaro-0-61,agreement,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
643,bolsonaro,01/01/2019,31/12/2022,Ministério,Minas e Energia,sfp,Adolfo Sachsida,11/05/2022,31/12/2022,sfp,person-1c11e767f427,service-jair_bolsonaro-0-62,affiliation difference,C061;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R26,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
644,bolsonaro,01/01/2019,31/12/2022,Ministério,Desenvolvimento Regional,sfp,Gustavo Canuto,01/01/2019,10/02/2020,sfp,person-5936250a32d3,service-jair_bolsonaro-0-51,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
645,bolsonaro,01/01/2019,31/12/2022,Ministério,Desenvolvimento Regional,ind,Rogério Marinho,11/02/2020,31/03/2022,PSDB,person-20d6d1c35408,service-jair_bolsonaro-0-52,agreement,PERSON-CONTINUITY-REVIEW;R16,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
646,bolsonaro,01/01/2019,31/12/2022,Ministério,Desenvolvimento Regional,sfp,Daniel de Oliveira Duarte Ferreira,31/03/2022,30/12/2022,sfp,person-3695143e73fd,service-jair_bolsonaro-0-53,date semantics,C037;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
647,bolsonaro,01/01/2019,31/12/2022,Ministério,Comunicações,ind,Fábio Faria,17/06/2020,23/03/2022,PSD,person-c0ea546db6a5,service-jair_bolsonaro-0-10,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R21,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
648,bolsonaro,01/01/2019,31/12/2022,Ministério,Comunicações,PP,Fábio Faria,24/03/2022,21/12/2022,PP,person-c0ea546db6a5,service-jair_bolsonaro-0-10,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R21,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
649,bolsonaro,01/01/2019,31/12/2022,Ministério,Meio Ambiente,ind,Ricardo Salles,01/01/2019,23/06/2021,Novo,person-d2dadf632731,service-jair_bolsonaro-0-65,agreement,PERSON-CONTINUITY-REVIEW;R15,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
650,bolsonaro,01/01/2019,31/12/2022,Ministério,Meio Ambiente,sfp,Joaquim Álvaro Pereira Leite,23/06/2021,31/12/2022,sfp,person-7d71eab96e03,service-jair_bolsonaro-0-66,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
651,bolsonaro,01/01/2019,31/12/2022,Ministério,"Ciência, Tecnologia, Inovações e Comunicações",PSL,Marcos Pontes,01/01/2019,11/11/2019,PSL,person-fd6d27c2b524,service-jair_bolsonaro-0-8,date semantics,PERSON-CONTINUITY-REVIEW;R14,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
652,bolsonaro,01/01/2019,31/12/2022,Ministério,"Ciência, Tecnologia, Inovações e Comunicações",ind,Marcos Pontes,12/11/2019,31/03/2022,PSL,person-fd6d27c2b524,service-jair_bolsonaro-0-8,date semantics,PERSON-CONTINUITY-REVIEW;R14,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
653,bolsonaro,01/01/2019,31/12/2022,Ministério,"Ciência, Tecnologia, Inovações e Comunicações",sfp,Paulo Alvim,31/03/2022,31/12/2022,sfp,person-6fc90e9e6006,service-jair_bolsonaro-0-9,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
654,bolsonaro,01/01/2019,31/12/2022,Ministério,Cidadania e Ação Social,ind,Osmar Terra,01/01/2019,17/02/2020,MDB,person-95ad6fa20856,service-jair_bolsonaro-0-54,office/scope difference,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
655,bolsonaro,01/01/2019,31/12/2022,Ministério,Cidadania e Ação Social,ind,Onyx Lorenzoni,18/02/2020,11/02/2021,DEM,person-a74198f91d7f,service-9652707b0ac0;service-jair_bolsonaro-0-1;service-jair_bolsonaro-0-37;service-jair_bolsonaro-0-55,office/scope difference,OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R30,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
656,bolsonaro,01/01/2019,31/12/2022,Ministério,Cidadania e Ação Social,REP,João Roma,12/02/2021,31/03/2022,REP,person-0d44fe4521b9,service-jair_bolsonaro-0-56,office/scope difference,PERSON-CONTINUITY-REVIEW;R23,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
657,bolsonaro,01/01/2019,31/12/2022,Ministério,Cidadania e Ação Social,sfp,Ronaldo Vieira Bento,31/03/2022,31/12/2022,sfp,person-88d109b51eb0,service-jair_bolsonaro-0-57,office/scope difference,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
658,bolsonaro,01/01/2019,31/12/2022,Ministério,Turismo,PSL,Marcelo Álvaro Antonio,01/01/2019,11/11/2019,PSL,person-ccda4e28f3dd,service-jair_bolsonaro-0-58,date semantics,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW,"Raw minister and governor dates remain positional, separately interpreted; blank Lula exits are entry-only snapshot fields. Current source-specific service/affiliation decisions supersede intermediate disposition labels."
