event_interval_id,period_id,administration_id,start_inclusive,end_exclusive,days,composition_status,definite_party_ids,possible_party_ids,unknown_person_ids,bounded_affiliation_ids,bounded_service_ids,masked_person_ids,provisional_person_ids,primary_assumption_ids,unresolved_primary_person_ids
dilma_2-2015-01-01,dilma_2-2015-01-01,dilma_2,2015-01-01,2015-02-05,35,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-02-05,dilma_2-2015-01-01,dilma_2,2015-02-05,2015-03-19,42,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-03-19,dilma_2-2015-03-19,dilma_2,2015-03-19,2015-03-25,6,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-03-25,dilma_2-2015-03-19,dilma_2,2015-03-25,2015-03-31,6,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-03-31,dilma_2-2015-03-19,dilma_2,2015-03-31,2015-04-06,6,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-04-06,dilma_2-2015-03-19,dilma_2,2015-04-06,2015-04-07,1,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-04-07,dilma_2-2015-03-19,dilma_2,2015-04-07,2015-04-10,3,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-04-10,dilma_2-2015-03-19,dilma_2,2015-04-10,2015-04-16,6,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-04-16,dilma_2-2015-03-19,dilma_2,2015-04-16,2015-09-14,151,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-09-14,dilma_2-2015-03-19,dilma_2,2015-09-14,2015-09-15,1,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-09-15,dilma_2-2015-03-19,dilma_2,2015-09-15,2015-09-22,7,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-09-22,dilma_2-2015-03-19,dilma_2,2015-09-22,2015-10-01,9,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-10-01,dilma_2-2015-03-19,dilma_2,2015-10-01,2015-10-02,1,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
dilma_2-2015-10-02,dilma_2-2015-03-19,dilma_2,2015-10-02,2015-10-05,3,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,,,,,,,
