source_record_id,source_cells_json,service_ids,disposition,evidence_ids
lula_2023_presente:2:21,"[""Fazenda"", """", ""Dario Durigan"", ""Sem partido/ SP"", ""19 de março de 2026"", ""Em exercício"", ""[ 18 ]""]",service-lula_2023_presente-2-21,excluded_nonentry_transition_or_outside_cutoff,C064;LEG-e021896e2251
jair_bolsonaro:0:41,"[""Ministério da Educação"", """", ""Carlos Decotelli"", ""—"", ""25 de junho de 2020"", ""30 de junho 2020"", ""[ 39 ]""]",service-jair_bolsonaro-0-41,excluded_nonentry_transition_or_outside_cutoff,LEG-06b899630a6b
michel_temer:0:58,"[""Trabalho"", """", ""Cristiane Brasil (não assumiu por decisão judicial) [ 27 ] [ 26 ]"", ""PTB"", ""-"", ""-""]",service-b24313cd2009,excluded_nonentry_transition_or_outside_cutoff,OFF-014
michel_temer:0:68,"[""Extraordinário de Coordenação do Gabinete de Transição Governamental (Criado em novembro de 2018, para a transição de governo)"", """", ""Onyx Lorenzoni"", ""DEM"", ""5 de novembro de 2018 [ 34 ] [ 35 ]"", ""1° de janeiro de 2019""]",service-bc14f461caeb,excluded_nonentry_transition_or_outside_cutoff,OFF-031;OFF-031–OFF-034;OFF-032
jair_bolsonaro:0:67,"[""Extraordinário de Coordenação do Gabinete de Transição Governamental (criado em novembro de 2022 para a Transição Governamental)"", """", ""Geraldo Alckmin"", ""PSB"", ""1 de novembro de 2022"", ""22 de dezembro de 2022"", ""[ 62 ]""]",service-71735bd182fd,excluded_nonentry_transition_or_outside_cutoff,OFF-033;OFF-034
lula_2023_presente:2:1,"[""Ministério"", ""Incumbente"", ""Incumbente"", ""Partido"", ""Posse no dia"", ""Saída no dia"", ""Ref.""]",,excluded_structural_heading,
lula_2023_presente:2:55,"[""Secretarias com status de ministério"", ""Secretarias com status de ministério"", ""Secretarias com status de ministério"", ""Secretarias com status de ministério"", ""Secretarias com status de ministério"", ""Secretarias com status de ministério"", ""Secretarias com status de ministério""]",,excluded_structural_heading,
lula_2023_presente:2:48,"[""Órgãos com status de ministério"", ""Órgãos com status de ministério"", ""Órgãos com status de ministério"", ""Órgãos com status de ministério"", ""Órgãos com status de ministério"", ""Órgãos com status de ministério"", ""Órgãos com status de ministério""]",,excluded_structural_heading,
dilma_rousseff:1:43,"[""Ministério do Esporte"", """", ""George Hilton"", ""REPU"", ""1º de janeiro de 2015"", ""23 de março de 2016"", ""[ 1 ]""]",service-dilma_rousseff-1-43,included_reviewed_service,AFF-001;LEG-16d934587913
michel_temer:0:30,"[""Fazenda e Previdência Social"", """", ""Henrique Meirelles"", ""MDB"", ""12 de maio de 2016 [ 2 ]"", ""6 de abril de 2018""]",service-michel_temer-0-30,included_reviewed_service,AFF-003;LEG-aa24caf1c8cd
