person_id,person_name,merged_service_start,merged_service_end,search_terms,search_scope,search_date,evidence_ids,result,coverage_limit
person-47db0dcff2a7,Cristiane Brasil,2018-01-03,2018-01-03,Cristiane Brasil; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,,no_change_in_searched_material; continuity applied only after supported observation,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-561613fe4a6e,Maria Estella Dantas,2022-12-21,2023-01-01,Maria Estella Dantas; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,,unresolved_personal_affiliation,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-ac90462d73a6,Dario Durigan,2026-03-20,2026-03-20,Dario Durigan; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,,no_change_in_searched_material; continuity applied only after supported observation,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-36c135f51965,George Hilton,2015-01-01,2016-03-31,George Hilton; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-001,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-ec79bc7d93e1,Alexandre Baldy,2017-11-22,2019-01-01,Alexandre Baldy; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-002,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-e1227ba12162,Henrique Meirelles,2016-05-12,2018-04-06,Henrique Meirelles; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-003,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-d8e018a87929,Raul Jungmann,2016-05-12,2019-01-01,Raul Jungmann; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-004,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-0429cfdf16f2,Augusto Heleno,2019-01-01,2023-01-01,Augusto Heleno; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-010;AFF-011;BOL-E09;BOL-E10;BOL-E11;LEG-ba6b7e4f1910,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-fd6d27c2b524,Marcos Pontes,2019-01-01,2022-03-31,Marcos Pontes; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-012;AFF-044;BOL-E10;BOL-E22,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
person-0d44fe4521b9,João Roma,2021-02-12,2022-03-31,João Roma; partido; filiação; desfiliação; troca; expulsão,all pinned Atlas person-party rows; all prior observations across portfolios; targeted affiliation discrepancy/evidence ledgers; explicit research corrections when present,2026-09-10,AFF-012;BOL-E22,primary_adjudication_with_source_specific_evidence_and_retained_alternatives,Local targeted contradiction screen; not a claim of exhaustive external web or registry search; unknown retained where no observation exists
