date,administration_id,period_id,event_interval_id,composition_status,party_ids,party_labels,definite_party_ids,possible_party_ids,unresolved_dependencies,masked_person_ids,historical_status,provisional_person_ids,primary_assumption_ids,unfilled_primary_dependencies
2015-01-01,dilma_2,dilma_2-2015-01-01,dilma_2-2015-01-01,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,established,,,
2015-01-02,dilma_2,dilma_2-2015-01-01,dilma_2-2015-01-01,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,established,,,
2015-01-03,dilma_2,dilma_2-2015-01-01,dilma_2-2015-01-01,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,established,,,
2015-01-04,dilma_2,dilma_2-2015-01-01,dilma_2-2015-01-01,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,established,,,
2015-01-05,dilma_2,dilma_2-2015-01-01,dilma_2-2015-01-01,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,established,,,
2015-01-06,dilma_2,dilma_2-2015-01-01,dilma_2-2015-01-01,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,established,,,
2015-01-07,dilma_2,dilma_2-2015-01-01,dilma_2-2015-01-01,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,established,,,
2015-01-08,dilma_2,dilma_2-2015-01-01,dilma_2-2015-01-01,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,established,,,
2015-01-09,dilma_2,dilma_2-2015-01-01,dilma_2-2015-01-01,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,established,,,
2015-01-10,dilma_2,dilma_2-2015-01-01,dilma_2-2015-01-01,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,,,established,,,
