evidence_id,asserted_fact,source_locator,publisher,publication_date,retrieval_date,access_status,rationale
BOL-E03,Historical statute distinguishes temporary suspension of affiliate rights (art21 III and §2) from expulsion with cancellation (art21 VII). Appeal suspensive effect depends on an express grant by rapporteur under art23 V.,https://static.poder360.com.br/2023/09/Estatuo-Partido-Novo.pdf,"Partido Novo/TSE historical statute, copy hosted Poder360",2018-04-26,,HTTP200_local_pdf_text_and_targeted_OCR_reviewed,selected
CODE-04,Provenance cross-reference only; consult the named retained evidence/decision ledger. Not independent corroboration.,research/inherited/CODE-04,enclosed handoff cross-reference,,,cross_reference_not_independent_evidence,Retains original ledger locator without claiming a newly retrieved historical source.
LEG record for Quintella,Provenance cross-reference only; consult the named retained evidence/decision ledger. Not independent corroboration.,research/inherited/LEG record for Quintella,enclosed handoff cross-reference,,,cross_reference_not_independent_evidence,Retains original ledger locator without claiming a newly retrieved historical source.
"MAIN_AUDIT_REPORT.md sections 3,6",Provenance cross-reference only; consult the named retained evidence/decision ledger. Not independent corroboration.,"research/inherited/MAIN_AUDIT_REPORT.md sections 3,6",enclosed handoff cross-reference,,,cross_reference_not_independent_evidence,Retains original ledger locator without claiming a newly retrieved historical source.
OCC-005,Provenance cross-reference only; consult the named retained evidence/decision ledger. Not independent corroboration.,research/inherited/OCC-005,enclosed handoff cross-reference,,,cross_reference_not_independent_evidence,Retains original ledger locator without claiming a newly retrieved historical source.
OFF-031–OFF-034,Provenance cross-reference only; consult the named retained evidence/decision ledger. Not independent corroboration.,research/inherited/OFF-031–OFF-034,enclosed handoff cross-reference,,,cross_reference_not_independent_evidence,Retains original ledger locator without claiming a newly retrieved historical source.
OFFICE-COVERAGE-SCREEN,Provenance cross-reference only; consult the named retained evidence/decision ledger. Not independent corroboration.,inputs/decisions.csv#OFFICE-COVERAGE-SCREEN,enclosed handoff cross-reference,,,cross_reference_not_independent_evidence,Retains original ledger locator without claiming a newly retrieved historical source.
R13,Provenance cross-reference only; consult the named retained evidence/decision ledger. Not independent corroboration.,inputs/decisions.csv#R13,enclosed handoff cross-reference,,,cross_reference_not_independent_evidence,Retains original ledger locator without claiming a newly retrieved historical source.
office_audit/occupancy_discrepancies.csv,Provenance cross-reference only; consult the named retained evidence/decision ledger. Not independent corroboration.,research/inherited/office_audit/occupancy_discrepancies.csv,enclosed handoff cross-reference,,,cross_reference_not_independent_evidence,Retains original ledger locator without claiming a newly retrieved historical source.
office_audit/pinned_source_rows.csv,Provenance cross-reference only; consult the named retained evidence/decision ledger. Not independent corroboration.,research/inherited/office_audit/pinned_source_rows.csv,enclosed handoff cross-reference,,,cross_reference_not_independent_evidence,Retains original ledger locator without claiming a newly retrieved historical source.
