evidence_id,snapshot_path,source_locator,snapshot_kind,sha256
AFF-048,research/completion/web_295.txt,https://www.tse.jus.br/partidos/partidos-registrados-no-tse,retained_web_tool_result_may_be_indexed_excerpt_not_full_original,6f0c857459af8bc0128f0d921d4d06680d100706dbc4891391fcf6b880de1abf
AFF-049,research/completion/web_295.txt,https://www.tse.jus.br/partidos/partidos-registrados-no-tse,retained_web_tool_result_may_be_indexed_excerpt_not_full_original,6f0c857459af8bc0128f0d921d4d06680d100706dbc4891391fcf6b880de1abf
AFF-056,research/completion/web_095.txt,https://paraibaja.com.br/wp-content/uploads/2021/09/Corrida-Eleitoral-2022-1.pdf,retained_web_tool_result_may_be_indexed_excerpt_not_full_original,11d22b8a0d091245ec5455031693f728adb48c0adf326eca178e0fd608e1153f
ATLAS-489,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L489,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-490,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L490,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-491,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L491,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-492,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L492,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-493,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L493,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-494,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L494,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-495,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L495,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-496,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L496,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
ATLAS-497,research/inherited/atlas__7010-261partidogabineteministerio.csv,research/inherited/atlas__7010-261partidogabineteministerio.csv#L497,retained_local_source_assertions,3eeabea1fd5e5398e085aaa21d9de36b75b4731d8a6a4704edb7dec12fb41b42
