administration_id,start_inclusive,end_exclusive,comparison_status,comparison_basis,change_dimensions,explanation_decision_ids,evidence_ids,prior_party_ids,prior_source_labels_raw,prior_labels_under_dated_convention,primary_party_ids,primary_labels,label_normalization,added_party_ids,removed_party_ids,prior_source_period_ids,new_period_ids
dilma_2,2015-01-01,2015-03-19,membership_corrected,previous_continuous_reconstruction,date;label_normalization;personal_affiliation,R01;R02, office_audit/pinned_source_rows.csv;AFF-001;prior_evidence_assertions.csv,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,true,PROS,,2015.1,dilma_2-2015-01-01
dilma_2,2015-03-19,2016-03-18,retained_membership,previous_continuous_reconstruction,label_normalization,,,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,true,,,2015.1,dilma_2-2015-03-19
dilma_2,2016-03-18,2016-03-24,membership_corrected,previous_continuous_reconstruction,date;label_normalization;personal_affiliation,R01;R02, office_audit/pinned_source_rows.csv;AFF-001;prior_evidence_assertions.csv,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,true,PROS,REPUBLICANOS,2015.1,dilma_2-2016-03-18
dilma_2,2016-03-24,2016-03-31,membership_corrected,previous_continuous_reconstruction,date;label_normalization;personal_affiliation,R01;R02, office_audit/pinned_source_rows.csv;AFF-001;prior_evidence_assertions.csv,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,true,PROS,,2016.1,dilma_2-2016-03-18
dilma_2,2016-03-31,2016-04-14,retained_membership,previous_continuous_reconstruction,label_normalization,,,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,true,,,2016.1,dilma_2-2016-03-31
dilma_2,2016-04-14,2016-04-16,retained_membership,previous_continuous_reconstruction,label_normalization,,,MDB;PCdoB;PDT;PL;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,true,,,2016.2,dilma_2-2016-04-14
dilma_2,2016-04-16,2016-04-19,membership_corrected,previous_continuous_reconstruction,date;label_normalization,R04,office_audit/occupancy_discrepancies.csv,MDB;PCdoB;PDT;PL;PT;PTB,MDB;PCdoB;PDT;PL;PT;PTB,PCdoB;PDT;PMDB;PR;PT;PTB,MDB;PCdoB;PDT;PL;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,true,PSD,,2016.3,dilma_2-2016-04-14
dilma_2,2016-04-19,2016-05-12,retained_membership,previous_continuous_reconstruction,label_normalization,,,MDB;PCdoB;PDT;PL;PT;PTB,MDB;PCdoB;PDT;PL;PT;PTB,PCdoB;PDT;PMDB;PR;PT;PTB,MDB;PCdoB;PDT;PL;PT;PTB,PCdoB;PDT;PMDB;PR;PT;PTB,true,,,2016.3,dilma_2-2016-04-19
temer,2016-05-12,2016-10-10,membership_corrected,previous_continuous_reconstruction,historical_party_recognition;label_normalization;office_scope,C001;R05;R07, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,,2016.4,temer-2016-05-12
temer,2016-10-10,2016-10-11,membership_corrected,previous_continuous_reconstruction,date;historical_party_recognition;label_normalization;office_scope;personal_affiliation,C001;C006;C007;C041;R05;R07;R10, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;C006;C007;C041;LEG-2f8bf5705498;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,PSB,2016.4,temer-2016-10-10
temer,2016-10-11,2016-10-25,membership_corrected,previous_continuous_reconstruction,historical_party_recognition;label_normalization;office_scope,C001;R05;R07, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,,2016.4,temer-2016-10-11
temer,2016-10-25,2016-10-26,membership_corrected,previous_continuous_reconstruction,date;historical_party_recognition;label_normalization;office_scope;personal_affiliation,C001;C006;C007;C041;R05;R07;R10, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;C006;C007;C041;LEG-2f8bf5705498;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,PSB,2016.4,temer-2016-10-25
temer,2016-10-26,2016-11-25,membership_corrected,previous_continuous_reconstruction,historical_party_recognition;label_normalization;office_scope,C001;R05;R07, CODE-04; LEG record for Quintella; OFF-050;AFF-008;C001;OFF-049,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,true,PL;REPUBLICANOS,,2016.4,temer-2016-10-26
