period_id,party_id
dilma_2-2015-01-01,MDB
dilma_2-2015-01-01,PCdoB
dilma_2-2015-01-01,PDT
dilma_2-2015-01-01,PL
dilma_2-2015-01-01,PP
dilma_2-2015-01-01,PROS
dilma_2-2015-01-01,PSD
dilma_2-2015-01-01,PT
dilma_2-2015-01-01,PTB
dilma_2-2015-01-01,REPUBLICANOS
dilma_2-2015-03-19,MDB
dilma_2-2015-03-19,PCdoB
dilma_2-2015-03-19,PDT
dilma_2-2015-03-19,PL
dilma_2-2015-03-19,PP
dilma_2-2015-03-19,PSD
dilma_2-2015-03-19,PT
dilma_2-2015-03-19,PTB
dilma_2-2015-03-19,REPUBLICANOS
dilma_2-2016-03-18,MDB
dilma_2-2016-03-18,PCdoB
dilma_2-2016-03-18,PDT
dilma_2-2016-03-18,PL
dilma_2-2016-03-18,PP
dilma_2-2016-03-18,PROS
dilma_2-2016-03-18,PSD
dilma_2-2016-03-18,PT
dilma_2-2016-03-18,PTB
dilma_2-2016-03-31,MDB
dilma_2-2016-03-31,PCdoB
dilma_2-2016-03-31,PDT
dilma_2-2016-03-31,PL
dilma_2-2016-03-31,PP
dilma_2-2016-03-31,PSD
dilma_2-2016-03-31,PT
dilma_2-2016-03-31,PTB
dilma_2-2016-04-14,MDB
dilma_2-2016-04-14,PCdoB
dilma_2-2016-04-14,PDT
dilma_2-2016-04-14,PL
dilma_2-2016-04-14,PSD
dilma_2-2016-04-14,PT
dilma_2-2016-04-14,PTB
dilma_2-2016-04-19,MDB
dilma_2-2016-04-19,PCdoB
dilma_2-2016-04-19,PDT
dilma_2-2016-04-19,PL
dilma_2-2016-04-19,PT
dilma_2-2016-04-19,PTB
temer-2016-05-12,CIDADANIA
temer-2016-05-12,DEM
temer-2016-05-12,MDB
temer-2016-05-12,PL
temer-2016-05-12,PP
temer-2016-05-12,PSB
temer-2016-05-12,PSD
temer-2016-05-12,PSDB
temer-2016-05-12,PTB
temer-2016-05-12,PV
temer-2016-05-12,REPUBLICANOS
temer-2016-10-10,CIDADANIA
temer-2016-10-10,DEM
temer-2016-10-10,MDB
temer-2016-10-10,PL
temer-2016-10-10,PP
temer-2016-10-10,PSD
temer-2016-10-10,PSDB
temer-2016-10-10,PTB
temer-2016-10-10,PV
temer-2016-10-10,REPUBLICANOS
temer-2016-10-11,CIDADANIA
temer-2016-10-11,DEM
temer-2016-10-11,MDB
temer-2016-10-11,PL
temer-2016-10-11,PP
temer-2016-10-11,PSB
temer-2016-10-11,PSD
temer-2016-10-11,PSDB
temer-2016-10-11,PTB
temer-2016-10-11,PV
temer-2016-10-11,REPUBLICANOS
temer-2016-10-25,CIDADANIA
temer-2016-10-25,DEM
temer-2016-10-25,MDB
temer-2016-10-25,PL
temer-2016-10-25,PP
temer-2016-10-25,PSD
temer-2016-10-25,PSDB
temer-2016-10-25,PTB
temer-2016-10-25,PV
temer-2016-10-25,REPUBLICANOS
temer-2016-10-26,CIDADANIA
temer-2016-10-26,DEM
temer-2016-10-26,MDB
temer-2016-10-26,PL
temer-2016-10-26,PP
temer-2016-10-26,PSB
temer-2016-10-26,PSD
temer-2016-10-26,PSDB
temer-2016-10-26,PTB
temer-2016-10-26,PV
temer-2016-10-26,REPUBLICANOS
temer-2017-04-26,CIDADANIA
temer-2017-04-26,DEM
temer-2017-04-26,MDB
temer-2017-04-26,PL
temer-2017-04-26,PP
temer-2017-04-26,PSD
temer-2017-04-26,PSDB
temer-2017-04-26,PTB
temer-2017-04-26,PV
temer-2017-04-26,REPUBLICANOS
temer-2017-04-27,CIDADANIA
temer-2017-04-27,DEM
temer-2017-04-27,MDB
temer-2017-04-27,PL
temer-2017-04-27,PP
temer-2017-04-27,PSB
temer-2017-04-27,PSD
temer-2017-04-27,PSDB
temer-2017-04-27,PTB
temer-2017-04-27,PV
temer-2017-04-27,REPUBLICANOS
temer-2017-08-02,CIDADANIA
temer-2017-08-02,DEM
temer-2017-08-02,MDB
temer-2017-08-02,PL
temer-2017-08-02,PP
temer-2017-08-02,PSD
temer-2017-08-02,PSDB
temer-2017-08-02,PTB
temer-2017-08-02,PV
temer-2017-08-02,REPUBLICANOS
temer-2017-08-03,CIDADANIA
temer-2017-08-03,DEM
temer-2017-08-03,MDB
temer-2017-08-03,PL
temer-2017-08-03,PP
temer-2017-08-03,PSB
temer-2017-08-03,PSD
temer-2017-08-03,PSDB
temer-2017-08-03,PTB
temer-2017-08-03,PV
temer-2017-08-03,REPUBLICANOS
temer-2017-10-18,CIDADANIA
temer-2017-10-18,DEM
temer-2017-10-18,MDB
temer-2017-10-18,PL
temer-2017-10-18,PP
temer-2017-10-18,PSD
temer-2017-10-18,PSDB
temer-2017-10-18,PTB
temer-2017-10-18,PV
temer-2017-10-18,REPUBLICANOS
temer-2018-03-21,DEM
temer-2018-03-21,MDB
temer-2018-03-21,PL
temer-2018-03-21,PP
temer-2018-03-21,PSD
temer-2018-03-21,PSDB
temer-2018-03-21,PTB
temer-2018-03-21,PV
temer-2018-03-21,REPUBLICANOS
temer-2018-04-02,DEM
temer-2018-04-02,MDB
temer-2018-04-02,PP
temer-2018-04-02,PSD
temer-2018-04-02,PSDB
temer-2018-04-02,PTB
temer-2018-04-02,PV
temer-2018-04-02,REPUBLICANOS
temer-2018-04-06,MDB
temer-2018-04-06,PP
temer-2018-04-06,PSD
temer-2018-04-06,PSDB
temer-2018-04-06,PTB
temer-2018-04-06,PV
temer-2018-04-06,REPUBLICANOS
temer-2018-05-15,MDB
temer-2018-05-15,PP
temer-2018-05-15,PSD
temer-2018-05-15,PSDB
temer-2018-05-15,PTB
temer-2018-05-15,PV
temer-2018-05-15,REPUBLICANOS
temer-2018-07-05,MDB
temer-2018-07-05,PP
temer-2018-07-05,PSD
temer-2018-07-05,PSDB
temer-2018-07-05,PV
temer-2018-07-05,REPUBLICANOS
bolsonaro-2019-01-01,DEM
bolsonaro-2019-01-01,MDB
bolsonaro-2019-01-01,NOVO
bolsonaro-2019-01-01,PP
bolsonaro-2019-01-01,PSL
bolsonaro-2020-02-11,DEM
bolsonaro-2020-02-11,MDB
bolsonaro-2020-02-11,NOVO
bolsonaro-2020-02-11,PP
bolsonaro-2020-02-11,PSDB
bolsonaro-2020-02-11,PSL
bolsonaro-2020-02-18,DEM
bolsonaro-2020-02-18,NOVO
bolsonaro-2020-02-18,PP
bolsonaro-2020-02-18,PSDB
bolsonaro-2020-02-18,PSL
bolsonaro-2020-04-16,DEM
bolsonaro-2020-04-16,MDB
bolsonaro-2020-04-16,NOVO
bolsonaro-2020-04-16,PP
bolsonaro-2020-04-16,PSDB
bolsonaro-2020-04-16,PSL
bolsonaro-2020-04-17,DEM
bolsonaro-2020-04-17,NOVO
bolsonaro-2020-04-17,PP
bolsonaro-2020-04-17,PSDB
bolsonaro-2020-04-17,PSL
bolsonaro-2020-05-07,DEM
bolsonaro-2020-05-07,PP
bolsonaro-2020-05-07,PSDB
bolsonaro-2020-05-07,PSL
bolsonaro-2020-06-17,DEM
bolsonaro-2020-06-17,PP
bolsonaro-2020-06-17,PSD
bolsonaro-2020-06-17,PSDB
bolsonaro-2020-06-17,PSL
bolsonaro-2020-06-18,DEM
bolsonaro-2020-06-18,PP
bolsonaro-2020-06-18,PSD
bolsonaro-2020-06-18,PSL
bolsonaro-2020-09-19,DEM
bolsonaro-2020-09-19,PSD
bolsonaro-2020-09-19,PSL
bolsonaro-2020-12-09,DEM
bolsonaro-2020-12-09,PSC
bolsonaro-2020-12-09,PSD
bolsonaro-2020-12-09,PSL
bolsonaro-2021-02-12,DEM
bolsonaro-2021-02-12,PSC
bolsonaro-2021-02-12,PSD
bolsonaro-2021-02-12,PSL
bolsonaro-2021-02-12,REPUBLICANOS
bolsonaro-2021-03-31,DEM
bolsonaro-2021-03-31,PL
bolsonaro-2021-03-31,PSC
bolsonaro-2021-03-31,PSD
bolsonaro-2021-03-31,PSL
bolsonaro-2021-03-31,REPUBLICANOS
bolsonaro-2021-07-28,DEM
bolsonaro-2021-07-28,PL
bolsonaro-2021-07-28,PP
bolsonaro-2021-07-28,PSC
bolsonaro-2021-07-28,PSD
bolsonaro-2021-07-28,PSL
bolsonaro-2021-07-28,REPUBLICANOS
bolsonaro-2022-02-08,PL
bolsonaro-2022-02-08,PP
bolsonaro-2022-02-08,PSC
bolsonaro-2022-02-08,PSD
bolsonaro-2022-02-08,REPUBLICANOS
bolsonaro-2022-02-08,UNIAO
bolsonaro-2022-03-24,PL
bolsonaro-2022-03-24,PP
bolsonaro-2022-03-24,PSC
bolsonaro-2022-03-24,REPUBLICANOS
bolsonaro-2022-03-24,UNIAO
bolsonaro-2022-03-27,PL
bolsonaro-2022-03-27,PP
bolsonaro-2022-03-27,PSC
bolsonaro-2022-03-27,UNIAO
bolsonaro-2022-03-28,PL
bolsonaro-2022-03-28,PP
bolsonaro-2022-03-28,PSC
bolsonaro-2022-03-28,REPUBLICANOS
bolsonaro-2022-03-28,UNIAO
bolsonaro-2022-03-30,PL
bolsonaro-2022-03-30,PP
bolsonaro-2022-03-30,REPUBLICANOS
bolsonaro-2022-03-30,UNIAO
bolsonaro-2022-03-31,PP
bolsonaro-2022-03-31,PSD
bolsonaro-2022-03-31,REPUBLICANOS
bolsonaro-2022-05-11,PP
bolsonaro-2022-05-11,PSD
bolsonaro-2022-05-11,REPUBLICANOS
bolsonaro-2022-05-11,UNIAO
bolsonaro-2022-12-30,NOVO
bolsonaro-2022-12-30,PSD
bolsonaro-2022-12-30,REPUBLICANOS
bolsonaro-2022-12-30,UNIAO
lula_3-2023-01-01,MDB
lula_3-2023-01-01,PCdoB
lula_3-2023-01-01,PDT
lula_3-2023-01-01,PSB
lula_3-2023-01-01,PSD
lula_3-2023-01-01,PSOL
lula_3-2023-01-01,PT
lula_3-2023-01-01,REDE
lula_3-2023-01-01,UNIAO
