office_id,administration_id,start_inclusive,end_exclusive,accounting_state,service_ids,capacities,gap_ids,evidence_ids
bolsonaro-agricultura,bolsonaro,2019-01-01,2022-03-31,OFFICEHOLDER,service-jair_bolsonaro-0-15,titular,,AFF-028;AFF-029;AFF-030;AFF-044;BOL-E14;BOL-E15;BOL-E16;LEG-b0900f041b01
bolsonaro-agricultura,bolsonaro,2022-03-31,2023-01-01,OFFICEHOLDER,service-jair_bolsonaro-0-16,titular,,BOL-E17;BOL-E18;BOL-E21;BOL-E22;LEG-342db9e7f38f
bolsonaro-agu,bolsonaro,2019-01-01,2020-04-28,OFFICEHOLDER,service-jair_bolsonaro-0-29,titular,,C056;LEG-92e9b59b9825
bolsonaro-agu,bolsonaro,2020-04-28,2020-04-29,OFFICEHOLDER,service-C056-renato-de-lima-franca,vacancy_acting,,C056
bolsonaro-agu,bolsonaro,2020-04-29,2021-03-30,OFFICEHOLDER,service-jair_bolsonaro-0-30,titular,,C049;LEG-066b940f16e0
bolsonaro-agu,bolsonaro,2021-03-30,2021-08-06,OFFICEHOLDER,service-jair_bolsonaro-0-31,titular,,LEG-ee50e9c3bdf3
bolsonaro-agu,bolsonaro,2021-08-06,2023-01-01,OFFICEHOLDER,service-jair_bolsonaro-0-32,titular,,LEG-0619874c39e2
bolsonaro-banco-central,bolsonaro,2019-01-01,2019-02-28,OFFICEHOLDER,service-207a1e9e526c,titular,,OFF-019;OFF-020
bolsonaro-banco-central,bolsonaro,2019-02-28,2021-02-25,OFFICEHOLDER,service-31568cb97b5d,titular,,BOL-E10;OFF-019;OFF-020;OFF-021;OFF-022
bolsonaro-casa-civil,bolsonaro,2019-01-01,2020-02-14,OFFICEHOLDER,service-jair_bolsonaro-0-1,titular,,LEG-df0a18aba9ff;OFF-031–OFF-034
bolsonaro-casa-civil,bolsonaro,2020-02-14,2020-02-18,OFFICEHOLDER,service-C057-marcos-paulo-cardoso-coelho-da-silva,vacancy_acting,,C057
bolsonaro-casa-civil,bolsonaro,2020-02-18,2021-03-30,OFFICEHOLDER,service-jair_bolsonaro-0-2,titular,,C049;LEG-62197e617b7c
bolsonaro-casa-civil,bolsonaro,2021-03-30,2021-04-01,OFFICEHOLDER,service-C058-sergio-jose-pereira,vacancy_acting,,C058
bolsonaro-casa-civil,bolsonaro,2021-04-01,2021-07-28,OFFICEHOLDER,service-jair_bolsonaro-0-3,titular,,LEG-ebe4d4a81d54
bolsonaro-casa-civil,bolsonaro,2021-07-28,2022-12-30,OFFICEHOLDER,service-jair_bolsonaro-0-4,titular,,C010;C036;LEG-d1a5739ab53a
