event_id,date,event_type,record_id,person_id,person_name,office_id,party_id,state,date_status,evidence_ids,decision_ids
affiliation-046ac4ccc1d3-start,2015-01-01,affiliations_start,affiliation-046ac4ccc1d3,person-5fd0956c528c,Cid Gomes,,PROS,PARTY,adjudicated_continuity,LEG-8702e7355c32,PERSON-CONTINUITY-REVIEW;R01
affiliation-0ce85cff52a7-start,2015-01-01,affiliations_start,affiliation-0ce85cff52a7,person-22683c1aec2c,Alexandre Tombini,,,UNAFFILIATED,adjudicated_continuity,LEG-3a3bd99ec9c2,PERSON-CONTINUITY-REVIEW
affiliation-17b5cdf8e9ca-start,2015-01-01,affiliations_start,affiliation-17b5cdf8e9ca,person-5139ef661a7d,Kátia Abreu,,MDB,PARTY,adjudicated_continuity,LEG-bbe559c76692,PERSON-CONTINUITY-REVIEW
affiliation-1e430540f85f-start,2015-01-01,affiliations_start,affiliation-1e430540f85f,person-36c135f51965,George Hilton,,REPUBLICANOS,PARTY,supported_date,AFF-001,PERSON-CONTINUITY-REVIEW;R02
affiliation-270df0f8e42e-start,2015-01-01,affiliations_start,affiliation-270df0f8e42e,person-ab2d74d8fcaf,Eleonora Menicucci,,PT,PARTY,adjudicated_continuity,C024;LEG-92ed8875155b,C024;PERSON-CONTINUITY-REVIEW
affiliation-29b39d7f6cbc-start,2015-01-01,affiliations_start,affiliation-29b39d7f6cbc,person-ca40dc0291e1,José Eduardo Cardozo,,PT,PARTY,adjudicated_continuity,LEG-8f31809fa406,PERSON-CONTINUITY-REVIEW
affiliation-30498ddd5bfa-start,2015-01-01,affiliations_start,affiliation-30498ddd5bfa,person-16ea0c2b585a,Vinicius Lages,,MDB,PARTY,adjudicated_continuity,LEG-858a83513dbd,PERSON-CONTINUITY-REVIEW
affiliation-35e1570fff93-start,2015-01-01,affiliations_start,affiliation-35e1570fff93,person-ae882a0b01e7,Guilherme Afif Domingos,,PSD,PARTY,adjudicated_continuity,C024;LEG-ea956fb419a3,C024;PERSON-CONTINUITY-REVIEW
affiliation-39707084a306-start,2015-01-01,affiliations_start,affiliation-39707084a306,person-0c933c9fd291,Gilberto Kassab,,PSD,PARTY,adjudicated_continuity,LEG-79221ce8a4c6,PERSON-CONTINUITY-REVIEW;R04
affiliation-3ac2b844c253-start,2015-01-01,affiliations_start,affiliation-3ac2b844c253,person-a0d1dbbd1239,Marcelo Neri,,,UNAFFILIATED,adjudicated_continuity,LEG-165ae748c303,PERSON-CONTINUITY-REVIEW
affiliation-3fe827923a90-start,2015-01-01,affiliations_start,affiliation-3fe827923a90,person-03e5816de50d,Carlos Eduardo Gabas,,PT,PARTY,adjudicated_continuity,LEG-b3f068a0416e,PERSON-CONTINUITY-REVIEW
affiliation-518560e30e49-start,2015-01-01,affiliations_start,affiliation-518560e30e49,person-2f002dc5bdc9,Eliseu Padilha,,MDB,PARTY,adjudicated_continuity,LEG-d2f12b350683,PERSON-CONTINUITY-REVIEW
affiliation-70dd8e5afcf8-start,2015-01-01,affiliations_start,affiliation-70dd8e5afcf8,person-493daa3b8149,Valdir Moysés Simão,,,UNAFFILIATED,adjudicated_continuity,LEG-8a829ddf0700,PERSON-CONTINUITY-REVIEW
affiliation-71a21ce067a9-start,2015-01-01,affiliations_start,affiliation-71a21ce067a9,person-86b811c075f6,Eduardo Braga,,MDB,PARTY,adjudicated_continuity,LEG-328a5753236c,PERSON-CONTINUITY-REVIEW
affiliation-72fe9140fcd2-start,2015-01-01,affiliations_start,affiliation-72fe9140fcd2,person-b178a128a47e,Arthur Chioro,,PT,PARTY,adjudicated_continuity,C024;LEG-03d0c552eee1,C024;PERSON-CONTINUITY-REVIEW
affiliation-7af3673c6018-start,2015-01-01,affiliations_start,affiliation-7af3673c6018,person-15675a9ecd53,Ricardo Berzoini,,PT,PARTY,adjudicated_continuity,C024;C032;LEG-a0ba08a78c10;LEG-fc4f25515b67,C024;C032;PERSON-CONTINUITY-REVIEW
affiliation-7b274d41a3ea-start,2015-01-01,affiliations_start,affiliation-7b274d41a3ea,person-bab2d25de60e,Edson Coelho Araújo,,MDB,PARTY,adjudicated_continuity,C024;LEG-7313721f7d0a,C024;PERSON-CONTINUITY-REVIEW
affiliation-7d9b15c431f8-start,2015-01-01,affiliations_start,affiliation-7d9b15c431f8,person-a9747949f291,Mauro Vieira,,,UNAFFILIATED,adjudicated_continuity,LEG-2f545a0a2af9,PERSON-CONTINUITY-REVIEW
affiliation-7dc2db2ea744-start,2015-01-01,affiliations_start,affiliation-7dc2db2ea744,person-e97a73d54d22,Juca Ferreira,,PT,PARTY,adjudicated_continuity,LEG-e0ac31b0f981,PERSON-CONTINUITY-REVIEW
affiliation-813232b2bc21-start,2015-01-01,affiliations_start,affiliation-813232b2bc21,person-3b1d01f95a61,Miguel Rossetto,,PT,PARTY,adjudicated_continuity,C024;C032;LEG-06075cf8fce5;LEG-8670a70acb8c,C024;C032;PERSON-CONTINUITY-REVIEW
affiliation-868ac39afc7e-start,2015-01-01,affiliations_start,affiliation-868ac39afc7e,person-aa911998b3f6,Nilma Lino Gomes,,,UNAFFILIATED,adjudicated_continuity,C024;C032;LEG-761e73bcf196;LEG-bcc69be0973d,C024;C032;PERSON-CONTINUITY-REVIEW
