office_id,office_name,administration_id,start_inclusive,end_exclusive,qualifying_status,scope_basis,date_status,evidence_ids
bolsonaro-banco-central,Banco Central,bolsonaro,2019-01-01,2021-02-25,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,OFF-019;OFF-020;OFF-019;OFF-020;OFF-021;OFF-022;OFF-019;OFF-020;OFF-021
bolsonaro-secretaria-governo,Secretaria de Governo,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-0561fae55600;LEG-083b3c9ae8ee;LEG-ce9aa704d046;LEG-f997e70b3675;OFF-019
bolsonaro-agu,Advocacia-Geral da União,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-0619874c39e2;LEG-066b940f16e0;LEG-92e9b59b9825;LEG-ee50e9c3bdf3;OFF-019
bolsonaro-meio-ambiente,Ministério do Meio Ambiente,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-08ce7329060f;LEG-d0cbe95249e0;OFF-019
bolsonaro-cgu,Controladoria-Geral da União,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-0a433c253eb3;OFF-019
bolsonaro-cidadania,Ministério da Cidadania,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-0b81a0214570;LEG-2652bfa0305c;LEG-e0e4ca4ca8d3;LEG-e0e860c3a1e2;OFF-019
bolsonaro-secretaria-geral,Secretaria-Geral da Presidência da República,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-0d5fe63fcadb;LEG-607f4976d0f0;LEG-6a03da16e908;LEG-6f1e3b239fc3;LEG-79030362edda;LEG-e62d7a3cb75d;OFF-019
bolsonaro-desenvolvimento-regional,Ministério do Desenvolvimento Regional,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-1f0c8beb2f9f;LEG-8693fc5ad84e;LEG-c4002690b590;OFF-019
bolsonaro-saude,Ministério da Saúde,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-23516089df3e;LEG-61f568dd5701;LEG-80228da93ab9;LEG-f48fe3f88953;OFF-019
bolsonaro-economia,Ministério da Economia,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-24bdcc54c414;OFF-019
bolsonaro-ciencia-tecnologia,"Ministério da Ciência, Tecnologia e Inovações",bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-27cb82daf344;LEG-6e56717fdb65;OFF-019
bolsonaro-justica,Ministério da Justiça e Segurança Pública,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-2ffad066f860;LEG-8534d7a64a42;LEG-87ae07a227bd;OFF-019
bolsonaro-infraestrutura,Ministério da Infraestrutura,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-310d8d95dc92;LEG-7a6d44294d17;OFF-019
bolsonaro-agricultura,"Ministério da Agricultura, Pecuária e Abastecimento",bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-342db9e7f38f;LEG-b0900f041b01;OFF-019
bolsonaro-turismo,Ministério do Turismo,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-3711a94038ea;LEG-3a3c01153d10;LEG-6a60736fa9a9;OFF-019
bolsonaro-comunicacoes,Ministério das Comunicações,bolsonaro,2020-06-10,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-3f060ebf15da;LEG-c3b41de7e8c0;OFF-048
bolsonaro-relacoes-exteriores,Ministério das Relações Exteriores,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-4e7ce6988315;LEG-9dd6c6a98b8f;OFF-019
bolsonaro-educacao,Ministério da Educação,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-50bddd305e20;LEG-ae1c28478e53;LEG-b6119274bf0c;LEG-d9b4064c62f2;OFF-029;OFF-030;OFF-019
bolsonaro-minas-e-energia,Ministério de Minas e Energia,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-5b2c802041f5;LEG-68fffc6a2b22;OFF-019
bolsonaro-casa-civil,Casa Civil,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-62197e617b7c;LEG-d1a5739ab53a;LEG-df0a18aba9ff;LEG-ebe4d4a81d54;OFF-019
bolsonaro-defesa,Ministério da Defesa,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-70db330a83a1;LEG-7cd94731dd90;LEG-dacd12d72fdc;OFF-019
bolsonaro-mulher-familia-direitos,"Ministério da Mulher, da Família e dos Direitos Humanos",bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-8c8c4650eaeb;LEG-b90af80ef12a;OFF-019
bolsonaro-gsi,Gabinete de Segurança Institucional,bolsonaro,2019-01-01,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-ba6b7e4f1910;OFF-019
bolsonaro-trabalho,Trabalho,bolsonaro,2021-07-28,2023-01-01,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,OFF-023;OFF-024;ATLAS-636;OFF-025;ATLAS-637;OFF-023;OFF-024;OFF-025
dilma_2-secretaria-geral,Secretaria-Geral da Presidência,dilma_2,2015-01-01,2015-10-05,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-06075cf8fce5;LEG-fc4f25515b67;OFF-005;OFF-006
dilma_2-pesca-e-aquicultura,Ministério da Pesca e Aquicultura,dilma_2,2015-01-01,2015-10-05,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-1591c82663db;OFF-005;OFF-006
dilma_2-assuntos-estrategicos,Secretaria de Assuntos Estratégicos,dilma_2,2015-01-01,2015-10-05,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-165ae748c303;LEG-7076a873efe6;LEG-f2d52d14d0bb;OFF-005;OFF-006
dilma_2-gsi,Gabinete de Segurança Institucional,dilma_2,2015-01-01,2015-10-05,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-3274ba9a4075;OFF-005;OFF-006
dilma_2-politicas-de-promocao-da-igualdade-racial,Secretaria de Políticas de Promoção da Igualdade Racial,dilma_2,2015-01-01,2015-10-05,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-761e73bcf196;OFF-005;OFF-006
dilma_2-relacoes-institucionais,Secretaria de Relações Institucionais,dilma_2,2015-01-01,2015-10-05,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-7fd64bd02e06;OFF-005;OFF-006
dilma_2-politicas-para-as-mulheres,Secretaria de Políticas para as Mulheres,dilma_2,2015-01-01,2015-10-05,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-92ed8875155b;OFF-005;OFF-006
dilma_2-previdencia-social,Ministério da Previdência Social,dilma_2,2015-01-01,2015-10-05,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-b3f068a0416e;OFF-005;OFF-006
dilma_2-direitos-humanos,Secretaria de Direitos Humanos,dilma_2,2015-01-01,2015-10-05,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-b81907f65c5f;LEG-bcc69be0973d;LEG-d13b06a2d6ea;OFF-005;OFF-006
dilma_2-micro-e-pequena-empresa,Secretaria da Micro e Pequena Empresa,dilma_2,2015-01-01,2015-10-05,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,LEG-ea956fb419a3;OFF-005;OFF-006
dilma_2-aviacao-civil,Secretaria de Aviação Civil,dilma_2,2015-01-01,2016-05-12,Minister of State,Enclosed OFF legal scope and explicit service review,paper_adjudicated_scope,ATLAS-554;LEG-7a1f7e7148d0;LEG-90f1b4fb4472;LEG-d2f12b350683;LEG-f1b582114b4b;OFF-004
