predecessor_party_id,successor_party_id,effective_date,event_type,evidence_ids
PODEMOS,PODEMOS,2017-05-16,rename,AFF-048
PATRIOTA,PATRIOTA,2018-04-26,rename,C065
MDB,MDB,2018-05-15,rename,AFF-045
SOLIDARIEDADE,SOLIDARIEDADE,2018-06-28,rename,C065
PP,PP,2018-09-11,rename,C065
PRP,PATRIOTA,2019-03-28,incorporation,C065
PL,PL,2019-05-07,rename,AFF-046
REPUBLICANOS,REPUBLICANOS,2019-08-15,rename,AFF-047
CIDADANIA,CIDADANIA,2019-09-19,rename,AFF-048
DEM,UNIAO,2022-02-08,merger,AFF-044
PSL,UNIAO,2022-02-08,merger,AFF-044
PROS,SOLIDARIEDADE,2023-02-14,incorporation,AFF-050
PSC,PODEMOS,2023-06-15,incorporation,AFF-051
PATRIOTA,PRD,2023-11-09,merger,AFF-052
PTB,PRD,2023-11-09,merger,AFF-052
