party_id,label,start_inclusive,end_exclusive,evidence_ids
PODEMOS,PTN,2015-01-01,2017-05-16,AFF-045;AFF-046;AFF-047;AFF-048;C065
PATRIOTA,PEN,2015-01-01,2018-04-26,C065
MDB,PMDB,2015-01-01,2018-05-15,AFF-045;AFF-046;AFF-047;AFF-048;C065
SOLIDARIEDADE,SD,2015-01-01,2018-06-28,C065
PRP,PRP,2015-01-01,2019-03-28,C065
PL,PR,2015-01-01,2019-05-07,AFF-045;AFF-046;AFF-047;AFF-048;C065
REPUBLICANOS,PRB,2015-01-01,2019-08-15,AFF-045;AFF-046;AFF-047;AFF-048;C065
CIDADANIA,PPS,2015-01-01,2019-09-19,AFF-045;AFF-046;AFF-047;AFF-048;C065
DEM,DEM,2015-01-01,2022-02-08,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PSL,PSL,2015-01-01,2022-02-08,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PROS,PROS,2015-01-01,2023-02-14,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PSC,PSC,2015-01-01,2023-06-15,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PATRIOTA,PATRIOTA,2018-04-26,2023-11-09,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PTB,PTB,2015-01-01,2023-11-09,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
NOVO,NOVO,2015-09-15,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PCdoB,PCdoB,2015-01-01,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PDT,PDT,2015-01-01,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PP,PP,2015-01-01,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PRD,PRD,2023-11-09,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PSB,PSB,2015-01-01,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PSD,PSD,2015-01-01,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PSDB,PSDB,2015-01-01,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PSOL,PSOL,2015-01-01,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PT,PT,2015-01-01,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
PV,PV,2015-01-01,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
REDE,REDE,2015-09-22,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
SOLIDARIEDADE,SOLIDARIEDADE,2018-06-28,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
UNIAO,UNIAO,2022-02-08,2026-03-20,AFF-044;AFF-049;AFF-050;AFF-051;AFF-052;AFF-053;C065
CIDADANIA,CIDADANIA,2019-09-19,2026-03-20,AFF-045;AFF-046;AFF-047;AFF-048;C065
MDB,MDB,2018-05-15,2026-03-20,AFF-045;AFF-046;AFF-047;AFF-048;C065
PL,PL,2019-05-07,2026-03-20,AFF-045;AFF-046;AFF-047;AFF-048;C065
PODEMOS,PODEMOS,2017-05-16,2026-03-20,AFF-045;AFF-046;AFF-047;AFF-048;C065
REPUBLICANOS,REPUBLICANOS,2019-08-15,2026-03-20,AFF-045;AFF-046;AFF-047;AFF-048;C065
