person_id,person_name
person-03674b52507a,Carlos Fávaro
person-038c1ba175f1,Wolney Queiroz
person-03c9d5b23d79,Pedro Cesar Nunes Ferreira Marques de Sousa
person-03e5816de50d,Carlos Eduardo Gabas
person-0429cfdf16f2,Augusto Heleno
person-052252ad8b69,Aloizio Mercadante
person-06d7d8eceb28,Tereza Campello
person-084754daf6e9,Jader Barbalho Filho
person-0b9c7bbdb3fe,Walter Braga Netto
person-0c933c9fd291,Gilberto Kassab
person-0d44fe4521b9,João Roma
person-0da4a679c59d,Flávio Dino
person-0dd4119dea52,Waldez Góes
person-0fbaba5c8624,Luiz Eduardo Ramos
person-0fde3aa24a12,Sônia Guajajara
person-124094b2bfa2,Gilson Machado Neto
person-1524cb7ccc12,José Elito Carvalho Siqueira
person-15675a9ecd53,Ricardo Berzoini
person-16ea0c2b585a,Vinicius Lages
person-1a6fb01c17d6,Sérgio Etchegoyen
person-1a9f69c72058,Floriano Peixoto Vieira Neto
person-1bf1b217be4a,Sergio Moro
person-1c11e767f427,Adolfo Sachsida
person-1c65a93af898,Luiz Inácio Lula da Silva
person-1eca0d922c8e,Fernando Bezerra Coelho Filho
person-20d6d1c35408,Rogério Marinho
person-22683c1aec2c,Alexandre Tombini
person-2386b1d96cb0,Simone Tebet
person-2471c2d4df75,André Fufuca
person-27563f8cf17b,Bruno Araújo
person-289af7b4f132,Milton Ribeiro
person-29d7f5939122,Carlos Lupi
person-2b7bc2067f3b,Tarcísio de Freitas
person-2c3dff30638f,Marcelo Queiroga
person-2f002dc5bdc9,Eliseu Padilha
person-30bed103385a,Torquato Jardim
person-31126468e4b1,Marx Beltrão
person-322643379e9d,Carlos Alberto dos Santos Cruz
person-326c14e875d3,André Mendonça
person-34a8cf0e1dd6,Valter Casimiro Silveira
person-3501522a16bc,Romero Jucá
person-358ab99f9eea,Vinícius Marques de Carvalho
person-3695143e73fd,Daniel Duarte Ferreira
person-36c135f51965,George Hilton
person-37d1541c30a3,Ernesto Araújo
person-37f571ff3c86,Marcos Galvão
person-38f714851a92,Antonio Carlos Rodrigues
person-3978546739e7,Manoel Dias
person-3b1d01f95a61,Miguel Rossetto
person-3cb227b769ce,Grace Mendonça
person-3d3adfcdf05f,Marcelo Castro
person-40b55dc0bb6c,Leandro Cruz Fróes da Silva
person-40f3a2e695f4,Paulo Guedes
person-42c80e28db4f,Luiz Cláudio Costa
person-43d3df106f94,Luislinda Valois
person-4597724356b9,Ronaldo Nogueira
person-467237911319,Jorge Messias
person-47c2eec4ae3b,Thomas Traumann
person-47db0dcff2a7,Cristiane Brasil
person-48a2cca11210,Marco Aurélio de Queiroz Campos
person-493daa3b8149,Valdir Moysés Simão
person-4a5b603c4e67,Juscelino Filho
person-4a62f5bd6174,Celso Pansera
person-4b3c84ef1e38,Mauro Lopes
person-4dbf0bdfa625,Moreira Franco
person-5139ef661a7d,Kátia Abreu
person-5197b843a7c6,Bruno Bianco Leal
person-561613fe4a6e,Maria Estella Dantas Antonichelli
person-57a1c7594de5,Gilberto Occhi
person-5936250a32d3,Gustavo Canuto
person-59b200bc0126,Leonardo Picciani
person-5a4f56e80b67,Carlos Alberto Gomes de Brito
person-5ade68870caa,Manoel Carlos de Almeida Neto
person-5b1d1a1c9c4f,André de Paula
person-5d5c6255c599,Henrique Eduardo Alves
person-5fd0956c528c,Cid Gomes
person-60f8b677bb39,Ana Moser
person-620c3584df9c,Luciana Santos
person-622e9e6e1cc2,Sidônio Palmeira
person-6384d7c259dc,Carlos Decotelli
person-679284c8b6a4,Cida Gonçalves
person-67b7120fa858,Jorge Oliveira
person-69112e380c0b,Inês da Silva Magalhães
person-69c3d0fe4619,Helder Barbalho
person-6e11e60e71b7,Maurício Quintella Lessa
person-6e58f0606af5,Wagner Rosário
person-6e762df38945,Armando Monteiro
person-6e95055d8cff,Anderson Torres
person-6f575955e5ae,Eduardo Pazuello
person-6f9b22d26357,Alexandre Padilha
person-6fc90e9e6006,Paulo César Alvim
person-701837a286fb,Fernando Azevedo e Silva
person-74c3b4df9e1a,Maria Fernanda Ramos Coelho
person-74eb6ba4197c,Bento Albuquerque
person-771d907e0f23,Ricardo Vélez Rodríguez
person-776b909a53e5,Ricardo Lewandowski
person-77a67c261215,Márcio Macêdo
person-7c277f7f61b2,João Batista de Andrade
person-7d71eab96e03,Joaquim Alvaro Pereira Leite
person-7e402352458c,Daniela Carneiro
person-81ec7a04357e,Sarney Filho
person-82c36630e42f,Antonio Paulo Vogel
person-82d2816ba9d8,Ilan Goldfajn
person-82f55f78ebd6,Mendonça Filho
person-840d333b3397,Rui Costa
person-84d03af199f4,Wellington César Lima e Silva
person-85a79785a4b2,Fábio Medina Osório
person-86b811c075f6,Eduardo Braga
person-86d3dadcfd0f,José Levi Mello
person-87ad75f8d2f9,Damares Alves
person-882405f44f66,Roberto Campos Neto
person-884dd07ee0fc,Eva Chiavon
person-88d109b51eb0,Ronaldo Vieira Bento
person-8a2d89267620,Marcos Jorge de Lima
person-8aa66af5537a,Esther Dweck
person-8c343d996b0d,Dyogo Oliveira
person-8ce936917da4,Sílvio Costa Filho
person-8dc226f411d7,Ideli Salvatti
person-8fe557c5943b,Paulo Pimenta
person-90757367fdcf,Patrus Ananias
person-94039ea6c1ed,Marcelo Sampaio
person-940be97e3133,Sônia Faustino Mendes
person-957fc85102e7,José Serra
person-958d8b84b828,Carlos Marun
person-95a7db1ddc55,Marina Silva
person-95ad6fa20856,Osmar Terra
person-96c220ae0629,Celso Sabino
person-97d87d5bc202,Esteves Colnago
person-99dce727f50d,Paulo Sérgio Nogueira de Oliveira
person-9b5ce7be473f,Marco Antônio Martins Almeida
person-9cdf4e7199c3,Cristiane Britto
person-9cf6aaca0bc9,Alberto Alves
person-9d960627aeac,Eugênio Aragão
person-9df96d30297f,Pádua Andrade
person-9e9d2c2a173e,Jaques Wagner
person-9fe6d70bf384,Edinho Silva
person-C029-roberto-bocorny-messias,Roberto Bocorny Messias
person-a0d1dbbd1239,Marcelo Neri
person-a25fdc2c76f8,Marcos Pereira
person-a4d00cc5738e,Silvio Almeida
person-a4e239dfc327,Pepe Vargas
person-a74198f91d7f,Onyx Lorenzoni
person-a7e366e12926,Paulo Teixeira
person-a8fa920e4c2c,Marcos Antonio Amaro dos Santos
person-a9747949f291,Mauro Vieira
person-aa5f8262ea48,Luís Inácio Adams
person-aa911998b3f6,Nilma Lino Gomes
person-aad1a5fad29f,Sérgio Sá Leitão
person-aafdc596ffb6,Renato Janine Ribeiro
person-ab2d74d8fcaf,Eleonora Menicucci
person-ab37c3a157a5,Roberto Freire
person-ac90462d73a6,Dario Durigan
person-ad64ef4485f1,Victor Godoy Veiga
person-ae882a0b01e7,Guilherme Afif Domingos
person-aea12d3cd8f6,Anielle Franco
person-af97e0cae87f,Ciro Nogueira
person-ana-carla-machado-lopes,Ana Carla Machado Lopes
person-b178a128a47e,Arthur Chioro
person-b3c07bf64b96,Gustavo Bebianno
person-b3d44fb99031,Ricardo Leyser
person-b4682cd5afd5,Alexandre de Moraes
person-b641d5449471,Alberto Beltrame
person-b681473bece5,Nísia Trindade
person-b70c083991e4,Márcia Lopes
person-b8dfe242ff4d,Marcos Montes
person-b983e95c8716,Macaé Evaristo
person-b9f0ad68aacc,Guilherme Boulos
person-bab2d25de60e,Edson Coelho Araújo
person-bb7b68961b8f,Geraldo Alckmin
person-bff2f0982308,Camilo Santana
person-c0ab45f1955b,Wellington Dias
person-c0ea546db6a5,Fábio Faria
person-c1f238f4da7e,Maurício Muniz Barreto de Carvalho
person-c3a21dbca21c,Ricardo Cappelli
person-c3f91d34e31b,Caio Vieira de Mello
person-c505ea49abf6,Márcio França
person-c5ac8c46fc68,Eduardo Guardia
person-c5b20dc3c4ca,Frederico Siqueira
person-c65a317c70db,Tereza Cristina
person-c662b71943eb,Geddel Vieira Lima
person-c804f816babb,Izabella Teixeira
