period_id,administration_id,start_inclusive,end_exclusive,days,composition_status,party_ids,definite_party_ids,possible_party_ids,provisional_days,provisional_person_ids,primary_assumption_ids,unknown_person_ids,bounded_affiliation_ids,masked_person_ids,decision_ids
dilma_2-2015-01-01,dilma_2,2015-01-01,2015-03-19,77,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,,0,,,,,,C009;C021;C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R01;R02;R03;R04
dilma_2-2015-03-19,dilma_2,2015-03-19,2016-03-18,365,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,0,,,,,,C009;C021;C024;C031;C032;C055;OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02;R03;R04
dilma_2-2016-03-18,dilma_2,2016-03-18,2016-03-31,13,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB,,0,,,,,,C009;C024;C031;C032;C055;OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02;R03;R04
dilma_2-2016-03-31,dilma_2,2016-03-31,2016-04-14,14,primary_adjudicated,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,,0,,,,,,C009;C024;C031;C032;C055;OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R03;R04
dilma_2-2016-04-14,dilma_2,2016-04-14,2016-04-19,5,primary_adjudicated,MDB;PCdoB;PDT;PL;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PSD;PT;PTB,,0,,,,,,C005;C009;C024;C031;C032;C055;OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04
dilma_2-2016-04-19,dilma_2,2016-04-19,2016-05-12,23,primary_adjudicated,MDB;PCdoB;PDT;PL;PT;PTB,MDB;PCdoB;PDT;PL;PT;PTB,,0,,,,,,C009;C024;C031;C032;C055;OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
temer-2016-05-12,temer,2016-05-12,2016-10-10,151,primary_adjudicated,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,,0,,,,,,C006;C045;C047;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30
temer-2016-10-10,temer,2016-10-10,2016-10-11,1,primary_adjudicated,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,PSDB,0,,,,,person-paulo-pedrosa,C047;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R11
temer-2016-10-11,temer,2016-10-11,2016-10-25,14,primary_adjudicated,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,,0,,,,,,C006;C047;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30
temer-2016-10-25,temer,2016-10-25,2016-10-26,1,primary_adjudicated,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,PSDB,0,,,,,person-paulo-pedrosa,C047;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R11
temer-2016-10-26,temer,2016-10-26,2017-04-26,182,primary_provisional,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,PSDB,70,person-ivani-dos-santos,V5A001,person-ivani-dos-santos,,person-37f571ff3c86,C006;C035;C040;C041;C047;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30;V5ROOTD002
temer-2017-04-26,temer,2017-04-26,2017-04-27,1,primary_adjudicated,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,PSDB,0,,,,,person-paulo-pedrosa,C035;C040;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R11
temer-2017-04-27,temer,2017-04-27,2017-08-02,97,primary_adjudicated,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,,0,,,,,,C006;C008;C035;C040;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30
temer-2017-08-02,temer,2017-08-02,2017-08-03,1,primary_provisional,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,PSDB,1,person-ivani-dos-santos,V5A002,person-ivani-dos-santos,,person-paulo-pedrosa,C040;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R11;V5ROOTD002
temer-2017-08-03,temer,2017-08-03,2017-10-18,76,primary_adjudicated,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,,0,,,,,,C006;C035;C040;C041;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30
