alias,person_id,person_name,basis
Abraham Weintraub,person-e76ae1eaa3cb,Abraham Weintraub,canonical observed form
Adolfo Sachsida,person-1c11e767f427,Adolfo Sachsida,canonical observed form
Alberto Alves,person-9cf6aaca0bc9,Alberto Alves,canonical observed form
Alberto Beltrame,person-b641d5449471,Alberto Beltrame,canonical observed form
Aldo Rebelo,person-d1c3d895582d,Aldo Rebelo,canonical observed form
Alessandro Golombiewski Teixeira,person-d63b83da527a,Alessandro Teixeira,explicit reviewed spelling/name variant
Alessandro Teixeira,person-d63b83da527a,Alessandro Teixeira,canonical observed form
Alexandre Baldy,person-ec79bc7d93e1,Alexandre Baldy,canonical observed form
Alexandre Padilha,person-6f9b22d26357,Alexandre Padilha,canonical observed form
Alexandre Silveira,person-f54620dbe5c6,Alexandre Silveira,canonical observed form
Alexandre Tombini,person-22683c1aec2c,Alexandre Tombini,canonical observed form
Alexandre de Moraes,person-b4682cd5afd5,Alexandre de Moraes,canonical observed form
Aloizio Mercadante,person-052252ad8b69,Aloizio Mercadante,canonical observed form
Aloysio Nunes,person-ff3ca3610dba,Aloysio Nunes,canonical observed form
Aloízio Mercadante,person-052252ad8b69,Aloizio Mercadante,explicit reviewed spelling/name variant
Ana Carla Machado Lopes,person-ana-carla-machado-lopes,Ana Carla Machado Lopes,C073 official executive-secretary and vacancy service records
Ana Moser,person-60f8b677bb39,Ana Moser,canonical observed form
Anderson Gustavo Torres,person-6e95055d8cff,Anderson Torres,explicit reviewed spelling/name variant
Anderson Torres,person-6e95055d8cff,Anderson Torres,canonical observed form
André Figueiredo,person-d4b727e131c9,André Figueiredo,canonical observed form
André Fufuca,person-2471c2d4df75,André Fufuca,canonical observed form
André Luiz de Carvalho Ribeiro (André Fufuca),person-2471c2d4df75,André Fufuca,explicit reviewed spelling/name variant
André Mendonça,person-326c14e875d3,André Mendonça,canonical observed form
André de Paula,person-5b1d1a1c9c4f,André de Paula,canonical observed form
Anielle Franco,person-aea12d3cd8f6,Anielle Franco,canonical observed form
Antonio Carlos Rodrigues,person-38f714851a92,Antonio Carlos Rodrigues,canonical observed form
Antonio Paulo Vogel,person-82c36630e42f,Antonio Paulo Vogel,canonical observed form
Antônio Imbassahy,person-e88c07c66af0,Antônio Imbassahy,canonical observed form
Antônio de Pádua de Deus,person-9df96d30297f,Pádua Andrade,explicit reviewed spelling/name variant
Armando Monteiro,person-6e762df38945,Armando Monteiro,canonical observed form
Arthur Chioro,person-b178a128a47e,Arthur Chioro,canonical observed form
Augusto Heleno,person-0429cfdf16f2,Augusto Heleno,canonical observed form
Bento Albuquerque,person-74eb6ba4197c,Bento Albuquerque,canonical observed form
Bento Costa Lima Leite,person-74eb6ba4197c,Bento Albuquerque,explicit reviewed spelling/name variant
