previous_period_id,previous_dependency,previous_person_name,office_id,start_inclusive,end_exclusive,disposition,current_service_ids,current_affiliation_ids,resolved_succession,remaining_dependencies,days_still_blocked,primary_unfilled_days,evidence_ids,decision_ids
bolsonaro-2019-06-20,office:gap-338339209be8,,bolsonaro-secretaria-geral,2019-06-20,2019-06-21,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-34,affiliation-abad9262886b,Floriano Peixoto Vieira Neto 2019-06-20/2019-06-21 titular,,0,0,ATLAS-665;C043;LEG-6f1e3b239fc3,C043;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2020-02-14,office:gap-0f706e8bf05b,,bolsonaro-cidadania,2020-02-14,2020-02-18,resolved_by_service_and_affiliation_adjudication,service-C054-welington-coimbra,affiliation-C054-welington-coimbra-2020-02-14,Welington Coimbra (Lelo Coimbra) 2020-02-14/2020-02-18 vacancy_acting,,0,0,C054,C054
bolsonaro-2020-02-14,office:gap-191906ee0aa7,,bolsonaro-casa-civil,2020-02-14,2020-02-18,historical_dependency_retained_primary_filled_by_assumption,service-C057-marcos-paulo-cardoso-coelho-da-silva,affiliation-C057-marcos-paulo-cardoso-coelho-da-silva-2020-02-14,Marcos Paulo Cardoso Coelho da Silva 2020-02-14/2020-02-18 vacancy_acting,person-marcos-paulo-cardoso-coelho-da-silva,4,0,C057;V5W3E003,C057;V5W3D003
bolsonaro-2020-04-16,office:gap-5d91b70c9644,,bolsonaro-saude,2020-04-16,2020-04-17,resolved_by_service_and_affiliation_adjudication,service-C062-joao-gabbardo-dos-reis,affiliation-C062-joao-gabbardo-dos-reis-2020-04-16,João Gabbardo dos Reis 2020-04-16/2020-04-17 vacancy_acting,,0,0,C062;C066,C062;C066
bolsonaro-2020-04-24,office:gap-d961ba1443b8,,bolsonaro-agu,2020-04-24,2020-05-07,historical_dependency_retained_primary_filled_by_assumption,service-C056-renato-de-lima-franca;service-jair_bolsonaro-0-29;service-jair_bolsonaro-0-30,affiliation-5dbeed312323;affiliation-C020-levi-agu;affiliation-C056-renato-de-lima-franca-2020-04-28;affiliation-e145e8652a0f,Renato de Lima França 2020-04-28/2020-04-29 vacancy_acting | André Mendonça 2020-04-24/2020-04-28 titular | José Levi Mello 2020-04-29/2020-05-07 titular,person-renato-de-lima-franca,1,0,ATLAS-620;C020;C049;C056;LEG-066b940f16e0;LEG-92e9b59b9825;V5W3E002,C020;C049;C056;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;V5W3D002
bolsonaro-2020-04-24,office:gap-dbf1e0074c70,,bolsonaro-justica,2020-04-24,2020-05-07,historical_dependency_retained_primary_filled_by_assumption,service-C060-luiz-pontel-de-souza;service-jair_bolsonaro-0-13,affiliation-5dbeed312323;affiliation-C060-luiz-pontel-de-souza-2020-04-24;affiliation-e145e8652a0f,Luiz Pontel de Souza 2020-04-24/2020-04-29 vacancy_acting | André Mendonça 2020-04-29/2020-05-07 titular,person-luiz-pontel-de-souza,5,0,ATLAS-620;C049;C060;LEG-8534d7a64a42;LEG-92e9b59b9825;V5W3E001,C049;C060;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;V5W3D001
bolsonaro-2020-04-24,person-86d3dadcfd0f,José Levi Mello,bolsonaro-agu,2020-04-24,2020-05-07,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-30,affiliation-C020-levi-agu,José Levi Mello 2020-04-29/2020-05-07 titular,,0,0,C020;C049;LEG-066b940f16e0,C020;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2020-05-07,office:gap-3eff7d6cf966,,bolsonaro-saude,2020-05-07,2020-06-17,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-26;service-jair_bolsonaro-0-27,affiliation-93eef935bb56;affiliation-af7014b3ba2c,Nelson Teich 2020-05-07/2020-05-15 titular | Eduardo Pazuello 2020-05-15/2020-06-17 vacancy_acting_then_titular,,0,0,C042;LEG-23516089df3e;LEG-80228da93ab9,C042;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2020-05-07,office:gap-d7f698a7616a,,bolsonaro-comunicacoes,2020-05-07,2020-06-17,resolved_by_explicit_office_vacancy_adjudication,,, VACANT_PENDING_FIRST_MINISTER: C050: legally created ministerial office awaiting first actual ministerial possession; administrative support does not appoint a minister.,,0,0,C050,
bolsonaro-2020-05-07,person-86d3dadcfd0f,José Levi Mello,bolsonaro-agu,2020-05-07,2020-06-17,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-30,affiliation-C020-levi-agu,José Levi Mello 2020-05-07/2020-06-17 titular,,0,0,C020;C049;LEG-066b940f16e0,C020;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2020-06-17,person-86d3dadcfd0f,José Levi Mello,bolsonaro-agu,2020-06-17,2020-06-18,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-30,affiliation-C020-levi-agu,José Levi Mello 2020-06-17/2020-06-18 titular,,0,0,C020;C049;LEG-066b940f16e0,C020;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2020-06-18,person-82c36630e42f,Antonio Paulo Vogel,bolsonaro-educacao,2020-06-18,2020-09-19,resolved_by_service_and_affiliation_adjudication,service-f6cebee00b4b,affiliation-a58a4f54722e,Antonio Paulo Vogel 2020-06-20/2020-07-16 vacancy_acting,,0,0,C025;OFF-029;OFF-030,C025;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW
bolsonaro-2020-06-18,person-86d3dadcfd0f,José Levi Mello,bolsonaro-agu,2020-06-18,2020-09-19,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-30,affiliation-C020-levi-agu,José Levi Mello 2020-06-18/2020-09-19 titular,,0,0,C020;C049;LEG-066b940f16e0,C020;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2020-09-19,person-86d3dadcfd0f,José Levi Mello,bolsonaro-agu,2020-09-19,2020-12-09,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-30,affiliation-C020-levi-agu,José Levi Mello 2020-09-19/2020-12-09 titular,,0,0,C020;C049;LEG-066b940f16e0,C020;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2020-12-09,person-03c9d5b23d79,Pedro Cesar Nunes Ferreira Marques de Sousa,bolsonaro-secretaria-geral,2020-12-09,2021-02-12,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-36,affiliation-e330badabc4e,Pedro Cesar Nunes Ferreira Marques de Sousa 2020-12-31/2021-02-12 vacancy_acting,,0,0,C026;C028;LEG-79030362edda,C026;C028;OFFICE-CAPACITY-2020;PERSON-CONTINUITY-REVIEW
bolsonaro-2020-12-09,person-86d3dadcfd0f,José Levi Mello,bolsonaro-agu,2020-12-09,2021-02-12,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-30,affiliation-C020-levi-agu,José Levi Mello 2020-12-09/2021-02-12 titular,,0,0,C020;C049;LEG-066b940f16e0,C020;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
bolsonaro-2021-02-12,office:gap-341700ad454b,,bolsonaro-justica,2021-02-12,2021-03-31,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-13;service-jair_bolsonaro-0-14,affiliation-3a6107bc4318;affiliation-e145e8652a0f,André Mendonça 2021-02-12/2021-03-30 titular | Anderson Torres 2021-03-30/2021-03-31 titular,,0,0,AFF-017;AFF-018;AFF-019;ATLAS-620;C049;LEG-2ffad066f860;LEG-8534d7a64a42;OFF-051,C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R19
bolsonaro-2021-02-12,office:gap-6d577977c840,,bolsonaro-agu,2021-02-12,2021-03-31,resolved_by_service_and_affiliation_adjudication,service-jair_bolsonaro-0-30;service-jair_bolsonaro-0-31,affiliation-C020-levi-agu;affiliation-e145e8652a0f,José Levi Mello 2021-02-12/2021-03-30 titular | André Mendonça 2021-03-30/2021-03-31 titular,,0,0,ATLAS-620;C020;C049;LEG-066b940f16e0;LEG-ee50e9c3bdf3,C020;C049;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
