period_id,administration_id,start_inclusive,end_exclusive,days,composition_status,party_ids,definite_party_ids,possible_party_ids,unknown_person_ids,bounded_affiliation_ids,masked_person_ids,decision_ids
bolsonaro-2022-03-30,bolsonaro,2022-03-30,2022-03-31,1,unidentified,,PL;PP;REPUBLICANOS;UNIAO,,person-5197b843a7c6,,,BOL-A01;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R16;R17;R18;R21;R22;R23;R24;R30
bolsonaro-2022-03-27,bolsonaro,2022-03-27,2022-03-28,1,unidentified,,PL;PP;PSC;UNIAO,,person-5197b843a7c6,,,BOL-A01;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R16;R21;R22;R23;R24;R30
bolsonaro-2019-06-20,bolsonaro,2019-06-20,2019-06-21,1,unidentified,,DEM;MDB;NOVO;PP;PSL,,office:gap-338339209be8,,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R15;R17;R30
bolsonaro-2021-08-06,bolsonaro,2021-08-06,2022-02-08,186,unidentified,,DEM;PL;PP;PSC;PSD;PSL;REPUBLICANOS,,person-5197b843a7c6,,,BOL-A01;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R16;R21;R22;R23;R24;R30
bolsonaro-2022-03-28,bolsonaro,2022-03-28,2022-03-30,2,unidentified,,PL;PP;PSC;REPUBLICANOS;UNIAO,,office:gap-9fa4901067f0;person-5197b843a7c6;person-ad64ef4485f1,,,BOL-A01;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R16;R17;R18;R21;R22;R23;R24;R30
bolsonaro-2022-05-11,bolsonaro,2022-05-11,2023-01-01,235,unidentified,,PP;PSD;REPUBLICANOS;UNIAO,,person-5197b843a7c6;person-561613fe4a6e,,,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R21;R25;R26
bolsonaro-2022-03-24,bolsonaro,2022-03-24,2022-03-27,3,unidentified,,PL;PP;PSC;REPUBLICANOS;UNIAO,,person-5197b843a7c6,,,BOL-A01;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R16;R21;R22;R23;R24;R30
bolsonaro-2022-03-31,bolsonaro,2022-03-31,2022-05-11,41,unidentified,,PP;PSD;REPUBLICANOS,,person-5197b843a7c6,,,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R21;R25
bolsonaro-2021-02-12,bolsonaro,2021-02-12,2021-03-31,47,unidentified,,DEM;PSC;PSD;PSL;REPUBLICANOS,,office:gap-341700ad454b;office:gap-6d577977c840;office:gap-75d2cc0f0c95;office:gap-abb1a128205d;office:gap-dc0d1a34d9b3;person-86d3dadcfd0f,,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R21;R23;R24;R30
bolsonaro-2021-03-31,bolsonaro,2021-03-31,2021-04-06,6,unidentified,,DEM;PL;PSC;PSD;PSL;REPUBLICANOS,,office:gap-75d2cc0f0c95;office:gap-dc0d1a34d9b3,,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R21;R22;R23;R24;R30
bolsonaro-2020-12-09,bolsonaro,2020-12-09,2021-02-12,65,unidentified,,DEM;PSC;PSD;PSL,,person-03c9d5b23d79;person-86d3dadcfd0f,,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R21;R24;R30
bolsonaro-2021-07-28,bolsonaro,2021-07-28,2021-08-04,7,unidentified,,DEM;PL;PSC;PSD;PSL;REPUBLICANOS,,office:gap-36602b281a81,,,BOL-A01;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R21;R22;R23;R24;R30
bolsonaro-2020-09-19,bolsonaro,2020-09-19,2020-12-09,81,unidentified,,DEM;PSD;PSL,,person-86d3dadcfd0f,,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R21;R30
bolsonaro-2020-04-16,bolsonaro,2020-04-16,2020-04-17,1,unidentified,,DEM;NOVO;PP;PSDB;PSL,,office:gap-5d91b70c9644,affiliation-92b6d60a8748,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R15;R16;R17;R30
bolsonaro-2020-06-17,bolsonaro,2020-06-17,2020-06-18,1,unidentified,,DEM;PP;PSD;PSDB;PSL,,person-86d3dadcfd0f,affiliation-92b6d60a8748,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R16;R17;R21;R30
bolsonaro-2020-04-24,bolsonaro,2020-04-24,2020-05-07,13,unidentified,,DEM;NOVO;PP;PSDB;PSL,,office:gap-d961ba1443b8;office:gap-dbf1e0074c70;person-86d3dadcfd0f,affiliation-92b6d60a8748,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R15;R16;R17;R30
bolsonaro-2020-02-14,bolsonaro,2020-02-14,2020-02-18,4,unidentified,,DEM;NOVO;PP;PSDB;PSL,,office:gap-0f706e8bf05b;office:gap-191906ee0aa7,affiliation-92b6d60a8748,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R15;R16;R17
bolsonaro-2020-05-07,bolsonaro,2020-05-07,2020-06-17,41,unidentified,,DEM;PP;PSDB;PSL,,office:gap-3eff7d6cf966;office:gap-d7f698a7616a;person-86d3dadcfd0f,affiliation-92b6d60a8748,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R16;R17;R30
bolsonaro-2022-02-08,bolsonaro,2022-02-08,2022-03-24,44,unidentified,,PL;PP;PSC;PSD;REPUBLICANOS;UNIAO,,person-5197b843a7c6,affiliation-abe479fc17e2,,BOL-A01;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R16;R21;R22;R23;R24;R30
bolsonaro-2020-06-18,bolsonaro,2020-06-18,2020-09-19,93,unidentified,,DEM;PP;PSD;PSL,,person-82c36630e42f;person-86d3dadcfd0f,affiliation-b2eb8d8beb97,,BOL-A01;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R14;R17;R21;R30
dilma_2-2016-03-16,dilma_2,2016-03-16,2016-03-17,1,unidentified,,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,office:gap-15b823bad23e;office:gap-6aabec277edd,,,OFF-005;OFF-006;OFF-007;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02;R03;R04
dilma_2-2016-03-31,dilma_2,2016-03-31,2016-04-14,14,unidentified,,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,,person-9cf6aaca0bc9,,,OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R03;R04
dilma_2-2015-04-07,dilma_2,2015-04-07,2015-10-05,181,unidentified,,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,office:gap-0df65eff6fe6;office:gap-1300879b03fd;office:gap-1532020138d2;office:gap-24fbcafbaa44;office:gap-27f43e69f97a;office:gap-9125ef36bc18;office:gap-987223707daa;office:gap-bd3033c578fc;office:gap-e17b4ce86792;person-df16b033f6c7,,,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02;R03;R04
dilma_2-2016-04-19,dilma_2,2016-04-19,2016-05-12,23,unidentified,,MDB;PCdoB;PDT;PL;PT;PTB,,person-9b5ce7be473f;person-9cf6aaca0bc9;person-c1f238f4da7e;person-e3b49350bd7a;person-ffd279a48828,,,OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
dilma_2-2016-03-28,dilma_2,2016-03-28,2016-03-31,3,unidentified,,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB,,person-9cf6aaca0bc9,,,OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02;R03;R04
dilma_2-2015-12-18,dilma_2,2015-12-18,2015-12-21,3,unidentified,,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,,office:gap-e5a104c25a54,,,OFF-005;OFF-006;OFF-007;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02;R03;R04
dilma_2-2016-03-18,dilma_2,2016-03-18,2016-03-22,4,unidentified,,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB,,office:gap-eb6d519a2c1d,,,OFF-005;OFF-006;OFF-007;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02;R03;R04
