assumption_id,person_id,person_name,affiliation_id,start_inclusive,end_exclusive,evidence_ids,service_ids,record_type,historical_state,assumed_state,assumed_party_id,assumption_kind,alternative_scope,authorization,rationale,decision_ids
V5A011,person-561613fe4a6e,Maria Estella Dantas Antonichelli,affiliation-49705e8c67b1,2022-12-21,2023-01-01,V5W5E003,service-jair_bolsonaro-0-11,PROVISIONAL_MODEL_ASSUMPTION,UNKNOWN,UNAFFILIATED,,user_authorized_no_additional_party,UNBOUNDED,User instruction 2026-09-10: fill every remaining gap using explicitly flagged best-course assumptions.,"After targeted research, formal personal affiliation remains UNKNOWN. For the complete primary export only, assume no additional party contribution. This introduces no party unsupported by an observed witness; it does not establish non-affiliation or constrain the actual historical alternatives. Replace this assumption if qualifying historical evidence becomes available.",V5ROOTD002
V5A004,person-carlos-henrique-menezes-sobral,Carlos Henrique Menezes Sobral,affiliation-C034-carlos-henrique-menezes-sobral-2018-12-31,2018-12-31,2019-01-01,C034;V5W2E001;V5W2E002,service-C034-carlos-henrique-menezes-sobral,PROVISIONAL_MODEL_ASSUMPTION,UNKNOWN,UNAFFILIATED,,user_authorized_no_additional_party,UNBOUNDED,User instruction 2026-09-10: fill every remaining gap using explicitly flagged best-course assumptions.,"After targeted research, formal personal affiliation remains UNKNOWN. For the complete primary export only, assume no additional party contribution. This introduces no party unsupported by an observed witness; it does not establish non-affiliation or constrain the actual historical alternatives. Replace this assumption if qualifying historical evidence becomes available.",V5ROOTD002
V5A001,person-ivani-dos-santos,Ivani dos Santos,affiliation-C035-ivani-dos-santos-2016-11-25,2016-11-25,2017-02-03,C035;V5W1E001;V5W1E002;V5W1E003,service-C035-ivani-dos-santos,PROVISIONAL_MODEL_ASSUMPTION,UNKNOWN,UNAFFILIATED,,user_authorized_no_additional_party,UNBOUNDED,User instruction 2026-09-10: fill every remaining gap using explicitly flagged best-course assumptions.,"After targeted research, formal personal affiliation remains UNKNOWN. For the complete primary export only, assume no additional party contribution. This introduces no party unsupported by an observed witness; it does not establish non-affiliation or constrain the actual historical alternatives. Replace this assumption if qualifying historical evidence becomes available.",V5ROOTD002
V5A002,person-ivani-dos-santos,Ivani dos Santos,affiliation-C035-ivani-dos-santos-2017-08-02-2017-08-02,2017-08-02,2017-08-03,C035;V5W1E001;V5W1E002;V5W1E003,service-C035-ivani-dos-santos-2017-08-02,PROVISIONAL_MODEL_ASSUMPTION,UNKNOWN,UNAFFILIATED,,user_authorized_no_additional_party,UNBOUNDED,User instruction 2026-09-10: fill every remaining gap using explicitly flagged best-course assumptions.,"After targeted research, formal personal affiliation remains UNKNOWN. For the complete primary export only, assume no additional party contribution. This introduces no party unsupported by an observed witness; it does not establish non-affiliation or constrain the actual historical alternatives. Replace this assumption if qualifying historical evidence becomes available.",V5ROOTD002
V5A003,person-ivani-dos-santos,Ivani dos Santos,affiliation-C035-ivani-dos-santos-2017-10-20-2017-10-20,2017-10-20,2017-10-26,C035;V5W1E001;V5W1E002;V5W1E003,service-C035-ivani-dos-santos-2017-10-20,PROVISIONAL_MODEL_ASSUMPTION,UNKNOWN,UNAFFILIATED,,user_authorized_no_additional_party,UNBOUNDED,User instruction 2026-09-10: fill every remaining gap using explicitly flagged best-course assumptions.,"After targeted research, formal personal affiliation remains UNKNOWN. For the complete primary export only, assume no additional party contribution. This introduces no party unsupported by an observed witness; it does not establish non-affiliation or constrain the actual historical alternatives. Replace this assumption if qualifying historical evidence becomes available.",V5ROOTD002
V5A012,person-jonathas-assuncao-salvador-nery-de-castro,Jonathas Assunção Salvador Nery de Castro,affiliation-C036-jonathas-assuncao-salvador-nery-de-castro-2022-12-30,2022-12-30,2023-01-01,C036;V5W5E004,service-C036-jonathas-assuncao-salvador-nery-de-castro,PROVISIONAL_MODEL_ASSUMPTION,UNKNOWN,UNAFFILIATED,,user_authorized_no_additional_party,UNBOUNDED,User instruction 2026-09-10: fill every remaining gap using explicitly flagged best-course assumptions.,"After targeted research, formal personal affiliation remains UNKNOWN. For the complete primary export only, assume no additional party contribution. This introduces no party unsupported by an observed witness; it does not establish non-affiliation or constrain the actual historical alternatives. Replace this assumption if qualifying historical evidence becomes available.",V5ROOTD002
V5A007,person-renato-de-lima-franca,Renato de Lima França,affiliation-C056-renato-de-lima-franca-2020-04-28,2020-04-28,2020-04-29,C056;V5W3E002,service-C056-renato-de-lima-franca,PROVISIONAL_MODEL_ASSUMPTION,UNKNOWN,UNAFFILIATED,,user_authorized_no_additional_party,UNBOUNDED,User instruction 2026-09-10: fill every remaining gap using explicitly flagged best-course assumptions.,"After targeted research, formal personal affiliation remains UNKNOWN. For the complete primary export only, assume no additional party contribution. This introduces no party unsupported by an observed witness; it does not establish non-affiliation or constrain the actual historical alternatives. Replace this assumption if qualifying historical evidence becomes available.",V5ROOTD002
V5A005,person-marcos-paulo-cardoso-coelho-da-silva,Marcos Paulo Cardoso Coelho da Silva,affiliation-C057-marcos-paulo-cardoso-coelho-da-silva-2020-02-14,2020-02-14,2020-02-18,C057;V5W3E003,service-C057-marcos-paulo-cardoso-coelho-da-silva,PROVISIONAL_MODEL_ASSUMPTION,UNKNOWN,UNAFFILIATED,,user_authorized_no_additional_party,UNBOUNDED,User instruction 2026-09-10: fill every remaining gap using explicitly flagged best-course assumptions.,"After targeted research, formal personal affiliation remains UNKNOWN. For the complete primary export only, assume no additional party contribution. This introduces no party unsupported by an observed witness; it does not establish non-affiliation or constrain the actual historical alternatives. Replace this assumption if qualifying historical evidence becomes available.",V5ROOTD002
V5A010,person-sergio-jose-pereira,Sérgio José Pereira,affiliation-C058-sergio-jose-pereira-2021-03-30,2021-03-30,2021-04-01,C058;V5W4E001,service-C058-sergio-jose-pereira,PROVISIONAL_MODEL_ASSUMPTION,UNKNOWN,UNAFFILIATED,,user_authorized_no_additional_party,UNBOUNDED,User instruction 2026-09-10: fill every remaining gap using explicitly flagged best-course assumptions.,"After targeted research, formal personal affiliation remains UNKNOWN. For the complete primary export only, assume no additional party contribution. This introduces no party unsupported by an observed witness; it does not establish non-affiliation or constrain the actual historical alternatives. Replace this assumption if qualifying historical evidence becomes available.",V5ROOTD002
V5A008,person-jonathas-assuncao-salvador-nery-de-castro,Jonathas Assunção Salvador Nery de Castro,affiliation-C059-jonathas-2021,2021-03-30,2021-03-31,C036;C059;V5W4E003,service-C059-person-jonathas-assuncao-salvador-nery-de-castro,PROVISIONAL_MODEL_ASSUMPTION,UNKNOWN,UNAFFILIATED,,user_authorized_no_additional_party,UNBOUNDED,User instruction 2026-09-10: fill every remaining gap using explicitly flagged best-course assumptions.,"After targeted research, formal personal affiliation remains UNKNOWN. For the complete primary export only, assume no additional party contribution. This introduces no party unsupported by an observed witness; it does not establish non-affiliation or constrain the actual historical alternatives. Replace this assumption if qualifying historical evidence becomes available.",V5ROOTD002
