prior_period_id,start_inclusive,end_exclusive,raw_party_labels,stable_party_ids,source_path
2015.1,2015-01-01,2016-03-24,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2016.1,2016-03-24,2016-04-14,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2016.2,2016-04-14,2016-04-16,MDB;PCdoB;PDT;PL;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PSD;PT;PTB,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2016.3,2016-04-16,2016-05-12,MDB;PCdoB;PDT;PL;PT;PTB,MDB;PCdoB;PDT;PL;PT;PTB,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2016.4,2016-05-12,2017-12-28,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PTB;PV,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2017.1,2017-12-28,2018-04-07,DEM;MDB;PP;PPS;PSB;PSD;PSDB;PV,CIDADANIA;DEM;MDB;PP;PSB;PSD;PSDB;PV,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2018.1,2018-04-07,2018-05-28,MDB;PP;PPS;PSD;PSDB,CIDADANIA;MDB;PP;PSD;PSDB,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2018.2,2018-05-28,2019-01-01,MDB;PODE;PP;PPS;PSD;PSDB,CIDADANIA;MDB;PODEMOS;PP;PSD;PSDB,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2019.1,2019-01-01,2020-02-11,DEM;MDB;NOVO;PATRIOTA;PL;PSL;REPUBLICANOS,DEM;MDB;NOVO;PATRIOTA;PL;PSL;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2020.1,2020-02-11,2020-02-15,DEM;MDB;NOVO;PATRIOTA;PL;PSDB;PSL;REPUBLICANOS,DEM;MDB;NOVO;PATRIOTA;PL;PSDB;PSL;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2020.2,2020-02-15,2020-06-17,DEM;NOVO;PATRIOTA;PL;PSDB;PSL;REPUBLICANOS,DEM;NOVO;PATRIOTA;PL;PSDB;PSL;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2020.3,2020-06-17,2020-12-09,DEM;NOVO;PATRIOTA;PL;PSD;PSDB;PSL;REPUBLICANOS,DEM;NOVO;PATRIOTA;PL;PSD;PSDB;PSL;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2020.4,2020-12-09,2020-12-10,DEM;NOVO;PATRIOTA;PL;PSC;PSD;PSDB;PSL;REPUBLICANOS,DEM;NOVO;PATRIOTA;PL;PSC;PSD;PSDB;PSL;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2020.5,2020-12-10,2021-03-29,DEM;NOVO;PATRIOTA;PL;PSC;PSD;PSDB;REPUBLICANOS,DEM;NOVO;PATRIOTA;PL;PSC;PSD;PSDB;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2021.1,2021-03-29,2021-06-24,DEM;NOVO;PATRIOTA;PL;PSC;PSD;PSDB;PSL;REPUBLICANOS,DEM;NOVO;PATRIOTA;PL;PSC;PSD;PSDB;PSL;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2021.2,2021-06-24,2021-08-04,DEM;PATRIOTA;PL;PSC;PSD;PSDB;PSL;REPUBLICANOS,DEM;PATRIOTA;PL;PSC;PSD;PSDB;PSL;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2021.3,2021-08-04,2022-02-08,DEM;PATRIOTA;PL;PP;PSC;PSD;PSDB;PSL;REPUBLICANOS,DEM;PATRIOTA;PL;PP;PSC;PSD;PSDB;PSL;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2022.1,2022-02-08,2022-03-30,PATRIOTA;PL;PP;PSC;PSD;PSDB;REPUBLICANOS;UNIÃO,PATRIOTA;PL;PP;PSC;PSD;PSDB;REPUBLICANOS;UNIAO,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2022.2,2022-03-30,2022-04-01,PATRIOTA;PL;PP;PSD;PSDB;REPUBLICANOS;UNIÃO,PATRIOTA;PL;PP;PSD;PSDB;REPUBLICANOS;UNIAO,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2022.3,2022-04-01,2022-04-02,PATRIOTA;PL;PP;PSD;REPUBLICANOS;UNIÃO,PATRIOTA;PL;PP;PSD;REPUBLICANOS;UNIAO,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2022.4,2022-04-02,2023-01-01,PATRIOTA;PP;PSD;REPUBLICANOS;UNIÃO,PATRIOTA;PP;PSD;REPUBLICANOS;UNIAO,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2023.1,2023-01-01,2023-09-13,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIÃO,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIAO,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2023.2,2023-09-13,2025-12-24,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIAO,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
2025.1,2025-12-24,2026-03-20,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS,research/completion/prior/audit/appointment_time/before/partidos_por_periodo.json
