appointment_id,source_record_id,government_id,ministry,ministry_raw,ministry_status_type,person,person_raw,party,party_at_date,party_codes,party_candidates,party_resolution_method,appointment_type,role_classification,start,end,actual_start,actual_end,source_actual_end,spell_evidence_url,spell_evidence_publication_date,confidence,needs_review,coalition_period_ids,source_url,source_section,notes,source_snippet
dilma_rousseff:1:11,dilma_rousseff:1:11,dilma_2,Presidente do Banco Central do Brasil,Presidente do Banco Central do Brasil,orgao_status_ministerial,Alexandre Tombini,Alexandre Tombini,—,,,,no_party_code,permanent,minister,2015-01-01,2016-05-11,2015-01-01,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Dilma_Rousseff#Gabinete_de_ministros_do_segundo_mandato,Gabinete de ministros do segundo mandato,,Presidente do Banco Central do Brasil | Alexandre Tombini | — | 1º de janeiro de 2015 | —
lula_2023_presente:2:10,lula_2023_presente:2:10,lula_3,Desenvolvimento Agrário e Agricultura Familiar,Desenvolvimento Agrário e Agricultura Familiar,ministerio,Paulo Teixeira,Paulo Teixeira,PT / SP,PT,PT,PT,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Desenvolvimento Agrário e Agricultura Familiar | Paulo Teixeira | PT / SP | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:11,lula_2023_presente:2:11,lula_3,"Desenvolvimento, Indústria, Comércio e Serviços","Desenvolvimento, Indústria, Comércio e Serviços",ministerio,Geraldo Alckmin,Geraldo Alckmin,PSB / SP,PSB,PSB,PSB,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,"Desenvolvimento, Indústria, Comércio e Serviços | Geraldo Alckmin | PSB / SP | 1.º de janeiro de 2023 | Em exercício"
lula_2023_presente:2:12,lula_2023_presente:2:12,lula_3,"Desenvolvimento e Assistência Social, Família e Combate à Fome","Desenvolvimento e Assistência Social, Família e Combate à Fome",ministerio,Wellington Dias,Wellington Dias,PT / PI,PT,PT,PT,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,"Desenvolvimento e Assistência Social, Família e Combate à Fome | Wellington Dias | PT / PI | 1.º de janeiro de 2023 | Em exercício"
lula_2023_presente:2:16,lula_2023_presente:2:16,lula_3,Educação,Educação,ministerio,Camilo Santana,Camilo Santana,PT / CE,PT,PT,PT,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Educação | Camilo Santana | PT / CE | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:2,lula_2023_presente:2:2,lula_3,Agricultura e Pecuária,Agricultura e Pecuária,ministerio,Carlos Fávaro,Carlos Fávaro,PSD / MT,PSD,PSD,PSD,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Agricultura e Pecuária | Carlos Fávaro | PSD / MT | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:22,lula_2023_presente:2:22,lula_3,Gestão e da Inovação em Serviços Públicos,Gestão e da Inovação em Serviços Públicos,ministerio,Esther Dweck,Esther Dweck,Sem partido/ RJ,,,,no_party_code,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Gestão e da Inovação em Serviços Públicos | Esther Dweck | Sem partido/ RJ | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:23,lula_2023_presente:2:23,lula_3,Igualdade Racial,Igualdade Racial,ministerio,Anielle Franco,Anielle Franco,PT / RJ,PT,PT,PT,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Igualdade Racial | Anielle Franco | PT / RJ | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:24,lula_2023_presente:2:24,lula_3,Integração e Desenvolvimento Regional,Integração e Desenvolvimento Regional,ministerio,Waldez Góes,Waldez Góes,PDT / AP,PDT,PDT,PDT,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Integração e Desenvolvimento Regional | Waldez Góes | PDT / AP | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:29,lula_2023_presente:2:29,lula_3,Meio Ambiente e Mudança do Clima,Meio Ambiente e Mudança do Clima,ministerio,Marina Silva,Marina Silva,REDE / SP,REDE,REDE,REDE,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Meio Ambiente e Mudança do Clima | Marina Silva | REDE / SP | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:3,lula_2023_presente:2:3,lula_3,Cidades,Cidades,ministerio,Jader Barbalho Filho,Jader Barbalho Filho,MDB / PA,MDB,MDB,MDB,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Cidades | Jader Barbalho Filho | MDB / PA | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:30,lula_2023_presente:2:30,lula_3,Minas e Energia,Minas e Energia,ministerio,Alexandre Silveira,Alexandre Silveira,PSD / MG,PSD,PSD,PSD,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Minas e Energia | Alexandre Silveira | PSD / MG | 1.º de janeiro de 2023 | Em exercício
lula_2023_presente:2:33,lula_2023_presente:2:33,lula_3,Pesca e Aquicultura,Pesca e Aquicultura,ministerio,André de Paula,André de Paula,PSD / PE,PSD,PSD,PSD,single_raw_party,permanent,minister,2023-01-01,,2023-01-01,,,,,high,False,"2023.1,2023.2,2025.1",https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Lula_(2023%E2%80%93presente)#Lista_de_ministros,Lista de ministros,,Pesca e Aquicultura | André de Paula | PSD / PE | 1.º de janeiro de 2023 | Em exercício
