uncertainty_id,person_id,person_name,service_id,affiliation_id,start_inclusive,end_exclusive,primary_state,primary_party_id,alternatives,evidentiary_basis,aggregate_effect,affected_party_ids,potentially_set_changing_days,composition_neutral_days,unidentified_days_caused,evidence_ids,decision_ids,alternative_scope,date_constraint_id
affiliation-49705e8c67b1@service-jair_bolsonaro-0-11,person-561613fe4a6e,Maria Estella Dantas Antonichelli,service-jair_bolsonaro-0-11,affiliation-49705e8c67b1,2022-12-21,2023-01-01,UNKNOWN,,[],"Telebras 57th eligibility committee minutes of February 11 2022 review her Form C signed December 14 2021 and state that requirements/impediments were answered yes/no. Those are fiscal-council eligibility assertions, not an explicit personal non-affiliation declaration. The original proposal and 283rd board assessment address credentials and eligibility. No named personal party or universal non-affiliation observation is established. Prior PSD byline, Fabio Faria employment, and scoped registry non-matches remain insufficient; retain UNKNOWN.",completion_blocker,,0,,11,V5W5E003,PERSON-CONTINUITY-REVIEW;V5W5D003,service_affiliation_intersection,
affiliation-70f5e8999fb8@service-michel_temer-0-35,person-86d3dadcfd0f,José Levi Mello,service-michel_temer-0-35,affiliation-70f5e8999fb8,2017-02-22,2017-03-07,UNAFFILIATED,,[],adjudicated_historical_source_notation,source_notation_adjudication_no_specific_alternative,,0,,0,C026,C026;PERSON-CONTINUITY-REVIEW,service_affiliation_intersection,
affiliation-7f51ac18f31f@service-michel_temer-0-46,person-37f571ff3c86,Marcos Galvão,service-michel_temer-0-46,affiliation-7f51ac18f31f,2017-02-22,2017-03-07,UNKNOWN,,"[""PSDB"",""UNAFFILIATED""]",specific_secondary_conflict_with_finite_alternatives,composition_neutral,,0,13,0,C027,C027;PERSON-CONTINUITY-REVIEW,service_affiliation_intersection,
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77,person-9cf6aaca0bc9,Alberto Alves,service-dilma_rousseff-1-77,affiliation-8527ce77d2d2,2016-03-28,2016-04-21,UNAFFILIATED,,"[""MDB"",""UNAFFILIATED""]",adjudicated_explicit_historical_compilation,composition_neutral,,0,24,0,C019,C019;PERSON-CONTINUITY-REVIEW,service_affiliation_intersection,
affiliation-8527ce77d2d2@service-michel_temer-0-64,person-9cf6aaca0bc9,Alberto Alves,service-michel_temer-0-64,affiliation-8527ce77d2d2,2016-06-17,2016-10-05,UNAFFILIATED,,"[""MDB"",""UNAFFILIATED""]",adjudicated_explicit_historical_compilation,composition_neutral,,0,110,0,C019,C019;PERSON-CONTINUITY-REVIEW,service_affiliation_intersection,
affiliation-92b6d60a8748@service-jair_bolsonaro-0-52,person-20d6d1c35408,Rogério Marinho,service-jair_bolsonaro-0-52,affiliation-92b6d60a8748,2020-06-16,2020-06-18,PARTY,PSDB,"[""PSDB"", ""UNAFFILIATED""]",contemporary_positive_and_completed_departure_observations_with_narrowed_date_bounds,primary_adjudication_with_set_changing_alternative,PSDB,2,0,0,AFF-024;AFF-025;BOL-E12;BOL-E13;V5W6E04;V5W6E05;V5W6E06;V5W6E08;V5W6E09;V5W6E10,PERSON-CONTINUITY-REVIEW;R16;V5W6D03,linked_date_window,transition-person-20d6d1c35408
affiliation-9e07f91b8db4@service-michel_temer-0-7,person-48a2cca11210,Marco Aurélio de Queiroz Campos,service-michel_temer-0-7,affiliation-9e07f91b8db4,2017-11-13,2017-11-22,UNAFFILIATED,,[],adjudicated_historical_source_notation,source_notation_adjudication_no_specific_alternative,,0,,0,C026,C026;PERSON-CONTINUITY-REVIEW,service_affiliation_intersection,
affiliation-C034-carlos-henrique-menezes-sobral-2018-12-31@service-C034-carlos-henrique-menezes-sobral,person-carlos-henrique-menezes-sobral,Carlos Henrique Menezes Sobral,service-C034-carlos-henrique-menezes-sobral,affiliation-C034-carlos-henrique-menezes-sobral-2018-12-31,2018-12-31,2019-01-01,UNKNOWN,,[],Personal affiliation remains unresolved after dated SGIP3 governance and new scoped Filia geography/identity checks; partial-registry negatives and later MDB labels cannot determine December31 2018 affiliation,completion_blocker,,0,,1,C034;V5W2E001;V5W2E002,C034;V5W2D001,service_affiliation_intersection,
affiliation-C035-ivani-dos-santos-2016-11-25@service-C035-ivani-dos-santos,person-ivani-dos-santos,Ivani dos Santos,service-C035-ivani-dos-santos,affiliation-C035-ivani-dos-santos-2016-11-25,2016-11-25,2017-02-03,UNKNOWN,,[],"Personal affiliation remains unresolved after historical SGIP3 governing-body screening and new firsthand-biography/registry-semantics review. Governing-body non-hits, partial registry absence and PMDB employment do not establish non-affiliation or exhaust the alternatives.",completion_blocker,,0,,70,C035;V5W1E001;V5W1E002;V5W1E003,C035;V5W1D001,service_affiliation_intersection,
affiliation-C035-ivani-dos-santos-2017-08-02-2017-08-02@service-C035-ivani-dos-santos-2017-08-02,person-ivani-dos-santos,Ivani dos Santos,service-C035-ivani-dos-santos-2017-08-02,affiliation-C035-ivani-dos-santos-2017-08-02-2017-08-02,2017-08-02,2017-08-03,UNKNOWN,,[],"Personal affiliation remains unresolved after historical SGIP3 governing-body screening and new firsthand-biography/registry-semantics review. Governing-body non-hits, partial registry absence and PMDB employment do not establish non-affiliation or exhaust the alternatives.",completion_blocker,,0,,1,C035;V5W1E001;V5W1E002;V5W1E003,C035;V5W1D001,service_affiliation_intersection,
