source_family,source_record_id,person_raw,office_raw,start_raw,end_raw,party_raw,link_basis,service_ids,inclusion_states,affiliation_ids,decision_ids
atlas,atlas-line-489,Aloízio Mercadante,Casa Civil,01/01/2015,05/10/2015,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-12;service-dilma_rousseff-1-42,true:titular,affiliation-d0f4c906643d;affiliation-ef1c2f93359e,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-490,Jacques Wagner,Casa Civil,05/10/2015,16/03/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-0756ddce3efb;service-dilma_rousseff-1-13;service-dilma_rousseff-1-29,true:titular,affiliation-8853da98c38a;affiliation-8965b608fad5;affiliation-c74569f0a445,C024;C032;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-491,Luís Inácio Lula da Silva,Casa Civil,16/03/2016,18/03/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-d627a715ad62,true:judicially_interrupted,affiliation-ff30b0174398,OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW
atlas,atlas-line-492,Eva Chiavon (interina),Casa Civil,22/03/2016,11/05/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-C055-person-884dd07ee0fc;service-dilma_rousseff-1-15,true:vacancy_acting,affiliation-d8954b97c63c,C031;C055;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-493,José Eduardo Cardozo,Justiça,01/01/2015,03/03/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-2;service-dilma_rousseff-1-51,true:titular,affiliation-29b39d7f6cbc;affiliation-53f836355175,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-494,Wellington César Lima e Silva,Justiça,03/03/2016,15/03/2016,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-84105bf0fa5f,true:titular,affiliation-92f5f5b8364f,OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW
atlas,atlas-line-495,Eugênio Aragão,Justiça,17/03/2016,12/05/2016,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-53,true:titular,affiliation-cc9dac3fc072,OFF-011;PERSON-CONTINUITY-REVIEW
atlas,atlas-line-496,Jacques Wagner,Defesa,01/01/2015,02/10/2015,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-0756ddce3efb;service-dilma_rousseff-1-13;service-dilma_rousseff-1-29,true:titular,affiliation-8853da98c38a;affiliation-8965b608fad5;affiliation-c74569f0a445,C024;C032;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-497,Aldo Rebelo,Defesa,02/10/2015,12/05/2016,PCdoB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-16;service-dilma_rousseff-1-30,true:titular,affiliation-2695219a6106;affiliation-e0a60b031086,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-498,Mauro Vieira,Relações Exteriores,01/01/2015,12/05/2016,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-66,true:titular,affiliation-7a8a481bf349;affiliation-7d9b15c431f8,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-499,Joaquim Levy,Fazenda ,01/01/2015,21/12/2015,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-45,true:titular,affiliation-8a2657d18d9b,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-500,Nelson Barbosa,Fazenda ,21/12/2015,12/05/2016,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-46;service-dilma_rousseff-1-59,true:titular,affiliation-627c24007baa;affiliation-bbe72215419d;affiliation-f6f095f8698d,C030;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-501,Antônio Carlos Rodrigues,Transportes,01/01/2015,12/05/2016,PR,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-74,true:titular,affiliation-c6da526a7bf3,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-502,Kátia Abreu,"Agricultura, Pecuária e Abastecimento",01/01/2015,30/03/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-3,true:titular,affiliation-17b5cdf8e9ca;affiliation-54b3f6457e04,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-503,Kátia Abreu,"Agricultura, Pecuária e Abastecimento",31/03/2016,12/05/2016,PMDB,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-3,true:titular,affiliation-17b5cdf8e9ca;affiliation-54b3f6457e04,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-504,Cid Gomes,Educação,01/01/2015,18/03/2015,PROS,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-39,true:titular,affiliation-046ac4ccc1d3,PERSON-CONTINUITY-REVIEW;R01
atlas,atlas-line-505,Renato Janine Ribeiro,Educação,06/04/2015,05/10/2015,sfp,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-41,true:titular,affiliation-a81911cad39b,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-506,Aloízio Mercadante,Educação,05/10/2015,12/05/2016,PT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-12;service-dilma_rousseff-1-42,true:titular,affiliation-d0f4c906643d;affiliation-ef1c2f93359e,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
atlas,atlas-line-507,Manoel Dias,Trabalho e Emprego,01/01/2015,05/10/2015,PDT,reviewed_person_and_administration_links_raw_office_claim_retained,service-dilma_rousseff-1-72,true:titular,affiliation-e21f6f6e3198,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
