service_id,person_id,person_name,office_id,office_name,administration_id,start_inclusive,end_exclusive,capacity,included,scope_decision,raw_start,raw_end,raw_date_semantics,date_status,date_earliest,date_latest,evidence_ids,decision_ids,source_record_ids
service-71735bd182fd,person-bb7b68961b8f,Geraldo Alckmin,bolsonaro-transicao-governamental,Transição governamental,bolsonaro,2022-11-01,2022-12-22,incoming_transition_CETG,false,Dated Minister of State scope; OFF-033;OFF-034,2022-11-01,2022-12-22,reviewed half-open interval,adjudicated_source_boundary,,,OFF-033;OFF-034,OFFICE-ADJUDICATION,jair_bolsonaro:0:67
service-jair_bolsonaro-0-41,person-6384d7c259dc,Carlos Decotelli,bolsonaro-educacao,Ministério da Educação,bolsonaro,2020-06-25,2020-06-30,non_entry,false,Appointment cancelled without taking office: no witness,2020-06-25,2020-06-30,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_source_boundary,,,LEG-06b899630a6b,OFF-029,jair_bolsonaro:0:41
service-jair_bolsonaro-0-14,person-6e95055d8cff,Anderson Torres,bolsonaro-justica,Ministério da Justiça e Segurança Pública,bolsonaro,2021-03-30,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-03-29,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_actual_entry,,,AFF-017;AFF-018;AFF-019;LEG-2ffad066f860;OFF-051,R19,jair_bolsonaro:0:14
service-jair_bolsonaro-0-64,person-9cdf4e7199c3,Cristiane Britto,bolsonaro-mulher-familia-direitos,"Ministério da Mulher, da Família e dos Direitos Humanos",bolsonaro,2022-03-31,2023-01-01,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2022-03-30,2022-12-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_effective_entry,,,BOL-E17;BOL-E18;BOL-E21;BOL-E22;LEG-8c8c4650eaeb,R25,jair_bolsonaro:0:64
service-jair_bolsonaro-0-15,person-c65a317c70db,Tereza Cristina,bolsonaro-agricultura,"Ministério da Agricultura, Pecuária e Abastecimento",bolsonaro,2019-01-01,2022-03-31,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2022-03-30,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_effective_publication_and_entry,,,AFF-028;AFF-029;AFF-030;AFF-044;BOL-E14;BOL-E15;BOL-E16;LEG-b0900f041b01,BOL-A01,jair_bolsonaro:0:15
service-jair_bolsonaro-0-8,person-fd6d27c2b524,Marcos Pontes,bolsonaro-ciencia-tecnologia,"Ministério da Ciência, Tecnologia e Inovações",bolsonaro,2019-01-01,2022-03-31,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2022-03-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_effective_publication_and_entry,,,AFF-012;AFF-044;BOL-E10;BOL-E22;LEG-27cb82daf344,R14,jair_bolsonaro:0:8
service-jair_bolsonaro-0-52,person-20d6d1c35408,Rogério Marinho,bolsonaro-desenvolvimento-regional,Ministério do Desenvolvimento Regional,bolsonaro,2020-02-11,2022-03-31,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2020-02-11,2022-03-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_effective_publication_and_entry,,,AFF-024;AFF-025;BOL-E12;BOL-E13;LEG-1f0c8beb2f9f,R16,jair_bolsonaro:0:52
service-jair_bolsonaro-0-63,person-87ad75f8d2f9,Damares Alves,bolsonaro-mulher-familia-direitos,"Ministério da Mulher, da Família e dos Direitos Humanos",bolsonaro,2019-01-01,2022-03-31,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2022-03-30,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_effective_publication_and_entry,,,AFF-013;AFF-014;AFF-015;AFF-055;AFF-056;BOL-E01;BOL-E02;BOL-E18;LEG-b90af80ef12a,R17,jair_bolsonaro:0:63
service-jair_bolsonaro-0-49,person-2b7bc2067f3b,Tarcísio de Freitas,bolsonaro-infraestrutura,Ministério da Infraestrutura,bolsonaro,2019-01-01,2022-03-31,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2019-01-01,2022-03-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_effective_publication_and_entry,,,AFF-015;AFF-016;BOL-E19;LEG-310d8d95dc92,R18,jair_bolsonaro:0:49
service-jair_bolsonaro-0-47,person-fc5415a3bc75,Flávia Arruda,bolsonaro-secretaria-governo,Secretaria de Governo,bolsonaro,2021-03-31,2022-03-31,titular,true,Minister of State criterion; inherited qualifying office reviewed with OFF legal scope ledger,2021-03-20,2022-03-31,compiled stated tenure endpoints; daily close boundary adjudication except explicit administration/cutoff inclusive last day,adjudicated_effective_publication_and_entry,,,LEG-f997e70b3675;OFF-026;OFF-027;OFF-028,R22,jair_bolsonaro:0:47
