transition_id,date,from_period_id,to_period_id,transition_type,comparison_status,entering_party_ids,leaving_party_ids,before_labels,after_labels,event_ids,supporting_service_ids,evidence_ids,decision_ids,primary_assumption_ids
transition-2015-03-19,2015-03-19,dilma_2-2015-01-01,dilma_2-2015-03-19,membership_change,primary_sets_comparable,,PROS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,affiliation-046ac4ccc1d3-end;affiliation-8fb8dd8f1887-start;service-dilma_rousseff-1-39-end;service-dilma_rousseff-1-40-start,service-dilma_rousseff-1-39,LEG-71604753d832;LEG-8702e7355c32;NEW-COSTA,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R01,
transition-2016-03-18,2016-03-18,dilma_2-2015-03-19,dilma_2-2016-03-18,membership_change,primary_sets_comparable,PROS,REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,affiliation-1e430540f85f-end;affiliation-634e3f7dfa5f-start;affiliation-ff30b0174398-end;service-d627a715ad62-end;service-dilma_rousseff-1-15-start,service-dilma_rousseff-1-43,AFF-001;C031;LEG-f7165c075478;OFF-047,C031;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02,
transition-2016-03-31,2016-03-31,dilma_2-2016-03-18,dilma_2-2016-03-31,membership_change,primary_sets_comparable,,PROS,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,affiliation-002a4a3e3ac6-start;affiliation-0b6f459ac1e7-end;affiliation-17b5cdf8e9ca-end;affiliation-2e5a9f3d642a-end;affiliation-30697884737b-end;affiliation-4489ca399bcf-start;affiliation-54b3f6457e04-start;affiliation-634e3f7dfa5f-end;affiliation-6ad626a70e58-start;affiliation-6d9fedcf0916-start;affiliation-71a21ce067a9-end;affiliation-7560fcd88f19-start;affiliation-d578fe137ca4-end;affiliation-edc82d3745eb-start;service-dilma_rousseff-1-43-end;service-dilma_rousseff-1-44-start,service-dilma_rousseff-1-43,AFF-001;ATLAS-503;ATLAS-510;ATLAS-511;ATLAS-515;ATLAS-524;ATLAS-525;ATLAS-547;ATLAS-548;ATLAS-553;C009;LEG-16d934587913;LEG-328a5753236c;LEG-548e8979a482;LEG-90f1b4fb4472;LEG-bbe559c76692,C009;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R02,
transition-2016-04-14,2016-04-14,dilma_2-2016-03-31,dilma_2-2016-04-14,membership_change,primary_sets_comparable,,PP,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,affiliation-47d73aaf6f1d-start;affiliation-6d9fedcf0916-end;affiliation-b5e73dd9d2f3-start;affiliation-bf2c58ba8453-start;service-dilma_rousseff-1-17-end;service-dilma_rousseff-1-18-start;service-dilma_rousseff-1-31-end;service-dilma_rousseff-1-32-start;service-dilma_rousseff-1-49-end;service-dilma_rousseff-1-50-start,service-dilma_rousseff-1-49,ATLAS-525;C005;C016;C017;C024;LEG-3adefb71d2bc;LEG-3df9b9d5037a;LEG-4e35512833d0;LEG-69449ca60500;LEG-9fb226a0f1d8;LEG-c63d31861f21,C005;C016;C017;C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R03,
transition-2016-04-19,2016-04-19,dilma_2-2016-04-14,dilma_2-2016-04-19,membership_change,primary_sets_comparable,,PSD,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PT;PTB,affiliation-17032a771737-start;affiliation-32075f7875e5-start;affiliation-893e7cb6ee58-end;affiliation-b5e73dd9d2f3-end;service-dilma_rousseff-1-19-end;service-dilma_rousseff-1-20-start;service-dilma_rousseff-1-32-end;service-dilma_rousseff-1-33-start,service-dilma_rousseff-1-19,ATLAS-533;C005;LEG-42ef15a41df1;LEG-4e35512833d0;LEG-79221ce8a4c6;LEG-9fb226a0f1d8;LEG-c8ef1de4a884,C005;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04,
transition-2016-05-12,2016-05-12,dilma_2-2016-04-19,temer-2016-05-12,administration_boundary,primary_sets_comparable,CIDADANIA;DEM;PP;PSB;PSD;PSDB;PV;REPUBLICANOS,PCdoB;PDT;PT,PCdoB;PDT;PMDB;PR;PT;PTB,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,affiliation-002a4a3e3ac6-end;affiliation-039f7dd7bfc6-start;affiliation-0582c89d9bcd-start;affiliation-0a61bf84ff67-end;affiliation-0ce85cff52a7-end;affiliation-0dfac208e513-start;affiliation-10d430b823de-start;affiliation-11917984b5cf-start;affiliation-17032a771737-end;affiliation-178c65b3baec-end;affiliation-1cb53fca27f3-start;affiliation-1e682eb55f9d-end;affiliation-2076c877abd6-start;affiliation-2695219a6106-end;affiliation-2a89a85cf823-start;affiliation-2c211f0d3d26-start;affiliation-2e45b1403cc5-start;affiliation-32075f7875e5-end;affiliation-3788fbf471f6-end;affiliation-394fa934582e-start;affiliation-39707084a306-end;affiliation-398de098c7cd-start;affiliation-3b75f0d560cb-start;affiliation-3e99f909d3bf-start;affiliation-44ba3dbfd202-start;affiliation-47d73aaf6f1d-end;affiliation-4b873e91cdd8-end;affiliation-518560e30e49-end;affiliation-525428b40767-start;affiliation-53f836355175-end;affiliation-54b3f6457e04-end;affiliation-5a9063548031-start;affiliation-60a5b7c52f05-start;affiliation-627c24007baa-end;affiliation-6ad626a70e58-end;affiliation-7dc2db2ea744-end;affiliation-80b6aeb3505e-end;affiliation-8965b608fad5-end;affiliation-92a79e944d8e-start;affiliation-94a20845e40f-end;affiliation-a69642f0ced0-start;affiliation-ad763f0b7d2f-start;affiliation-af9da88352fc-end;affiliation-b83c74e2afd9-start;affiliation-bf2c58ba8453-end;affiliation-c4982e18b6ca-end;affiliation-c67117c71f67-start;affiliation-c6da526a7bf3-end;affiliation-c877e5cc140e-end;affiliation-cc9dac3fc072-end;affiliation-d8954b97c63c-end;affiliation-da12fa7641e8-end;affiliation-de4060699ce6-start;affiliation-e38dd461bf29-start;affiliation-e4422f7ef01f-end;affiliation-e8a01b2cb1e0-end;affiliation-edc82d3745eb-end;affiliation-ef1c2f93359e-end;affiliation-f443e02e8e29-end;affiliation-fc40400effd6-end;service-0756ddce3efb-end;service-924bb8bb9eee-start;service-a8e3421c44ba-start;service-c1cbf25fecd8-start;service-dilma_rousseff-1-11-end;service-dilma_rousseff-1-15-end;service-dilma_rousseff-1-18-end;service-dilma_rousseff-1-2-end;service-dilma_rousseff-1-20-end;service-dilma_rousseff-1-22-end;service-dilma_rousseff-1-24-end;service-dilma_rousseff-1-27-end;service-dilma_rousseff-1-28-end;service-dilma_rousseff-1-3-end;service-dilma_rousseff-1-30-end;service-dilma_rousseff-1-33-end;service-dilma_rousseff-1-34-end;service-dilma_rousseff-1-35-end;service-dilma_rousseff-1-38-end;service-dilma_rousseff-1-42-end;service-dilma_rousseff-1-44-end;service-dilma_rousseff-1-46-end;service-dilma_rousseff-1-50-end;service-dilma_rousseff-1-53-end;service-dilma_rousseff-1-54-end;service-dilma_rousseff-1-57-end;service-dilma_rousseff-1-60-end;service-dilma_rousseff-1-64-end;service-dilma_rousseff-1-66-end;service-dilma_rousseff-1-69-end;service-dilma_rousseff-1-71-end;service-dilma_rousseff-1-73-end;service-dilma_rousseff-1-74-end;service-dilma_rousseff-1-78-end;service-eabeba688ae4-start;service-f6b7136b576a-end;service-michel_temer-0-1-start;service-michel_temer-0-16-start;service-michel_temer-0-20-start;service-michel_temer-0-22-start;service-michel_temer-0-24-start;service-michel_temer-0-28-start;service-michel_temer-0-3-start;service-michel_temer-0-30-start;service-michel_temer-0-32-start;service-michel_temer-0-34-start;service-michel_temer-0-38-start;service-michel_temer-0-42-start;service-michel_temer-0-45-start;service-michel_temer-0-48-start;service-michel_temer-0-5-start;service-michel_temer-0-56-start;service-michel_temer-0-57-start;service-michel_temer-0-6-start;service-michel_temer-0-61-start;service-michel_temer-0-63-start;service-michel_temer-0-9-start,service-0756ddce3efb;service-a8e3421c44ba;service-dilma_rousseff-1-15;service-dilma_rousseff-1-2;service-dilma_rousseff-1-20;service-dilma_rousseff-1-22;service-dilma_rousseff-1-24;service-dilma_rousseff-1-28;service-dilma_rousseff-1-30;service-dilma_rousseff-1-33;service-dilma_rousseff-1-35;service-dilma_rousseff-1-42;service-dilma_rousseff-1-44;service-dilma_rousseff-1-71;service-dilma_rousseff-1-73;service-dilma_rousseff-1-78;service-eabeba688ae4;service-f6b7136b576a;service-michel_temer-0-20;service-michel_temer-0-22;service-michel_temer-0-3;service-michel_temer-0-30;service-michel_temer-0-34;service-michel_temer-0-38;service-michel_temer-0-45;service-michel_temer-0-48;service-michel_temer-0-6;service-michel_temer-0-9,AFF-003;AFF-004;AFF-008;AFF-009;ATLAS-495;ATLAS-500;ATLAS-503;ATLAS-506;ATLAS-508;ATLAS-511;ATLAS-513;ATLAS-520;ATLAS-533;ATLAS-536;ATLAS-539;ATLAS-542;ATLAS-548;ATLAS-549;ATLAS-554;ATLAS-578;ATLAS-580;C006;C009;C016;C017;C024;C031;C032;C045;C055;LEG-0ac27f4dceb2;LEG-0e05a77ccc65;LEG-149db8d513f8;LEG-24485aa54403;LEG-27767c7555e1;LEG-2f2c95a35e85;LEG-2f545a0a2af9;LEG-2f8bf5705498;LEG-3a0fd99272c8;LEG-3a3bd99ec9c2;LEG-3adefb71d2bc;LEG-42ef15a41df1;LEG-43b835cc62f8;LEG-46405e3b602b;LEG-548e8979a482;LEG-5584b8519f7d;LEG-575314f66abd;LEG-576bc18c4ce8;LEG-5cd7ab190ecc;LEG-5f81e43d920a;LEG-650019f21afb;LEG-69449ca60500;LEG-6b43a38603cc;LEG-6de03bbf7354;LEG-6eb6d5643016;LEG-79221ce8a4c6;LEG-7d94ee1b94f6;LEG-7f1bb5c8a3de;LEG-7f67dc077f97;LEG-80fb13f63f08;LEG-8259181f231d;LEG-839c037f9735;LEG-85841e849f8e;LEG-85c2f5b66096;LEG-8670a70acb8c;LEG-86c922df0c71;LEG-89bba1651520;LEG-9c027191b36e;LEG-9fcbb2439062;LEG-a4defbba80f9;LEG-aa24caf1c8cd;LEG-af4dca441a45;LEG-ba4b75fca9f5;LEG-bada6905fc7f;LEG-bbe559c76692;LEG-bcc69be0973d;LEG-c8ef1de4a884;LEG-d2f12b350683;LEG-d4d6ed48816a;LEG-e0ac31b0f981;LEG-e5f7ea3a676b;LEG-eb980c56cacd;LEG-f7165c075478;LEG-f764ca51f313;LEG-fc4f25515b67;NEW-COELHO;NEW-COELHO-SERVICE;OFF-003;OFF-008;OFF-009;OFF-012;OFF-013;OFF-015;OFF-019;OFF-020;OFF-031–OFF-034;OFF-049,C006;C009;C016;C017;C024;C031;C032;C045;C055;OFF-005;OFF-006;OFF-007;OFF-011;OFFICE-ADJUDICATION;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW;R04;R05;R06;R07;R08;R09;R10;R11;R30,
transition-2016-10-10,2016-10-10,temer-2016-05-12,temer-2016-10-10,membership_change,primary_sets_comparable,,PSB,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10-start;service-C041-paulo-pedrosa-2016-10-10-start;service-a8e3421c44ba-end,service-a8e3421c44ba,C041;C067;LEG-2f8bf5705498;NEW-COELHO-SERVICE;OFF-031–OFF-034,C041;C067;R10;R30,
transition-2016-10-11,2016-10-11,temer-2016-10-10,temer-2016-10-11,membership_change,primary_sets_comparable,PSB,,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10-end;service-4c041e5a6768-start;service-C041-paulo-pedrosa-2016-10-10-end,service-4c041e5a6768,C041;C067;LEG-2f8bf5705498;NEW-COELHO-SERVICE;OFF-031–OFF-034,C041;C067;R10;R30,
transition-2016-10-25,2016-10-25,temer-2016-10-11,temer-2016-10-25,membership_change,primary_sets_comparable,,PSB,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25-start;service-4c041e5a6768-end;service-C041-paulo-pedrosa-2016-10-25-start,service-4c041e5a6768,C041;C067;LEG-2f8bf5705498;NEW-COELHO-SERVICE;OFF-031–OFF-034,C041;C067;R10;R30,
transition-2016-10-26,2016-10-26,temer-2016-10-25,temer-2016-10-26,membership_change,primary_sets_comparable,PSB,,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25-end;service-69e3154c999f-start;service-C041-paulo-pedrosa-2016-10-25-end,service-69e3154c999f,C041;C067;LEG-2f8bf5705498;NEW-COELHO-SERVICE;OFF-031–OFF-034,C041;C067;R10;R30,
transition-2017-04-26,2017-04-26,temer-2016-10-26,temer-2017-04-26,membership_change,primary_sets_comparable,,PSB,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,affiliation-C041-paulo-pedrosa-2017-04-26-2017-04-26-start;service-69e3154c999f-end;service-C041-paulo-pedrosa-2017-04-26-start,service-69e3154c999f,C041;C067;LEG-2f8bf5705498;NEW-COELHO-SERVICE;OFF-031–OFF-034,C041;C067;R10;R30,
