period_id,start_inclusive,end_exclusive,unknown_person_ids,bounded_affiliation_ids,bounded_service_ids,masked_person_ids,treatment,possible_party_ids
temer-2016-10-10,2016-10-10,2016-10-11,,,,person-paulo-pedrosa,aggregate_masked,PSDB
temer-2016-10-25,2016-10-25,2016-10-26,,,,person-paulo-pedrosa,aggregate_masked,PSDB
temer-2016-10-26,2016-11-25,2017-02-03,person-ivani-dos-santos,,,,provisional_primary_assumption,
temer-2016-10-26,2017-02-22,2017-03-07,,,,person-37f571ff3c86,aggregate_masked,PSDB
temer-2017-04-26,2017-04-26,2017-04-27,,,,person-paulo-pedrosa,aggregate_masked,PSDB
temer-2017-08-02,2017-08-02,2017-08-03,person-ivani-dos-santos,,,person-paulo-pedrosa,provisional_primary_assumption,PSDB
temer-2017-10-18,2017-10-18,2017-10-20,,,,person-paulo-pedrosa,aggregate_masked,PSDB
temer-2017-10-18,2017-10-20,2017-10-25,person-ivani-dos-santos,,,person-paulo-pedrosa,provisional_primary_assumption,PSDB
temer-2017-10-18,2017-10-25,2017-10-26,person-ivani-dos-santos,,,person-paulo-pedrosa,provisional_primary_assumption,PSDB
temer-2018-04-06,2018-04-06,2018-04-10,,,,person-paulo-pedrosa,aggregate_masked,PSDB
temer-2018-07-05,2018-12-31,2019-01-01,person-carlos-henrique-menezes-sobral,,,,provisional_primary_assumption,
bolsonaro-2020-02-11,2020-02-14,2020-02-18,person-marcos-paulo-cardoso-coelho-da-silva,,,,provisional_primary_assumption,
bolsonaro-2020-04-17,2020-04-24,2020-04-28,person-luiz-pontel-de-souza,,,,provisional_primary_assumption,
bolsonaro-2020-04-17,2020-04-28,2020-04-29,person-luiz-pontel-de-souza;person-renato-de-lima-franca,,,,provisional_primary_assumption,
bolsonaro-2020-05-07,2020-06-16,2020-06-17,,affiliation-92b6d60a8748,,,bounded_date_primary_convention,
bolsonaro-2020-06-17,2020-06-17,2020-06-18,,affiliation-92b6d60a8748,,,bounded_date_primary_convention,
bolsonaro-2020-06-18,2020-09-04,2020-09-19,,affiliation-b2eb8d8beb97,,,bounded_date_primary_convention,
bolsonaro-2021-02-12,2021-03-30,2021-03-31,person-jonathas-assuncao-salvador-nery-de-castro;person-otavio-brandelli;person-sergio-jose-pereira,,,,provisional_primary_assumption,
bolsonaro-2021-03-31,2021-03-31,2021-04-01,person-sergio-jose-pereira,,,,provisional_primary_assumption,
bolsonaro-2022-02-08,2022-03-01,2022-03-04,,affiliation-abe479fc17e2,,,bounded_date_primary_convention,
bolsonaro-2022-05-11,2022-12-21,2022-12-30,person-561613fe4a6e,,,,provisional_primary_assumption,
bolsonaro-2022-12-30,2022-12-30,2023-01-01,person-561613fe4a6e;person-jonathas-assuncao-salvador-nery-de-castro,,,,provisional_primary_assumption,
lula_3-2025-12-23,2026-01-13,2026-01-15,,,service-lula_2023_presente-2-28,,bounded_date_primary_convention,
