previous_period_id,comparison_basis,administration_id,start_inclusive,end_exclusive,previous_dependencies,resolution_details_file,previous_days,resolved_days,unidentified_days,disposition,remaining_dependencies,new_period_ids,completion_decision_ids
dilma_2-2015-03-25,rejected_standalone_paper_v1,dilma_2,2015-03-25,2015-03-31,office:gap-5eb3b5d9a180,previous_dependency_resolutions.csv,6,6,0,resolved,,dilma_2-2015-03-19,C009;C021;C024;C029;C030;C032
dilma_2-2015-04-07,rejected_standalone_paper_v1,dilma_2,2015-04-07,2015-10-05,office:gap-0df65eff6fe6;office:gap-1300879b03fd;office:gap-1532020138d2;office:gap-24fbcafbaa44;office:gap-27f43e69f97a;office:gap-9125ef36bc18;office:gap-987223707daa;office:gap-bd3033c578fc;office:gap-e17b4ce86792;person-df16b033f6c7,previous_dependency_resolutions.csv,181,181,0,resolved,,dilma_2-2015-03-19,C009;C018;C021;C023;C024;C030;C032
dilma_2-2015-12-04,rejected_standalone_paper_v1,dilma_2,2015-12-04,2015-12-09,office:gap-dbaa3148d7cd;person-cd7eec731906,previous_dependency_resolutions.csv,5,5,0,resolved,,dilma_2-2015-03-19,C009;C021;C024;C030;C032
dilma_2-2015-12-18,rejected_standalone_paper_v1,dilma_2,2015-12-18,2015-12-21,office:gap-e5a104c25a54,previous_dependency_resolutions.csv,3,3,0,resolved,,dilma_2-2015-03-19,C009;C021;C024;C030;C032
dilma_2-2016-03-16,rejected_standalone_paper_v1,dilma_2,2016-03-16,2016-03-17,office:gap-15b823bad23e;office:gap-6aabec277edd,previous_dependency_resolutions.csv,1,1,0,resolved,,dilma_2-2015-03-19,C009;C021;C024;C031;C032;C050;C055
dilma_2-2016-03-18,rejected_standalone_paper_v1,dilma_2,2016-03-18,2016-03-22,office:gap-eb6d519a2c1d,previous_dependency_resolutions.csv,4,4,0,resolved,,dilma_2-2016-03-18,C009;C024;C031;C032;C055
dilma_2-2016-03-28,rejected_standalone_paper_v1,dilma_2,2016-03-28,2016-03-31,person-9cf6aaca0bc9,previous_dependency_resolutions.csv,3,3,0,resolved,,dilma_2-2016-03-18,C009;C019;C024;C031;C032;C055
dilma_2-2016-03-31,rejected_standalone_paper_v1,dilma_2,2016-03-31,2016-04-14,person-9cf6aaca0bc9,previous_dependency_resolutions.csv,14,14,0,resolved,,dilma_2-2016-03-31,C009;C019;C024;C031;C032;C055
dilma_2-2016-04-14,rejected_standalone_paper_v1,dilma_2,2016-04-14,2016-04-19,person-74c3b4df9e1a;person-9cf6aaca0bc9;person-e3b49350bd7a;person-ffd279a48828,previous_dependency_resolutions.csv,5,5,0,resolved,,dilma_2-2016-04-14,C005;C009;C016;C017;C019;C021;C024;C031;C032;C055
dilma_2-2016-04-19,rejected_standalone_paper_v1,dilma_2,2016-04-19,2016-05-12,person-9b5ce7be473f;person-9cf6aaca0bc9;person-c1f238f4da7e;person-e3b49350bd7a;person-ffd279a48828,previous_dependency_resolutions.csv,23,23,0,resolved,,dilma_2-2016-04-19,C009;C016;C017;C019;C021;C024;C031;C032;C055
temer-2016-05-23,rejected_standalone_paper_v1,temer,2016-05-23,2016-05-24,office:gap-2fa6a3c49c36,previous_dependency_resolutions.csv,1,1,0,resolved,,temer-2016-05-12,C006;C045;C050;C052
temer-2016-06-01,rejected_standalone_paper_v1,temer,2016-06-01,2016-06-02,office:gap-fecbcbb06f7f,previous_dependency_resolutions.csv,1,1,0,resolved,,temer-2016-05-12,C006;C033;C045;C047;C052
temer-2016-06-16,rejected_standalone_paper_v1,temer,2016-06-16,2016-10-05,office:gap-3ff39bf6a5f5;person-9cf6aaca0bc9,previous_dependency_resolutions.csv,111,111,0,resolved,,temer-2016-05-12,C006;C019;C045;C047;C052
temer-2016-10-10,rejected_standalone_paper_v1,temer,2016-10-10,2016-10-11,office:gap-c219bbffd68c,previous_dependency_resolutions.csv,1,1,0,resolved,,temer-2016-10-10,C041;C047;C052;C067
temer-2016-10-25,rejected_standalone_paper_v1,temer,2016-10-25,2016-10-26,office:gap-ad56683a10f9,previous_dependency_resolutions.csv,1,1,0,resolved,,temer-2016-10-25,C041;C047;C052;C067
temer-2016-11-18,rejected_standalone_paper_v1,temer,2016-11-18,2016-11-23,office:gap-f2e2d30f861f,previous_dependency_resolutions.csv,5,5,0,resolved,,temer-2016-10-26,C006;C047;C052
temer-2016-11-25,rejected_standalone_paper_v1,temer,2016-11-25,2017-02-03,office:gap-df38dc496982,previous_dependency_resolutions.csv,70,0,70,blocked,person-ivani-dos-santos,temer-2016-10-26,C006;C035;C052;V5W1D001
temer-2017-02-22,rejected_standalone_paper_v1,temer,2017-02-22,2017-03-07,person-37f571ff3c86;person-86d3dadcfd0f,previous_dependency_resolutions.csv,13,13,0,resolved,,temer-2016-10-26,C006;C026;C027;C035;C040;C041;C052
temer-2017-04-26,rejected_standalone_paper_v1,temer,2017-04-26,2017-04-27,office:gap-39c58059991e,previous_dependency_resolutions.csv,1,1,0,resolved,,temer-2017-04-26,C035;C040;C041;C052;C067
temer-2017-05-31,rejected_standalone_paper_v1,temer,2017-05-31,2017-08-02,office:gap-04dcc85c8f0a;person-6e58f0606af5,previous_dependency_resolutions.csv,63,63,0,resolved,,temer-2017-04-27,C006;C008;C015;C035;C040;C041;C052
temer-2017-08-02,rejected_standalone_paper_v1,temer,2017-08-02,2017-08-03,office:gap-6a63c90af350;person-6e58f0606af5,previous_dependency_resolutions.csv,1,0,1,blocked,person-ivani-dos-santos,temer-2017-08-02,C015;C035;C040;C041;C052;C067;V5W1D001
temer-2017-08-03,rejected_standalone_paper_v1,temer,2017-08-03,2017-10-18,person-6e58f0606af5,previous_dependency_resolutions.csv,76,76,0,resolved,,temer-2017-08-03,C006;C015;C035;C040;C041;C052
temer-2017-10-18,rejected_standalone_paper_v1,temer,2017-10-18,2017-10-26,office:gap-4c3337a7818f;person-6e58f0606af5,previous_dependency_resolutions.csv,8,2,6,partial,person-ivani-dos-santos,temer-2017-10-18,C015;C035;C040;C041;C052;C067;V5W1D001
temer-2017-10-26,rejected_standalone_paper_v1,temer,2017-10-26,2017-12-31,person-48a2cca11210;person-6e58f0606af5,previous_dependency_resolutions.csv,66,66,0,resolved,,temer-2017-10-18,C006;C015;C026;C034;C035;C040;C041;C052
temer-2017-12-31,rejected_standalone_paper_v1,temer,2017-12-31,2018-03-21,office:gap-8405b5c80ded;person-6e58f0606af5,previous_dependency_resolutions.csv,80,80,0,resolved,,temer-2017-10-18,C006;C015;C034;C040;C041;C052
temer-2018-03-21,rejected_standalone_paper_v1,temer,2018-03-21,2018-04-02,person-6e58f0606af5,previous_dependency_resolutions.csv,12,12,0,resolved,,temer-2018-03-21,C006;C007;C015;C034;C041;C052
temer-2018-04-02,rejected_standalone_paper_v1,temer,2018-04-02,2018-04-06,person-34a8cf0e1dd6;person-6e58f0606af5,previous_dependency_resolutions.csv,4,4,0,resolved,,temer-2018-04-02,C001;C006;C007;C015;C034;C041;C052
temer-2018-04-06,rejected_standalone_paper_v1,temer,2018-04-06,2018-07-05,office:gap-5ca86b465daf;office:gap-7e9a7b83eeae;office:gap-896002fadcab;office:gap-8f5180873620;office:gap-af9a7b6408ad;person-34a8cf0e1dd6;person-6e58f0606af5;person-c855c86b4f06,previous_dependency_resolutions.csv,90,90,0,resolved,,temer-2018-04-06;temer-2018-05-15,C001;C015;C019;C026;C028;C034;C041;C046;C051;C052;C053;C067;C069
temer-2018-07-05,rejected_standalone_paper_v1,temer,2018-07-05,2018-07-11,office:gap-35764beba8ba;person-34a8cf0e1dd6;person-6e58f0606af5,previous_dependency_resolutions.csv,6,6,0,resolved,,temer-2018-07-05,C001;C012;C015;C034;C041;C052
temer-2018-12-28,rejected_standalone_paper_v1,temer,2018-12-28,2019-01-01,office:gap-4225a93161f0,previous_dependency_resolutions.csv,4,3,1,partial,person-carlos-henrique-menezes-sobral,temer-2018-07-05,C034;C041;C052;V5W2D001;V5W2D002
bolsonaro-2019-06-20,rejected_standalone_paper_v1,bolsonaro,2019-06-20,2019-06-21,office:gap-338339209be8,previous_dependency_resolutions.csv,1,1,0,resolved,,bolsonaro-2019-01-01,C043;C049;C056;V5W6D02
bolsonaro-2020-02-14,rejected_standalone_paper_v1,bolsonaro,2020-02-14,2020-02-18,office:gap-0f706e8bf05b;office:gap-191906ee0aa7,previous_dependency_resolutions.csv,4,0,4,blocked,person-marcos-paulo-cardoso-coelho-da-silva,bolsonaro-2020-02-11,C049;C054;C056;C057;V5W3D003;V5W6D02;V5W6D03
bolsonaro-2020-04-16,rejected_standalone_paper_v1,bolsonaro,2020-04-16,2020-04-17,office:gap-5d91b70c9644,previous_dependency_resolutions.csv,1,1,0,resolved,,bolsonaro-2020-04-16,C049;C056;C062;C066;V5W6D02;V5W6D03
bolsonaro-2020-04-24,rejected_standalone_paper_v1,bolsonaro,2020-04-24,2020-05-07,office:gap-d961ba1443b8;office:gap-dbf1e0074c70;person-86d3dadcfd0f,previous_dependency_resolutions.csv,13,8,5,partial,person-luiz-pontel-de-souza;person-renato-de-lima-franca,bolsonaro-2020-04-17,C020;C049;C056;C060;V5W3D001;V5W3D002;V5W6D02;V5W6D03
bolsonaro-2020-05-07,rejected_standalone_paper_v1,bolsonaro,2020-05-07,2020-06-17,office:gap-3eff7d6cf966;office:gap-d7f698a7616a;person-86d3dadcfd0f,previous_dependency_resolutions.csv,41,41,0,resolved,,bolsonaro-2020-05-07,C020;C042;C049;C050;V5W6D02;V5W6D03
bolsonaro-2020-06-17,rejected_standalone_paper_v1,bolsonaro,2020-06-17,2020-06-18,person-86d3dadcfd0f,previous_dependency_resolutions.csv,1,1,0,resolved,,bolsonaro-2020-06-17,C020;C042;C049;V5W6D02;V5W6D03
bolsonaro-2020-06-18,rejected_standalone_paper_v1,bolsonaro,2020-06-18,2020-09-19,person-82c36630e42f;person-86d3dadcfd0f,previous_dependency_resolutions.csv,93,93,0,resolved,,bolsonaro-2020-06-18,C020;C025;C042;C049;V5W6D02;V5W6D03
bolsonaro-2020-09-19,rejected_standalone_paper_v1,bolsonaro,2020-09-19,2020-12-09,person-86d3dadcfd0f,previous_dependency_resolutions.csv,81,81,0,resolved,,bolsonaro-2020-09-19,C020;C042;C049;V5W6D02;V5W6D03
bolsonaro-2020-12-09,rejected_standalone_paper_v1,bolsonaro,2020-12-09,2021-02-12,person-03c9d5b23d79;person-86d3dadcfd0f,previous_dependency_resolutions.csv,65,65,0,resolved,,bolsonaro-2020-12-09,C013;C020;C026;C028;C042;C049;V5W6D02;V5W6D03
bolsonaro-2021-02-12,rejected_standalone_paper_v1,bolsonaro,2021-02-12,2021-03-31,office:gap-341700ad454b;office:gap-6d577977c840;office:gap-75d2cc0f0c95;office:gap-abb1a128205d;office:gap-dc0d1a34d9b3;person-86d3dadcfd0f,previous_dependency_resolutions.csv,47,46,1,partial,person-jonathas-assuncao-salvador-nery-de-castro;person-otavio-brandelli;person-sergio-jose-pereira,bolsonaro-2021-02-12,C013;C020;C036;C042;C049;C058;C059;C063;C068;C072;V5W4D001;V5W4D002;V5W4D003;V5W6D02;V5W6D03
bolsonaro-2021-03-31,rejected_standalone_paper_v1,bolsonaro,2021-03-31,2021-04-06,office:gap-75d2cc0f0c95;office:gap-dc0d1a34d9b3,previous_dependency_resolutions.csv,6,5,1,partial,person-sergio-jose-pereira,bolsonaro-2021-03-31,C013;C049;C058;C068;C072;V5W4D001;V5W6D02;V5W6D03
bolsonaro-2021-07-28,rejected_standalone_paper_v1,bolsonaro,2021-07-28,2021-08-04,office:gap-36602b281a81,previous_dependency_resolutions.csv,7,7,0,resolved,,bolsonaro-2021-07-28,C010;C013;C036;C049;C068;C072;V5W6D02;V5W6D03
bolsonaro-2021-08-06,rejected_standalone_paper_v1,bolsonaro,2021-08-06,2022-02-08,person-5197b843a7c6,previous_dependency_resolutions.csv,186,186,0,resolved,,bolsonaro-2021-07-28,C010;C013;C014;C036;C049;C068;C072;V5W6D02;V5W6D03
bolsonaro-2022-02-08,rejected_standalone_paper_v1,bolsonaro,2022-02-08,2022-03-24,person-5197b843a7c6,previous_dependency_resolutions.csv,44,44,0,resolved,,bolsonaro-2022-02-08,C010;C013;C014;C036;C049;C068;C072;V5W6D02;V5W6D03
bolsonaro-2022-03-24,rejected_standalone_paper_v1,bolsonaro,2022-03-24,2022-03-27,person-5197b843a7c6,previous_dependency_resolutions.csv,3,3,0,resolved,,bolsonaro-2022-03-24,C010;C013;C014;C036;C049;C068;C072;V5W6D02;V5W6D03
bolsonaro-2022-03-27,rejected_standalone_paper_v1,bolsonaro,2022-03-27,2022-03-28,person-5197b843a7c6,previous_dependency_resolutions.csv,1,1,0,resolved,,bolsonaro-2022-03-27,C010;C013;C014;C036;C049;C068;C072;V5W6D02;V5W6D03
bolsonaro-2022-03-28,rejected_standalone_paper_v1,bolsonaro,2022-03-28,2022-03-30,office:gap-9fa4901067f0;person-5197b843a7c6;person-ad64ef4485f1,previous_dependency_resolutions.csv,2,2,0,resolved,,bolsonaro-2022-03-28,C010;C013;C014;C022;C036;C048;C049;C068;C072;V5W6D02;V5W6D03
bolsonaro-2022-03-30,rejected_standalone_paper_v1,bolsonaro,2022-03-30,2022-03-31,person-5197b843a7c6,previous_dependency_resolutions.csv,1,1,0,resolved,,bolsonaro-2022-03-30,C010;C014;C022;C036;C048;C049;C068;C072;V5W6D02;V5W6D03
bolsonaro-2022-03-31,rejected_standalone_paper_v1,bolsonaro,2022-03-31,2022-05-11,person-5197b843a7c6,previous_dependency_resolutions.csv,41,41,0,resolved,,bolsonaro-2022-03-31,C010;C014;C022;C036;C037;C039;C048;C049;C068;C072
bolsonaro-2022-05-11,rejected_standalone_paper_v1,bolsonaro,2022-05-11,2023-01-01,person-5197b843a7c6;person-561613fe4a6e,previous_dependency_resolutions.csv,235,224,11,partial,person-561613fe4a6e;person-jonathas-assuncao-salvador-nery-de-castro,bolsonaro-2022-05-11;bolsonaro-2022-12-30,C010;C014;C022;C028;C036;C037;C039;C044;C048;C061;C071;C072;V5W5D001;V5W5D002;V5W5D003;V5W5D004;V5W6D01
lula_3-2023-05-04,rejected_standalone_paper_v1,lula_3,2023-05-04,2023-09-06,office:gap-0ba755952dfd;person-a8fa920e4c2c,previous_dependency_resolutions.csv,125,125,0,resolved,,lula_3-2023-01-01,C002;C038;C064;C070;C073
lula_3-2024-09-10,rejected_standalone_paper_v1,lula_3,2024-09-10,2024-09-12,office:gap-9f2ffa84e57d,previous_dependency_resolutions.csv,2,2,0,resolved,,lula_3-2023-12-06,C011;C064;C073;V5W7D001
lula_3-2025-04-09,rejected_standalone_paper_v1,lula_3,2025-04-09,2025-04-24,person-940be97e3133,previous_dependency_resolutions.csv,15,15,0,resolved,,lula_3-2024-12-06,C003;C064;C073
lula_3-2026-01-09,rejected_standalone_paper_v1,lula_3,2026-01-09,2026-01-15,person-5ade68870caa,previous_dependency_resolutions.csv,6,6,0,resolved,,lula_3-2025-12-23,C004;C064;C073
