witness_id,period_id,party_id,person_id,service_id,affiliation_id,start_inclusive,end_exclusive,evidence_ids,decision_ids
326381051fce82132f95,dilma_2-2015-01-01,PT,person-052252ad8b69,service-dilma_rousseff-1-12,affiliation-d0f4c906643d,2015-01-01,2015-02-05,C024;C032;LEG-85841e849f8e;LEG-d255b4dea116,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
094db4bfb16a3591c9f1,dilma_2-2015-01-01,PCdoB,person-d1c3d895582d,service-dilma_rousseff-1-16,affiliation-e0a60b031086,2015-01-01,2015-02-05,C024;LEG-9551d742d972,C024;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
f9f7433b9f71b24a0b3b,dilma_2-2015-01-01,PSD,person-0c933c9fd291,service-dilma_rousseff-1-19,affiliation-39707084a306,2015-01-01,2015-02-05,LEG-79221ce8a4c6,PERSON-CONTINUITY-REVIEW;R04
95a067be5b08c99ad398,dilma_2-2015-01-01,PT,person-15675a9ecd53,service-dilma_rousseff-1-23,affiliation-7af3673c6018,2015-01-01,2015-02-05,C024;C032;LEG-a0ba08a78c10;LEG-fc4f25515b67,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
6dfeaf9124e07a3a9beb,dilma_2-2015-01-01,PT,person-e97a73d54d22,service-dilma_rousseff-1-28,affiliation-7dc2db2ea744,2015-01-01,2015-02-05,LEG-e0ac31b0f981,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
1ef7fd1957ecefc1b449,dilma_2-2015-01-01,PT,person-9e9d2c2a173e,service-dilma_rousseff-1-29,affiliation-8853da98c38a,2015-01-01,2015-02-05,C024;C032;LEG-8fea2cf59c34;LEG-d44eb314acd9,C024;C032;PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
172cec79b843ea1bb9c1,dilma_2-2015-01-01,MDB,person-5139ef661a7d,service-dilma_rousseff-1-3,affiliation-17b5cdf8e9ca,2015-01-01,2015-02-05,LEG-bbe559c76692,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
f144620b6048c5184bbf,dilma_2-2015-01-01,PT,person-90757367fdcf,service-dilma_rousseff-1-31,affiliation-893e7cb6ee58,2015-01-01,2015-02-05,LEG-9fb226a0f1d8,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
10d5536f8bca455260a0,dilma_2-2015-01-01,PTB,person-6e762df38945,service-dilma_rousseff-1-34,affiliation-a4eb3d8313a7,2015-01-01,2015-02-05,LEG-ba4b75fca9f5,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
f718500c4dbf98ce7848,dilma_2-2015-01-01,PT,person-06d7d8eceb28,service-dilma_rousseff-1-35,affiliation-e4422f7ef01f,2015-01-01,2015-02-05,LEG-af4dca441a45,PERSON-CONTINUITY-REVIEW;POPULATION-REVIEW
