comparison_baseline,overlap_start,overlap_end_exclusive,overlap_days,old_period_id,new_period_id,old_start,old_end_exclusive,new_start,new_end_exclusive,old_election_party_set,new_election_party_set,membership_added,membership_removed,old_duration,new_duration,reason_for_analytical_change,historical_change_dimensions,historical_decision_ids,old_vote_share,new_vote_share,old_seats,new_seats,old_q_C,new_q_C,old_d_C,new_d_C,old_A_C,new_A_C,old_B_C,new_B_C,old_R_C,new_R_C,old_inversion_status,new_inversion_status
manuscript_reported,2015-01-01,2015-03-19,77,2015.1,CV5-001,2015-01-01,2016-03-24,2015-01-01,2015-03-19,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB,PROS,,448,77,historical membership correction; date correction,date;label_normalization;personal_affiliation,R01;R02,0.5768532873908506,0.5971615387480385,318,329,295.9257364315064,306.3438693777437,22.074263568493624,22.656130622256274,18.24506595458887,18.06336845268631,3.829197613904753,4.592762169569966,1.0745939296618185,1.0739565334481025,False,False
manuscript_reported,2015-03-19,2016-03-18,365,2015.1,CV5-002,2015-01-01,2016-03-24,2015-03-19,2016-03-18,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,,,448,365,date correction,label_normalization,,0.5768532873908506,0.5768532873908506,318,318,295.9257364315064,295.9257364315064,22.074263568493624,22.074263568493624,18.24506595458887,18.24506595458887,3.829197613904753,3.829197613904753,1.0745939296618185,1.0745939296618185,False,False
manuscript_reported,2016-03-18,2016-03-24,6,2015.1,CV5-003,2015-01-01,2016-03-24,2016-03-18,2016-03-31,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,PROS,PRB,448,13,historical membership correction; date correction,date;label_normalization;personal_affiliation,R01;R02,0.5768532873908506,0.5517113008494633,318,308,295.9257364315064,283.0278973357747,22.074263568493624,24.97210266422533,18.24506595458887,18.204925296037324,3.829197613904753,6.7671773681880065,1.0745939296618185,1.0882319478019487,False,False
manuscript_reported,2016-03-24,2016-03-31,7,2016.1,CV5-003,2016-03-24,2016-04-14,2016-03-18,2016-03-31,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,PROS,,21,13,historical membership correction; date correction,date;label_normalization;personal_affiliation,R01;R02,0.5314030494922755,0.5517113008494633,297,308,272.6097643895373,283.0278973357747,24.39023561046268,24.97210266422533,18.386622797939882,18.204925296037324,6.003612812522793,6.7671773681880065,1.0894694130457154,1.0882319478019487,False,False
manuscript_reported,2016-03-31,2016-04-14,14,2016.1,CV5-004,2016-03-24,2016-04-14,2016-03-31,2016-04-14,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,,,21,14,date correction,label_normalization,,0.5314030494922755,0.5314030494922755,297,297,272.6097643895373,272.6097643895373,24.39023561046268,24.39023561046268,18.386622797939882,18.386622797939882,6.003612812522793,6.003612812522793,1.0894694130457154,1.0894694130457154,False,False
manuscript_reported,2016-04-14,2016-04-16,2,2016.2,CV5-005,2016-04-14,2016-04-16,2016-04-14,2016-04-19,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,,,2,5,date correction,label_normalization,,0.4653584948188879,0.4653584948188879,259,259,238.7289078420895,238.7289078420895,20.271092157910495,20.271092157910495,15.742022264747815,15.742022264747815,4.529069893162678,4.529069893162678,1.0849125995722273,1.0849125995722273,True,True
manuscript_reported,2016-04-16,2016-04-19,3,2016.3,CV5-005,2016-04-16,2016-05-12,2016-04-14,2016-04-19,PCdoB;PDT;PMDB;PR;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,PSD,,26,5,historical membership correction; date correction,date;label_normalization,R04,0.4040577778598597,0.4653584948188879,223,259,207.281640042108,238.7289078420895,15.718359957891993,20.271092157910495,11.09608095474679,15.742022264747815,4.622279003145202,4.529069893162678,1.0758309320338209,1.0849125995722273,False,True
manuscript_reported,2016-04-19,2016-05-12,23,2016.3,CV5-006,2016-04-16,2016-05-12,2016-04-19,2016-05-12,PCdoB;PDT;PMDB;PR;PT;PTB,PCdoB;PDT;PMDB;PR;PT;PTB,,,26,23,date correction,label_normalization,,0.4040577778598597,0.4040577778598597,223,223,207.281640042108,207.281640042108,15.718359957891993,15.718359957891993,11.09608095474679,11.09608095474679,4.622279003145202,4.622279003145202,1.0758309320338209,1.0758309320338209,False,False
manuscript_reported,2016-05-12,2016-10-10,151,2016.4,CV5-007,2016-05-12,2017-12-28,2016-05-12,2016-10-10,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,PR;PRB,,595,151,historical membership correction; date correction,historical_party_recognition;label_normalization;office_scope,C001;R05;R07,0.5393244114750998,0.6426607210528966,291,346,276.6734230867262,329.68494990013596,14.32657691327382,16.31505009986405,15.352586248533969,20.253867595361555,-1.0260093352601503,-3.9388174954975064,1.0517815435737858,1.0494867906612237,False,False
manuscript_reported,2016-10-10,2016-10-11,1,2016.4,CV5-008,2016-05-12,2017-12-28,2016-10-10,2016-10-11,DEM;PMDB;PP;PPS;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,PR;PRB,PSB,595,1,historical membership correction; date correction,date;historical_party_recognition;label_normalization;office_scope;personal_affiliation,C001;C006;C007;C041;R05;R07;R10,0.5393244114750998,0.578279279843202,291,312,276.6734230867262,296.6572705595627,14.32657691327382,15.342729440437349,15.352586248533969,19.604503474585236,-1.0260093352601503,-4.261774034147886,1.0517815435737858,1.0517187035783666,False,False
