sensitivity_id,scenario_id,scenario_type,candidate,start_inclusive,end_exclusive,days,affected_historical_party,primary_state,alternative_state,primary_historical_party_set,alternative_historical_party_set,primary_election_party_set,alternative_election_party_set,primary_provisional_day,primary_provisional_person_ids,comparison_scope,unbounded_personal_uncertainty,inversion_classification_changes,primary_votes,primary_national_vote_total,primary_vote_share,primary_seats,primary_seat_share,primary_q_C,primary_d_C,primary_R_C,primary_A_C,primary_B_C,primary_inversion_status,alternative_votes,alternative_national_vote_total,alternative_vote_share,alternative_seats,alternative_seat_share,alternative_q_C,alternative_d_C,alternative_R_C,alternative_A_C,alternative_B_C,alternative_inversion_status
affiliation-7f51ac18f31f@service-michel_temer-0-46,affiliation-7f51ac18f31f@service-michel_temer-0-46/PSDB,finite_affiliation,PSDB,2017-02-22,2017-03-07,13,PSDB,UNKNOWN,PSDB,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,False,,concrete released alternative,False,False,62566462,97355354,0.6426607210528966,346,0.6744639376218323,329.68494990013596,16.31505009986405,1.0494867906612237,20.253867595361555,-3.9388174954975064,False,62566462,97355354,0.6426607210528966,346,0.6744639376218323,329.68494990013596,16.31505009986405,1.0494867906612237,20.253867595361555,-3.9388174954975064,False
affiliation-7f51ac18f31f@service-michel_temer-0-46,affiliation-7f51ac18f31f@service-michel_temer-0-46/UNAFFILIATED,finite_affiliation,UNAFFILIATED,2017-02-22,2017-03-07,13,,UNKNOWN,UNAFFILIATED,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,False,,concrete released alternative,False,False,62566462,97355354,0.6426607210528966,346,0.6744639376218323,329.68494990013596,16.31505009986405,1.0494867906612237,20.253867595361555,-3.9388174954975064,False,62566462,97355354,0.6426607210528966,346,0.6744639376218323,329.68494990013596,16.31505009986405,1.0494867906612237,20.253867595361555,-3.9388174954975064,False
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,finite_affiliation,MDB,2016-03-28,2016-03-31,3,MDB,UNAFFILIATED,MDB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB,False,,concrete released alternative,False,False,53712049,97355354,0.5517113008494633,308,0.6003898635477583,283.0278973357747,24.97210266422533,1.0882319478019487,18.204925296037324,6.7671773681880065,False,53712049,97355354,0.5517113008494633,308,0.6003898635477583,283.0278973357747,24.97210266422533,1.0882319478019487,18.204925296037324,6.7671773681880065,False
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,finite_affiliation,MDB,2016-03-31,2016-04-14,14,MDB,UNAFFILIATED,MDB,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB,False,,concrete released alternative,False,False,51734932,97355354,0.5314030494922755,297,0.5789473684210527,272.6097643895373,24.39023561046268,1.0894694130457154,18.386622797939882,6.003612812522793,False,51734932,97355354,0.5314030494922755,297,0.5789473684210527,272.6097643895373,24.39023561046268,1.0894694130457154,18.386622797939882,6.003612812522793,False
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,finite_affiliation,MDB,2016-04-14,2016-04-19,5,MDB,UNAFFILIATED,MDB,MDB;PCdoB;PDT;PL;PSD;PT;PTB,MDB;PCdoB;PDT;PL;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB,False,,concrete released alternative,False,False,45305141,97355354,0.4653584948188879,259,0.5048732943469786,238.7289078420895,20.271092157910495,1.0849125995722273,15.742022264747815,4.529069893162678,True,45305141,97355354,0.4653584948188879,259,0.5048732943469786,238.7289078420895,20.271092157910495,1.0849125995722273,15.742022264747815,4.529069893162678,True
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77,affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,finite_affiliation,MDB,2016-04-19,2016-04-21,2,MDB,UNAFFILIATED,MDB,MDB;PCdoB;PDT;PL;PT;PTB,MDB;PCdoB;PDT;PL;PT;PTB,PCdoB;PDT;PMDB;PR;PT;PTB,PCdoB;PDT;PMDB;PR;PT;PTB,False,,concrete released alternative,False,False,39337188,97355354,0.4040577778598597,223,0.4346978557504873,207.281640042108,15.718359957891993,1.0758309320338209,11.09608095474679,4.622279003145202,False,39337188,97355354,0.4040577778598597,223,0.4346978557504873,207.281640042108,15.718359957891993,1.0758309320338209,11.09608095474679,4.622279003145202,False
affiliation-8527ce77d2d2@service-michel_temer-0-64,affiliation-8527ce77d2d2@service-michel_temer-0-64/MDB,finite_affiliation,MDB,2016-06-17,2016-10-05,110,MDB,UNAFFILIATED,MDB,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV,False,,concrete released alternative,False,False,62566462,97355354,0.6426607210528966,346,0.6744639376218323,329.68494990013596,16.31505009986405,1.0494867906612237,20.253867595361555,-3.9388174954975064,False,62566462,97355354,0.6426607210528966,346,0.6744639376218323,329.68494990013596,16.31505009986405,1.0494867906612237,20.253867595361555,-3.9388174954975064,False
affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10,affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10/PSDB,finite_affiliation,PSDB,2016-10-10,2016-10-11,1,PSDB,UNKNOWN,PSDB,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,False,,concrete released alternative,False,False,56298584,97355354,0.578279279843202,312,0.6081871345029239,296.6572705595627,15.342729440437349,1.0517187035783666,19.604503474585236,-4.261774034147886,False,56298584,97355354,0.578279279843202,312,0.6081871345029239,296.6572705595627,15.342729440437349,1.0517187035783666,19.604503474585236,-4.261774034147886,False
affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10,affiliation-C041-paulo-pedrosa-2016-10-10-2016-10-10@service-C041-paulo-pedrosa-2016-10-10/UNAFFILIATED,finite_affiliation,UNAFFILIATED,2016-10-10,2016-10-11,1,,UNKNOWN,UNAFFILIATED,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,False,,concrete released alternative,False,False,56298584,97355354,0.578279279843202,312,0.6081871345029239,296.6572705595627,15.342729440437349,1.0517187035783666,19.604503474585236,-4.261774034147886,False,56298584,97355354,0.578279279843202,312,0.6081871345029239,296.6572705595627,15.342729440437349,1.0517187035783666,19.604503474585236,-4.261774034147886,False
affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25@service-C041-paulo-pedrosa-2016-10-25,affiliation-C041-paulo-pedrosa-2016-10-25-2016-10-25@service-C041-paulo-pedrosa-2016-10-25/PSDB,finite_affiliation,PSDB,2016-10-25,2016-10-26,1,PSDB,UNKNOWN,PSDB,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV,False,,concrete released alternative,False,False,56298584,97355354,0.578279279843202,312,0.6081871345029239,296.6572705595627,15.342729440437349,1.0517187035783666,19.604503474585236,-4.261774034147886,False,56298584,97355354,0.578279279843202,312,0.6081871345029239,296.6572705595627,15.342729440437349,1.0517187035783666,19.604503474585236,-4.261774034147886,False
