analytical_period_id,period,historical_period_id,historical_start,historical_end_exclusive,overlap_start,overlap_end_exclusive,historical_party_ids,election_party_set
CV5-001,2015.1,dilma_2-2015-01-01,2015-01-01,2015-03-19,2015-01-01,2015-03-19,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PROS;PSD;PT;PTB
CV5-002,2015.2,dilma_2-2015-03-19,2015-03-19,2016-03-18,2015-03-19,2016-03-18,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB;REPUBLICANOS,PCdoB;PDT;PMDB;PP;PR;PRB;PSD;PT;PTB
CV5-003,2016.1,dilma_2-2016-03-18,2016-03-18,2016-03-31,2016-03-18,2016-03-31,MDB;PCdoB;PDT;PL;PP;PROS;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PROS;PSD;PT;PTB
CV5-004,2016.2,dilma_2-2016-03-31,2016-03-31,2016-04-14,2016-03-31,2016-04-14,MDB;PCdoB;PDT;PL;PP;PSD;PT;PTB,PCdoB;PDT;PMDB;PP;PR;PSD;PT;PTB
CV5-005,2016.3,dilma_2-2016-04-14,2016-04-14,2016-04-19,2016-04-14,2016-04-19,MDB;PCdoB;PDT;PL;PSD;PT;PTB,PCdoB;PDT;PMDB;PR;PSD;PT;PTB
CV5-006,2016.4,dilma_2-2016-04-19,2016-04-19,2016-05-12,2016-04-19,2016-05-12,MDB;PCdoB;PDT;PL;PT;PTB,PCdoB;PDT;PMDB;PR;PT;PTB
CV5-007,2016.5,temer-2016-05-12,2016-05-12,2016-10-10,2016-05-12,2016-10-10,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
CV5-008,2016.6,temer-2016-10-10,2016-10-10,2016-10-11,2016-10-10,2016-10-11,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
CV5-009,2016.7,temer-2016-10-11,2016-10-11,2016-10-25,2016-10-11,2016-10-25,CIDADANIA;DEM;MDB;PL;PP;PSB;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSB;PSD;PSDB;PTB;PV
CV5-010,2016.8,temer-2016-10-25,2016-10-25,2016-10-26,2016-10-25,2016-10-26,CIDADANIA;DEM;MDB;PL;PP;PSD;PSDB;PTB;PV;REPUBLICANOS,DEM;PMDB;PP;PPS;PR;PRB;PSD;PSDB;PTB;PV
