inversion_id,election,domain,k,period,period_ranges,period_days,source_periods,coalition,members,omitted_party,source_coalition_id,is_main_focal,is_strongest_k1,votes,vote_share,seats,q_C,d_C,A_C,B_C,R_C,r_C,classification,component_pattern,party_count,gross_positive_A,gross_negative_A,positive_A_count,negative_A_count,largest_positive_A_party,largest_positive_A,top_two_positive_A_parties,top_two_positive_A_share,largest_negative_A_party,largest_negative_A,top_two_negative_A_parties,top_two_negative_A_share,gross_positive_B,gross_negative_B,positive_B_count,negative_B_count,largest_positive_B_party,largest_positive_B,top_two_positive_B_parties,top_two_positive_B_share,largest_negative_B_party,largest_negative_B,top_two_negative_B_parties,top_two_negative_B_share,gross_positive_d,gross_negative_d,positive_d_count,negative_d_count,largest_positive_d_party,largest_positive_d,top_two_positive_d_parties,top_two_positive_d_share,largest_negative_d_party,largest_negative_d,top_two_negative_d_parties,top_two_negative_d_share,reinforcing_positive_parties,reinforcing_negative_parties,offsetting_parties,substantial_offset_parties,focal,report_code,identity_residual,csv_member_sum_residual_A,csv_member_sum_residual_B,csv_member_sum_residual_d
cabinet/2014/2016.3,2014,cabinet,,2016.3,2016.3: 2016-04-14 to 2016-04-18,5,"[""dilma_2-2016-04-14""]",Cabinet 2016.3,PCdoB; PDT; PMDB; PR; PSD; PT; PTB,,2014/2016.3,true,false,45305141,0.46535849481888791,259,238.72890784208951,20.271092157910495,15.742022264747815,4.5290698931626778,1.0849125995722273,18.271092157910495,reinforcement,A+ B+,7,17.681947251978418,-1.9399249872306041,4,3,PR,5.0428381901785997,PR; PSD,0.54794754005928592,PT,-1.2154112265853221,PT; PCdoB,0.91977118114618239,6.5669840673347757,-2.0379141741720974,4,3,PMDB,4.224685645373679,PMDB; PDT,0.88141116075862103,PT,-1.2063121025702577,PT; PR,0.95426249487646353,22.773172187325208,-2.502080029414715,5,2,PMDB,8.1333808616216423,PMDB; PSD,0.5570639416102432,PT,-2.4217233291555798,PT; PCdoB,1,PMDB; PTB,PT,PCdoB; PDT; PR; PSD,PCdoB,true,C14-01,0,0.0,8.881784197001252e-16,0.0
cabinet/2022/2023.1,2022,cabinet,,2023.1,2023.1: 2023-01-01 to 2023-09-12,255,"[""lula_3-2023-01-01""]",Cabinet 2023.1,MDB; PCdoB; PDT; PSB; PSD; PSOL; PT; REDE; UNIÃO,,2022/2023.1,true,false,53490123,0.48888043147286714,263,250.79566134558084,12.204338654419161,13.196247377886202,-0.99190872346704151,1.0486624792029489,6.2043386544191597,within-district dominance with between-district offset,A+ B-,9,26.072637520465133,-12.876390142578931,5,4,UNIÃO,9.3566623177917077,UNIÃO; PT,0.70667632731194263,PSB,-5.5459166989201254,PSB; PSOL,0.69491491232155556,4.225152565097023,-5.2170612885640644,5,4,UNIÃO,1.7469012659661585,UNIÃO; PDT,0.65590224164489874,PSOL,-2.6596964876850473,PSOL; PT,0.91814045986302939,26.461318852878751,-14.256980198459591,5,4,UNIÃO,11.103563583757866,UNIÃO; PT,0.68180722698069485,PSOL,-6.0617753157133025,PSOL; PSB,0.81618635987524879,PCdoB; PSD; UNIÃO,PSB; PSOL,MDB; PDT; PT; REDE,PDT; PT,true,C22-01,0,-1.7763568394002505e-15,-1.1102230246251565e-16,0.0
k0/2014/8-19,2014,k=0 minimal ideological,0,,,,,PSB--PTN,PSB; PPS; PV; PTB; PT DO B; SOLIDARIEDADE; PMN; PHS; PMDB; PSD; PSDB; PTN,,PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN,true,false,47627762,0.48921564190501532,260,250.96762429727286,9.0323757027271458,10.508783851460613,-1.4764081487334679,1.0359902028320125,6.032375702727145,within-district dominance with between-district offset,A+ B-,12,15.619344762377629,-5.1105609109170169,9,3,PSD,4.6459413100010254,PSD; PTB,0.55894878936156367,PT DO B,-3.6149652242462449,PT DO B; PV,0.98198327542821717,5.7865758450612983,-7.2629839937947658,7,5,PMDB,4.224685645373679,PMDB; PMN,0.79197452757691456,PSDB,-5.0113312742991472,PSDB; PV,0.84951931337680198,19.611551481801403,-10.579175779074257,8,4,PMDB,8.1333808616216423,PMDB; PSD,0.64686942659341662,PSDB,-4.4303847839739765,PSDB; PT DO B,0.72895287219145266,PSB; PTB; SOLIDARIEDADE; PMN; PMDB,PV,PPS; PT DO B; PHS; PSD; PSDB; PTN,PPS,true,K14a,0,0.0,0.0,0.0
k0/2014/11-24,2014,k=0 minimal ideological,0,,,,,PTB--PR,PTB; PT DO B; SOLIDARIEDADE; PMN; PHS; PMDB; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,,PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR,true,false,46332636,0.47591256254894826,257,244.14314458761046,12.856855412389544,11.620538081371619,1.2363173310179254,1.0526611362940641,12.856855412389544,reinforcement,A+ B+,14,19.521091669040846,-7.9005535876692283,8,6,PR,5.0428381901785997,PR; PSD,0.49632365158888037,PT DO B,-3.6149652242462449,PT DO B; PRTB,0.69960961828834844,7.2820320325245778,-6.0457147015066521,10,4,PMDB,4.224685645373679,PMDB; PROS,0.68500800034376341,PSDB,-5.0113312742991472,PSDB; PR,0.95104127796264926,23.525543104696634,-10.668687692307092,9,5,PMDB,8.1333808616216423,PMDB; PSD,0.53924846730137721,PSDB,-4.4303847839739765,PSDB; PT DO B,0.72283684666626291,PTB; SOLIDARIEDADE; PMN; PMDB,,PT DO B; PHS; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR,PRTB; PRP,true,K14b,0,0.0,0.0,-1.7763568394002505e-15
k0/2014/12-27,2014,k=0 minimal ideological,0,,,,,PT DO B--PSDC,PT DO B; SOLIDARIEDADE; PMN; PHS; PMDB; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR; PRB; PTC; PSDC,,PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR|PRB|PTC|PSDC,true,false,47691320,0.48986848735612426,257,251.30253401369174,5.697465986308262,6.2665828795721277,-0.56911689326386616,1.0226717410895581,5.697465986308262,within-district dominance with between-district offset,A+ B-,16,15.572268116666832,-9.3056852370947034,8,8,PR,5.0428381901785997,PR; PSD,0.62218165186931429,PT DO B,-3.6149652242462449,PT DO B; PRTB,0.59397058238148304,7.6510130068608264,-8.220129900124693,11,5,PMDB,4.224685645373679,PMDB; PROS,0.65197251613163132,PSDB,-5.0113312742991472,PSDB; PRB,0.87416458866522118,19.369159943684249,-13.671693957375986,9,7,PMDB,8.1333808616216423,PMDB; PSD,0.65496454665690018,PSDB,-4.4303847839739765,PSDB; PT DO B,0.56406474527714934,SOLIDARIEDADE; PMN; PMDB; PTC,PRB,PT DO B; PHS; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR; PSDC,PRTB; PRP; PSDC,true,K14c,0,8.881784197001252e-16,2.220446049250313e-16,-8.881784197001252e-16
k0/2014/13-28,2014,k=0 minimal ideological,0,,,,,SOLIDARIEDADE--PSL,SOLIDARIEDADE; PMN; PHS; PMDB; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR; PRB; PTC; PSDC; PSL,,SOLIDARIEDADE|PMN|PHS|PMDB|PSD|PSDB|PTN|PPL|PRTB|PROS|PRP|PR|PRB|PTC|PSDC|PSL,true,false,47687533,0.48982958862231657,257,251.2825789632484,5.7174210367516096,6.5862104528808336,-0.86878941612922389,1.0227529543048339,5.7174210367516096,within-district dominance with between-district offset,A+ B-,16,15.572268116666832,-8.9860576637859975,8,8,PR,5.0428381901785997,PR; PSD,0.62218165186931429,PSL,-3.2953376509375389,PSL; PRTB,0.57952840959548346,7.351340483995469,-8.220129900124693,11,5,PMDB,4.224685645373679,PMDB; PROS,0.67854974366903043,PSDB,-5.0113312742991472,PSDB; PRB,0.87416458866522118,19.369159943684249,-13.651738906932637,9,7,PMDB,8.1333808616216423,PMDB; PSD,0.65496454665690018,PSDB,-4.4303847839739765,PSDB; PSL,0.56342752901793636,SOLIDARIEDADE; PMN; PMDB; PTC,PRB,PHS; PSD; PSDB; PTN; PPL; PRTB; PROS; PRP; PR; PSDC; PSL,PRTB; PRP; PSDC,true,K14d,0,8.881784197001252e-16,1.1102230246251565e-16,0.0
k1/2014/4-16/omit-PCdoB,2014,k=1 minimal ideological,1,,,,,"PSOL--PMDB, omitting PCdoB",PSOL; PT; PDT; PSB; PPS; PV; PTB; PT DO B; SOLIDARIEDADE; PMN; PHS; PMDB,PCdoB,PSOL|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB,false,false,48675894,0.49998168565028278,260,256.49060473859504,3.5093952614049351,-0.36611784277638904,3.8755131041813242,1.0136823540378079,0.50939526140493518,between-district dominance with within-district offset,A- B+,12,10.000378878091208,-10.366496720867598,6,6,PTB,4.0844725355508311,PTB; PMDB,0.79928649196583901,PSOL,-3.8848866929747401,PSOL; PT DO B,0.72347024449676423,7.3501032491605338,-3.4745901449792096,8,4,PMDB,4.224685645373679,PMDB; PDT,0.78750091709718428,PT,-1.2063121025702577,PT; PV,0.68066330273911901,16.277412067137057,-12.768016805732122,7,5,PMDB,8.1333808616216423,PMDB; PTB,0.76843328616664353,PSOL,-4.1975024814762625,PSOL; PT DO B,0.58574784015941583,PSB; PTB; SOLIDARIEDADE; PMN; PMDB,PSOL; PT; PV,PDT; PPS; PT DO B; PHS,PPS,false,,0,-2.220446049250313e-16,0.0,4.440892098500626e-16
k1/2014/4-16/omit-PPS,2014,k=1 minimal ideological,1,,,,,"PSOL--PMDB, omitting PPS",PSOL; PCdoB; PT; PDT; PSB; PV; PTB; PT DO B; SOLIDARIEDADE; PMN; PHS; PMDB,PPS,PSOL|PCdoB|PT|PDT|PSB|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PHS|PMDB,false,false,48633220,0.4995433533116217,260,256.2657402488619,3.7342597511380831,-1.426720875770213,5.1609806269082963,1.0145718259003786,0.73425975113808328,between-district dominance with within-district offset,A- B+,12,9.5086517153521477,-10.935372591122361,5,7,PTB,4.0844725355508311,PTB; PMDB,0.84062052024615264,PSOL,-3.8848866929747401,PSOL; PT DO B,0.68583414554247313,7.8386224191561622,-2.6776417922478655,9,3,PMDB,4.224685645373679,PMDB; PDT,0.73842223033062271,PT,-1.2063121025702577,PT; PV,0.88324958573376489,16.277412067137057,-12.543152315998974,7,5,PMDB,8.1333808616216423,PMDB; PTB,0.76843328616664353,PSOL,-4.1975024814762625,PSOL; PT DO B,0.59624870037951672,PSB; PTB; SOLIDARIEDADE; PMN; PMDB,PSOL; PT; PV,PCdoB; PDT; PT DO B; PHS,PCdoB,false,,0,-2.220446049250313e-16,0.0,4.440892098500626e-16
k1/2014/5-16/omit-PHS,2014,k=1 minimal ideological,1,,,,,"PCdoB--PMDB, omitting PHS",PCdoB; PT; PDT; PSB; PPS; PV; PTB; PT DO B; SOLIDARIEDADE; PMN; PMDB,PHS,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PMN|PMDB,false,false,47900371,0.49201578579848831,260,252.4040981146245,7.5959018853755076,3.0419685482828993,4.5539333370926087,1.0300942098092478,4.5959018853755076,reinforcement,A+ B+,11,10.000378878091208,-6.9584103298083093,6,5,PTB,4.0844725355508311,PTB; PMDB,0.79928649196583901,PT DO B,-3.6149652242462449,PT DO B; PV,0.72121146996457086,7.7159076935702959,-3.1619743564776872,8,3,PMDB,4.224685645373679,PMDB; PDT,0.75016618644832433,PT,-1.2063121025702577,PT; PV,0.74795862872869323,16.246772909890502,-8.6508710245149949,6,5,PMDB,8.1333808616216423,PMDB; PTB,0.76988244461915156,PT DO B,-3.2813357856004508,PT DO B; PV,0.67548918352248954,PSB; PTB; SOLIDARIEDADE; PMN; PMDB,PT; PV,PCdoB; PDT; PPS; PT DO B,PCdoB; PPS,false,,0,-4.440892098500626e-16,0.0,8.881784197001252e-16
k1/2014/5-16/omit-PMN,2014,k=1 minimal ideological,1,,,,,"PCdoB--PMDB, omitting PMN",PCdoB; PT; PDT; PSB; PPS; PV; PTB; PT DO B; SOLIDARIEDADE; PHS; PMDB,PMN,PCdoB|PT|PDT|PSB|PPS|PV|PTB|PT DO B|SOLIDARIEDADE|PHS|PMDB,false,false,48374966,0.49689065893592249,262,254.90490803412825,7.0950919658717488,2.7765789290000007,4.3185130368717477,1.0278342697305844,2.0950919658717484,reinforcement,A+ B+,11,9.8270648271476215,-7.0504858981476204,5,6,PTB,4.0844725355508311,PTB; PMDB,0.81338302864527567,PT DO B,-3.6149652242462449,PT DO B; PV,0.71179283457558795,7.4804873933494349,-3.1619743564776872,8,3,PMDB,4.224685645373679,PMDB; PDT,0.77377485518108824,PT,-1.2063121025702577,PT; PV,0.74795862872869323,15.745962990386744,-8.6508710245149949,6,5,PMDB,8.1333808616216423,PMDB; PTB,0.79436902351892857,PT DO B,-3.2813357856004508,PT DO B; PV,0.67548918352248954,PSB; PTB; SOLIDARIEDADE; PMDB,PT; PV,PCdoB; PDT; PPS; PT DO B; PHS,PCdoB; PPS,false,,0,0.0,0.0,0.0
