election_year,party_id,election_party,mapping_type,basis
2014,PT,PT,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,PCdoB,PCdoB,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2014,PDT,PDT,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,PSB,PSB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,PSOL,PSOL,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,MDB,PMDB,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2014,PP,PP,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,PL,PR,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2014,REPUBLICANOS,PRB,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2014,PSD,PSD,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,PSDB,PSDB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,PTB,PTB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,PV,PV,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,CIDADANIA,PPS,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2014,PROS,PROS,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,PSC,PSC,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,DEM,DEM,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,PSL,PSL,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2014,PODEMOS,PTN,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2014,PATRIOTA,PEN,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2014,AVANTE,PT DO B,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2014,SOLIDARIEDADE,SOLIDARIEDADE,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PT,PT,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PCdoB,PCdoB,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2018,PDT,PDT,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PSB,PSB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PSOL,PSOL,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,REDE,REDE,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,MDB,MDB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PP,PP,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PL,PR,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2018,REPUBLICANOS,PRB,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2018,PSD,PSD,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PSDB,PSDB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PTB,PTB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PV,PV,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,CIDADANIA,PPS,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2018,PROS,PROS,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PSC,PSC,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,DEM,DEM,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PSL,PSL,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,UNIAO,DEM,crosswalk_fusion_expansion,"Documented DEM+PSL merger; union of whole predecessor election IDs, no federation closure."
2018,UNIAO,PSL,crosswalk_fusion_expansion,"Documented DEM+PSL merger; union of whole predecessor election IDs, no federation closure."
2018,NOVO,NOVO,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PODEMOS,PODE,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,PATRIOTA,PATRIOTA,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,AVANTE,AVANTE,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2018,SOLIDARIEDADE,SOLIDARIEDADE,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PT,PT,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PCdoB,PCdoB,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2022,PDT,PDT,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PSB,PSB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PSOL,PSOL,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,REDE,REDE,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,MDB,MDB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PP,PP,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PL,PL,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,REPUBLICANOS,REPUBLICANOS,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PSD,PSD,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PSDB,PSDB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PTB,PTB,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PV,PV,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,CIDADANIA,CIDADANIA,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PROS,PROS,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PSC,PSC,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,UNIAO,UNIÃO,crosswalk_rename,Same stable organization; election label fixed by the existing party identity policy.
2022,NOVO,NOVO,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PODEMOS,PODE,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,PATRIOTA,PATRIOTA,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,AVANTE,AVANTE,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
2022,SOLIDARIEDADE,SOLIDARIEDADE,explicit_identity,Same stable organization; election label fixed by the existing party identity policy.
