alias_norm,canonical,valid_from_year,valid_to_year,notes
AVANTE,AVANTE,"","",Alias observado nas fontes-alvo.
AGIR,AGIR,2022,"",Alias observado em fonte eleitoral/ideológica de 2022.
CDD,CIDADANIA,2022,"",Abreviação observada na fonte de classificação ideológica de 2025 usada para a eleição de 2022.
CIDADANIA,CIDADANIA,"","",Alias observado nas fontes-alvo.
CIDADANIA,CIDADANIA,2018,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
CIDADANIA,CIDADANIA,2022,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
DC,DC,"","",Auto: canônico também aparece como alias.
DEM,DEM,"","",Auto: canônico também aparece como alias.
DEMOCRACIA CRISTA,DC,2018,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
DEMOCRATAS,DEM,2014,2018,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
MDB,MDB,"","",Auto: canônico também aparece como alias.
MOVIMENTO DEMOCRATICO BRASILEIRO,MDB,2018,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
NOVO,NOVO,"","",Alias observado nas fontes-alvo.
PARTIDO COMUNISTA BRASILEIRO,PCB,2014,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO COMUNISTA DO BRASIL,PCdoB,2014,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO DA CAUSA OPERARIA,PCO,2014,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO DA MOBILIZACAO NACIONAL,PMN,2014,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO DA MULHER BRASILEIRA,PMB,2014,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO DA MULHER BRASILEIRA,PMB,2018,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO DA REPUBLICA,PR,2014,2018,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,PSDB,2014,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO DEMOCRATICO TRABALHISTA,PDT,2014,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO DO MOVIMENTO DEMOCRATICO BRASILEIRO,PMDB,2014,2014,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO DOS TRABALHADORES,PT,2014,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO ECOLOGICO NACIONAL,PEN,"",2016,Regra histórica condicionada por ano; não aplicar merge global sem year. | Nome extenso com rename histórico; usar janela temporal.
PARTIDO ECOLOGICO NACIONAL,PATRIOTA,2017,"",Regra histórica condicionada por ano; não aplicar merge global sem year. | Nome extenso com rename histórico; usar janela temporal.
PARTIDO HUMANISTA DA SOLIDARIEDADE,PHS,2014,2018,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO LIBERAL,PL,2018,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO LIBERAL,PL,2022,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO NOVO,NOVO,2018,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO PATRIA LIVRE,PPL,2014,2018,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO POPULAR SOCIALISTA,PPS,2014,2018,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO PROGRESSISTA,PP,2014,2014,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO PROGRESSISTA,PP,2014,2018,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,PRTB,2014,2022,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
PARTIDO REPUBLICANO BRASILEIRO,PRB,2014,2018,Nome extenso (NM_PARTIDO) mapeado para sigla/canônico.
