case_id,baseline_case_id,source_case_id,source_case_ids,analysis_variant,case_domain,ideological_universe,k,gap_count,case_order,registry_order,focal_order,election_year,case_label,case_display,cabinet_period,source_periods,period_start,period_end,period_days,ideology_start_index,ideology_end_index,start_party,end_party,minimal_inversion,minimal_status,observed_coalition,synthetic_ideological_interval,main_text_focal,appendix_minimal,shared_numerical_vector,numerical_vector_group,coalition_parties,electoral_unit,v_Cd,V_d,district_coalition_vote_share,s_Cd,S_d,district_coalition_seat_share,within_district_quota,national_quota_contribution,a_Cd,b_Cd,d_Cd,within_district_quota_exact,national_quota_contribution_exact,a_Cd_exact,b_Cd_exact,d_Cd_exact
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",AC,206024,399201,0.5160908915558828,5,8,0.625,4.128727132447063,1.0856137609031753,0.871272867552937,3.0431133715438876,3.9143862390968245,1648192//399201,2781324//2561983,347813//399201,3112332562612//1022746175583,10028591//2561983
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",AL,462101,1384584,0.3337471760471015,4,9,0.4444444444444444,3.0037245844239138,2.4349745880437146,0.9962754155760863,0.5687499963801991,1.5650254119562854,1386303//461528,12476727//5123966,459809//461528,672505289421//1182426890024,8019137//5123966
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",AM,883732,1658407,0.5328800469366084,4,8,0.5,4.263040375492867,4.656698346554212,-0.2630403754928676,-0.39365797106134454,-0.6566983465542121,7069856//1658407,11930382//2561983,-436228//1658407,-1672578137026//4248810541081,-1682450//2561983
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",AP,177840,386084,0.46062514893132067,5,8,0.625,3.6850011914505654,0.9371022368220242,1.3149988085494348,2.747898954628541,4.0628977631779755,355680//96521,2400840//2561983,126925//96521,679514635800//247285161143,10409075//2561983
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",BA,3372656,6646541,0.5074302558278058,20,39,0.5128205128205128,19.789779977284425,17.771724480607404,0.2102200227155749,2.0180554966770208,2.2282755193925956,131533584//6646541,45530856//2561983,1397236//6646541,34364104967976//17028325050803,5708804//2561983
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",CE,2043455,4367020,0.4679289309414658,12,22,0.5454545454545454,10.294436480712248,10.767691471801335,1.7055635192877523,-0.4732549910890874,1.2323085281986648,4495601//436702,55173285//5123966,744823//436702,-264744308126//559411550033,6314307//5123966
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",DF,546474,1454063,0.3758255316310229,4,8,0.5,3.006604253048183,2.8795659455976095,0.9933957469518171,0.12703830745057357,1.1204340544023907,4371792//1454063,7377399//2561983,1444460//1454063,473253861399//3725284686929,2870533//2561983
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",ES,662777,1794470,0.3693441517551143,4,10,0.4,3.6934415175511432,3.492407834087892,0.30655848244885675,0.20103368346325115,0.5075921659121079,662777//179447,17894979//5123966,55011//179447,184846516969//919480326802,2600885//5123966
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",GO,1416853,3032760,0.4671826982682441,8,17,0.47058823529411764,7.94210587056015,7.4659025840530555,0.05789412943985017,0.47620328650709404,0.5340974159469443,24086501//3032760,38255031//5123966,175579//3032760,3700042183703//7769879563080,2736697//5123966
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",MA,1431399,3130492,0.45724410092726636,7,18,0.3888888888888889,8.230393816690794,7.5425506336302774,-1.2303938166907948,0.6878431830605172,-0.5425506336302778,12882591//1565246,38647773//5123966,-1925869//1565246,1379171544687//2005066821409,-2780011//5123966
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",MG,4477684,10118666,0.44251722509666785,26,53,0.49056603773584906,23.4534129301234,23.594510189958324,2.5465870698766024,-0.14109725983492757,2.405489810041675,118658626//5059333,60448734//2561983,12884032//5059333,-1828892119064//12961925137339,6162824//2561983
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",MS,825708,1276893,0.6466540266099039,5,8,0.625,5.173232212879231,4.350949245174538,-0.17323221287923107,0.8222829677046924,0.6490507548254614,2201888//425631,11147058//2561983,-73733//425631,896666180306//1090459386273,1662857//2561983
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",MT,604679,1454612,0.4156977943259096,2,8,0.25,3.3255823546072767,3.186268800378457,-1.3255823546072767,0.13931355422881989,-1.186268800378457,1209358//363653,16326333//5123966,-482052//363653,259589299379//1863345607798,-6078401//5123966
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",PA,1908838,3756049,0.5082037002179685,10,17,0.5882352941176471,8.639462903705462,10.058346601050827,1.3605370962945371,-1.4188836973453638,-0.058346601050826646,32450246//3756049,25769313//2561983,5110244//3756049,-13653823726519//9622933685167,-149483//2561983
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",PB,977061,1936819,0.5044668603519482,8,12,0.6666666666666666,6.0536023242233785,5.148482054720894,1.9463976757766213,0.9051202695024847,2.851517945279106,11724732//1936819,26380647//5123966,3769820//1936819,8982589785219//9924194704154,14611081//5123966
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",PE,1739512,4483227,0.3880044441202732,10,25,0.4,9.70011110300683,9.166107659574633,0.29988889699317034,0.5340034434321955,0.8338923404253659,43487800//4483227,23483412//2561983,1344470//4483227,6133537576876//11485951359141,2136418//2561983
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",PI,1143169,1733434,0.6594822762216502,6,10,0.6,6.594822762216502,6.023764209208258,-0.594822762216502,0.5710585530082443,-0.023764209208257822,5715845//866717,30865563//5123966,-515543//866717,2536087274599//4441028439622,-121767//5123966
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",PR,2410723,5665222,0.42553019104988293,13,30,0.43333333333333335,12.765905731496488,12.70295724054375,0.23409426850351142,0.0629484909527379,0.2970427594562493,36160845//2832611,65089521//5123966,663098//2832611,913647141939//14514202455226,1522037//5123966
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",RJ,4050400,7673438,0.527846839969255,29,46,0.6304347826086957,24.28095463858573,21.342998763067513,4.719045361414271,2.9379558755182145,7.657001236932485,93159200//3836719,54680400//2561983,18105651//3836719,28878957086000//9829608853777,19617107//2561983
cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,cabinet/2014/2016.2,focal,cabinet,not_applicable,,,1,1,1,2014,Cabinet 2014/2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,cabinet/2014/2016.2,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",RN,768858,1580871,0.48635087872445,3,8,0.375,3.8908070297956,4.051386367512977,-0.8908070297956,-0.16057933771737723,-1.0513863675129773,2050288//526957,10379583//2561983,-469417//526957,-216790917827//1350054875731,-2693634//2561983
