selected_order,election_year,party,v_i,vote_share_pct,s_i,q_i,A_i,B_i,d_i,gross_positive_B,gross_negative_B_magnitude,positive_eight_seat_B,sp_b_id,largest_positive_B_state,largest_positive_b_id,largest_negative_B_state,largest_negative_b_id,largest_positive_A_state,largest_positive_a_id,largest_negative_A_state,largest_negative_a_id,q_i_exact,A_i_exact,B_i_exact,d_i_exact,gross_positive_B_exact,gross_negative_B_magnitude_exact
1,2014,PMDB,10791949,11.085110943153676,65,56.86661913837836,3.9086952162479633,4.224685645373679,8.133380861621642,6.959840511645395,2.735154866271716,4.575406378826275,-1.5568188349189025,TO,1.3042286334364415,SP,-1.5568188349189025,MG,1.3296863440299345,BA,-1.1528113645879865,291382623//5123966,1183158165631686216544067255830149040749674192654009893964425573012712486817105396842347796764954889674007591813996908847862935404232088757//302699008281189041665328140697789110456772237945373602176519034913023291053398829388335099009245765567518402877039988476429242541852068900,3276284753766903786866035126396436124666742111550292643880336206515709889656852930263337816186656488922906615638561750195857696471853990901578019//775509713333265544532862385889343838575372708488002097425004766623572150282859893112814921965004494205967500358127540796807620095101789036628700,41675167//5123966,1126647099311341761152992669802656287121930811883382393261958993644204505294113268087877819872100000887791//161878292674409003274819586871316443659054969853685346011351806388743570667017782825516747569417283772300,5796391306056023144610943270650881516019777822519124412//2119218687590100633036993463868572263667625109062607415
2,2014,PSD,5967953,6.130071695902826,36,31.4472677999815,4.645941310001025,-0.09320910998252392,4.552732200018501,2.6024063470513426,2.6956154570338664,1.460994133225167,-1.8529290334824784,RJ,0.41679383853135415,SP,-1.8529290334824784,RJ,2.5553763515128423,MT,-0.8469172535356507,161134731//5123966,21103265337011198466142554182088011234328362409810590661602192615974560104308636776646597675962152499198463544639119365927723160924444107637319//4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400,-1084702259859914796963498896937827949508894340256273345788907519326090536394339107170597556906687160309422863135346410691502028574897520059800792077//11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200,23328045//5123966,4934913413866968853088558376253850287138989597801286472327462682093717155726992687373493215634527897406727//1896288571328791181219315160492564054291786789714599767561549731982424684956494027384624757241745324189800,1045405553151830699885735364073113717730747044328122609763//387817019828988415845769803887948724251175394958457156945
3,2014,PT,13554166,13.922363222057617,69,71.42172332915558,-1.215411226585322,-1.2063121025702577,-2.4217233291555798,5.706375774731767,6.912687877302026,3.6824055743050574,-5.847087177691173,AC,1.4421938535518855,SP,-5.847087177691173,RJ,1.3400045716144446,PE,-2.145212589056945,182981241//2561983,-188207864207579163962835372191020634738137514106631233550137823712428601277137747468036878085587033610952490564733015370472595486126351987746//154851181304574639519201616340148524710715597816191236622528794474028210416385323879591698718161657662710721144529388650362405008512459519775,-478575488636514868250890921891378649946192042305696927553647615829544299916561735201669524782397717934040781584707777435860119107152373374303826532//396726094032238048679322714635982737783933279439919072975896188452954216607202121229007979057051958183684601490024836722621425470923776577851713825,-6204414//2561983,529284872217293190806776660030014021506643052083644691706111966828511879143227401107336898415994757350417//92753245336734351255292589371918893959924353844735858195945367325227294372871990469900123995520151726675,2680858011583247395335771584569510761456858373705875854111//387817019828988415845769803887948724251175394958457156945
4,2014,PSDB,11088715,11.389938554380892,54,58.43038478397398,0.580946490325171,-5.011331274299147,-4.4303847839739765,3.9342408608312462,8.945572135130394,2.4788814898850764,-8.187137176278128,RR,1.1076224405031825,SP,-8.187137176278128,GO,0.8388276685263588,PA,-1.1745594905710761,299395305//5123966,42791902846166185780693443196532892775312130593901325734832374339573303593547606358574459981672335487843547172040801278321686026804163920939//73658940296230098798322931015854433375907960042296372015040723857916121711577883791373348579449869590911045733613979466118333193238359122920,-945703122417180003777308039943075294001968800246623052661049847427931953634353313396150155579345431097593858342576301897166930384351930823680687897//188712952836956477209623777772791788783708803193042586064210078831675519250993441449474065713624715244131053681741543954544245629412391020815950360,-22701141//5123966,8545613214885260740722010957995990472518522561589010625905790150601612446799132827716554455089044300175713//2172112363522069898487579183836937007643319413673087006479593329361686457313802249549661085567817371344680,3469245126111510033951306463834019151422570634259073667176//387817019828988415845769803887948724251175394958457156945
5,2018,PP,5408578,5.504119048862052,37,28.236130720662327,7.318776629343754,1.4450926499939176,8.763869279337671,3.1510011720261493,1.7059085220322316,1.8888405342848584,-1.2194240688785905,AC,0.40948795936071375,SP,-1.2194240688785905,SP,1.8828109446061572,AC,-0.5628332319366135,462433419//16377365,624506834712373952054504212075674854756566390240862491077581901294499069506885069539776192450353147408447641703379794392156030592848041386810928418819//85329402212999506744495464972164511325093155483035182077222421000823474488263364416106380734060060576125814278848741167586931850478484846309248206520,403894946295795658439830848679810606891399110325777051640102678012282957434026325005075156691594337917804086576687265129806540814645365865741621545016641757//279494153054820133354912794138770608403536853269483696944025954982830268452495467034117215222133908795464549273383522778419470429082314194995092150754683960,143529086//16377365,74045321231240749350930617546285231745156257147003314526626167871172787517658612321789596593809955876600958987376861//23498982446784778990722224413763379702049083260221075381176351665382688797240847035617772363040171565384824674302190,13956378127061809139750361897056836080966551038169//8181199605261199165269314444803063765401952443720
6,2018,PR,5224591,5.316881968904441,33,27.27560450047978,6.3683808514567275,-0.6439853519365057,5.724395499520222,3.0652577931558773,3.7092431450923833,2.2458018843708665,-3.3094861893943825,AP,0.7742738395417335,SP,-3.3094861893943825,PR,1.4158923980967741,MG,-0.8661397590055688,893405061//32754730,3079324076343920528077659933816730637595945893689179979046944411628456886248576728691605959335323764222735494160422630134644627636956520936106615532441//483533279206997204885474301508932230842194547737199365104260385671333022100159065024602824159673676598046280913476199949659280486044747462419073170280,-1019944129608822412249091147800383554300604252348329159989280693058716818025327787678586661817463469335246391174137247837928513366603857575280439432511897781//1583800200643980755677839166786366780953375501860407616016147078236038187897474313193330886258758816507632445882506629077710332431466447104972188854276542440,187501029//32754730,349862132656023893022862020552676790318130876064172157661177496074975275538067779901799857338508158243765009610324083//114137914741526069383507947152564987124238404406788080422856565231858774158026971315857751477623690460440576989467780,18207635132668568785012128212491515377061534975937//4908719763156719499161588666881838259241171466232
7,2018,PSL,11435001,11.636997160410115,52,59.69779543290389,-2.4212554961908648,-5.276539936713024,-7.697795432903889,4.022174368499458,9.298714305212483,2.1349685643001224,-8.413276625588729,RJ,1.2457549229218,SP,-8.413276625588729,RJ,1.8137192049369857,SP,-4.607303272337464,1955385171//32754730,-7024545659226803664726601124022378162275964556777742821882329771464241845242442450803026827170700799916678817052031447958376199314975987464255004750547//2901199675241983229312845809053593385053167286423196190625562314027998132600954390147616944958042059588277685480857199697955682916268484774514439021680,-50141910062832392271304267082438018215887938810293106346234107485508073476786003076221488312521818439734848331679080390612632055648589138933652623128112275717//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640,-252139211//32754730,1428256962680621448267702233178118195031260263083102674650520988556546079934006369694132327866318888801541034164256767//355095734751414438082024724474646626608741702598896250204442647388005075158306132982668560152607036988037350633899760,22822391340972308037827411110331934079902578765867//2454359881578359749580794333440919129620585733116
8,2018,PSC,1719754,1.7501329833380808,7,8.978182204524353,-3.073116754686265,1.0949345501619112,-1.9781822045243542,1.4496650318342825,0.3547304816723713,0.9865998664202332,-0.21465398694633722,TO,0.3595836029062048,SP,-0.21465398694633722,SP,0.6273133494261989,PB,-0.5662576776548638,147038967//16377365,-1768993121165970367020336180007554381823824022294571090075787025131309504756865552717494437336288345899905173830086817020394237548795914052890790855//575634856198806196292231311320157417669279223496665910838405221037301216785903648838812885904373424521483667754138333273403905340529461264784610917,10322366429990844030443717850550017103390412962224762120831962403943113799058187109046805630173043549975591261701845495979433908507202740219553655833250271//9427382146690361640939518849918849886627235130121473904858018322833560642246870911865064799159278669688288368348253744510180550187300280386739219370693705,-32397412//16377365,66184697522909206668383911142518925529925415856504884957084007808061047736217726617752011473772945606017474819451565//45655165896610427753403178861025994849695361762715232169142626092743509663210788526343100591049476184176230795787112,1243766089985194018079916349363501390013331808469//3506228402254799642258277619201313042315122475880
9,2018,PSD,5749010,5.8505646868915315,35,30.013396843753558,4.2634970812796755,0.7231060749667654,4.986603156246441,2.790485198507201,2.0673791235404355,1.6471180631454492,-1.29664905751591,RR,0.42833203078746673,SP,-1.29664905751591,PA,1.200962376186573,PR,-0.9261102209056368,98308071//3275473,3092314086900934820851741195936392706210034807308643553435052113095816029700998421116581601767130750588919318652497709253076546317387811768937992116201//725299918810495807328211452263398346263291821605799047656390578506999533150238597536904236239510514897069421370214299924488920729067121193628609755420,1717883319928866620602709213883616647730035415129508426210322561756528944464073327641471863265276101879305713415000715167538600509632950963955167531567245207//2375700300965971133516758750179550171430063252790611424024220617354057281846211469789996329388138224761448668823759943616565498647199670657458283281414813660,16333484//3275473,445900226344587465277992059780650545806359357150133897066761067651030386584135694260139067480164271617222430523613907//159793080638136497136911126013590981973933766169503312591999191324602283821237759842200852068673166644616807785254892,704735052893093914568307294967293653776248882174//340883316885883298552888101866794323558414685155
10,2022,UNIÃO,10215433,9.336537313107629,59,47.89643641624213,9.356662317791708,1.7469012659661585,11.103563583757866,5.9080395024409045,4.161138236474746,4.095223881764738,-3.0560334290062783,AC,1.1665356971071428,SP,-3.0560334290062783,RO,2.2035832792573875,ES,-0.5946325854070418,5240517129//109413508,4778898527343075495806018122834522093667485210561655676900661006037613327463678155124742904053593417025860282506398089419341895841789372033401509//510748209674724757900658618495061390758577896116417918519983200711477408374478406748321089275559459078491938064000878367729506339494657649678620,6101353283095055340099338856436069556779913931969669542258005940850794254917465153882760420129348976246056885316441478461339940798249137093047412117068//3492672082826948418522610934998646714890924294084803803708095630681927444562516259536542718001258692522515643331316538580912455232021840044398305424935,1214879843//109413508,3215743718456433876318105561379643385512337176496137640796146419967774622344793208169603157738152780118324310669599//544299630550515179904770905231766154279982716038426693272753054941284099827748341322014546411473755586168180856122,446986380288291302330074767668797126501906596209//107419257637297685683939593334565545943296305270
