path,artifact_type,description,rows,columns,sha256
all_parties/audit/accounting_integration_checks.csv,audit,"Cardinality, registry, identity, and generation checks for manuscript integration.",12,5,de754072acf8258c37fce1540ba25a1348f87f394352bce9edfc133cff7f3975
all_parties/audit/coalition_party_component_checks.csv,audit,Exact and numerical closure audits of the focal member-party component vectors.,8,11,efcd67c16b3576fb572a5daa1e1674010b06c7ad50c489d9cb14acb0bf698bb9
all_parties/audit/coalition_party_contribution_checks.csv,audit,"Per-case vote, seat, exact differential, source-regression, and inversion checks.",16,28,7fb7c0a475ad1f45ae85c3098811c989eb4e70f64da1252484d3da4b782181fa
all_parties/figure_data/accounting_district_electoral_weight.csv,figure_data,State-year district electoral weights derived from audited valid votes and seats.,81,12,ab1fa8ab3fa0044a461af3ad686e52f3818112c8d22cc5f319253e684c015ff4
all_parties/figure_data/accounting_state_weighting_anatomy.csv,figure_data,Seven-case gross positive and negative state-weighting anatomy.,5,25,b781c6d3cbf0ebefe1501139fb2bf54aef01a0f71f5c52208aca308343dbdf57
all_parties/latex/table_accounting_focal_cases.tex,latex,Generated compact sign-and-magnitude table for selected focal accounting vectors.,5,68,4200ca8cb33ff8b6652ad3d4f355a4aa0bd6af47ead06d2d4bb0d8efbbf23416
all_parties/latex/table_accounting_gross_components.tex,latex,Generated gross-component concentration appendix table.,20,29,3f550f699aed559704bd6110f3b45ac3ffa77d598a567130dc6a37f5a934b355
all_parties/latex/table_accounting_minimal_ideological.tex,latex,Generated portrait tabular for all endpoint-minimal ideological decompositions.,6,68,db93b4d5eaa99361ec736b3b9f73bd856da8f33773868c98a24bbe4046a5dcb5
all_parties/latex/table_accounting_selected_party_geography.tex,latex,Generated selected-party geography appendix table.,17,28,f16639a57edb9a9057df449e5106a89a6f1c67c03410b34142fd53190a28ce5e
all_parties/latex/table_cabinet_district_concentration.tex,latex,Generated cabinet within-district concentration tabular.,2,14,cdcfd5a399c1487269188056544971d304db3a0868228b84d60cdd43f47c3832
all_parties/latex/table_coalition_party_component_extremes.tex,latex,Generated appendix table of largest member-party within- and between-district contributions.,8,34,8a03b25697b8923c06cd65c791e6419acaea12c27a26c9f32a026d2fa1a33be5
all_parties/latex/table_coalition_party_contributions.tex,latex,Generated appendix table of focal coalition-party contribution diagnostics.,8,55,9101426b78bb9b68f25c093fa4e288cb60379c7c1687b18a5305ec6d96dd8f8c
all_parties/raw/accounting_all_inversion_decomposition.csv,raw,Exact-audited accounting totals for all registered inversion cases.,16,68,0dde4efc761a0622130f2e8d156624d402758d15f89162eaa7892cbdbbd09a61
all_parties/raw/accounting_focal_case_decomposition.csv,raw,Selected focal cabinet and ideological accounting vectors.,5,68,c6a4954c7d5d019ca9be992c85a4d49938e11b29c765f94a8ea4fc1229f0a0a8
all_parties/raw/accounting_focal_party_contributions.csv,raw,Complete member-party vectors for the selected focal cases.,53,51,45534108f48c23c71becc91c0eb9441fec60a94c3d90b65248e5666384e18a48
all_parties/raw/accounting_focal_party_state_contributions.csv,raw,Complete member-party-by-state cells for the selected focal cases.,1431,54,50435e06a2b9ad35960a54109038b091ca2d83535a6227e6c3edf1f95ef6bb3f
all_parties/raw/accounting_focal_state_contributions.csv,raw,Complete 27-state vectors for the selected focal cases.,135,50,fb13f34b30ba3f02cebc0428385712fb987c35d5c9bf8ec455519bfa924a1f87
all_parties/raw/accounting_gross_component_concentration.csv,raw,"Gross positive, negative, cancellation, and concentration diagnostics.",30,29,3c94e5ed097949b9d24ad60a56c9a957b16f9dd4ac5b55dedc169d5875feb429
all_parties/raw/accounting_minimal_ideological_decomposition.csv,raw,All primary minimal connected ideological inversion decompositions.,6,68,d312e53b13f467df765607f9ef50202de1f12d3bb268932fbef059d11aa6b704
all_parties/raw/accounting_selected_party_geography.csv,raw,Selected party differentials and state-level accounting geography.,17,28,c1d40ee863e7cb3dfdbc84e61b242928dd72aac411d4eb431b20e4a43770aa70
all_parties/raw/coalition_party_contribution_named_aggregates.csv,raw,Named exact party aggregation used for the PP-PL substantive diagnostic.,1,12,5c3d16a3f575f83d7cf40b40b191cdb8e9da945305fafb3ef59eda9c03b26cb7
all_parties/raw/coalition_party_contribution_summary.csv,raw,"Case-level gross, net, concentration, and top-two party contribution diagnostics.",16,53,638a9eea6969cec532437bf7020ef191e02588750c87985813b42cc68173dcf3
all_parties/raw/coalition_party_contributions.csv,raw,Canonical complete case-party contribution vectors for all cabinet and ideological inversions.,198,50,cb78a37a7f45726755bb8c3edd71bbfd8209d9b4eb9bad7fd1d6387d1321a281
all_parties/tables/table_accounting_focal_cases.csv,table,Manuscript table source for selected focal accounting vectors.,5,68,c6a4954c7d5d019ca9be992c85a4d49938e11b29c765f94a8ea4fc1229f0a0a8
all_parties/tables/table_accounting_gross_components.csv,table,Appendix table source for gross focal accounting components.,20,29,2f9fc72bd6cbca91f5ddada9e2ace850db3b8ccebccb0db384d966244c49014b
all_parties/tables/table_accounting_minimal_ideological.csv,table,Manuscript table source for all endpoint-minimal ideological decompositions.,6,68,d312e53b13f467df765607f9ef50202de1f12d3bb268932fbef059d11aa6b704
all_parties/tables/table_accounting_selected_party_geography.csv,table,Appendix table source for selected party state geography.,17,28,c1d40ee863e7cb3dfdbc84e61b242928dd72aac411d4eb431b20e4a43770aa70
all_parties/tables/table_cabinet_district_concentration.csv,table,Exact district concentration for inverted cabinet vectors; shared table/prose source.,2,14,71f9a8959928e30e1831aa809f6f9b571ceae8774c25a1b47198187fb36374ea
all_parties/tables/table_coalition_party_component_extremes.csv,table,Largest signed member-party A_i/B_i contributions for the existing focal appendix cases.,8,34,3448f862ad39aac6f2c6e9dbe5f176dfe676835477e51aa15cdd32e7ed334e54
all_parties/tables/table_coalition_party_contributions.csv,table,Appendix table source for selected focal coalition-party contribution vectors.,8,55,bf58876c47d1e31de449318d7345bbb6ef582154b66cf9935e9f134a91dae99a
audit/accounting_integration_checks.csv,audit,"Cardinality, registry, identity, and generation checks for manuscript integration.",12,5,d3722ac90fcfd7b4a8e40cccb3d35fbc36f92440d4883b2d13bcaa8478a61d5a
audit/coalition_party_component_checks.csv,audit,Exact and numerical closure audits of the focal member-party component vectors.,9,11,b48da615a32350e4b5727c8219d5c30d6993cbfaec6aae0218e5cf77f8999507
audit/coalition_party_contribution_checks.csv,audit,"Per-case vote, seat, exact differential, source-regression, and inversion checks.",14,28,05f41d964795a8fc1ab3b4a426368f26e221ec027479d47463eb9c10e2f89fb6
audit/decomposition_identity_checks.csv,audit,Exact and floating-point decomposition identity results.,8,10,eacfa383c770ad6375f49521bc2f5d4d13e7213201a95509f87243c5401c9d94
audit/decomposition_input_manifest.csv,audit,SHA-256 provenance for corrected-baseline and district inputs.,34,3,ea4a046daad6f3495721585c9fdf806a3fc3444ec83fb59cc6f9a3c5a19f49cb
audit/ideological_regression.csv,audit,Ideological inversion-count regression after the decomposition rebuild.,3,5,94cd433241652b715b146c41e92fc834617d92b5d6d766841f199d7eda2bb255
audit/party_size_diagnostic_checks.csv,audit,Party-size diagnostic: checks; descriptive accounting only.,617,5,2953285526239dd5e7727a463fbee5f3d27f960b98ea7c571662ac86c11fe80c
audit/party_size_diagnostic_metadata.csv,audit,"Diagnostic definitions, scope and descriptive-benchmark qualification.",9,2,8558e3f849a3a4aa5ceb84d28b1d9f2a641a3a1b8d3d395b355528006d5d08bf
figure_data/accounting_district_electoral_weight.csv,figure_data,State-year district electoral weights derived from audited valid votes and seats.,81,12,ab1fa8ab3fa0044a461af3ad686e52f3818112c8d22cc5f319253e684c015ff4
figure_data/accounting_state_weighting_anatomy.csv,figure_data,Seven-case gross positive and negative state-weighting anatomy.,6,25,f955cd6f770f282f1acecbeaff55808d5d5d6e7268a27a23b78e52ed836b110b
figure_data/inversion_decomposition_components.csv,figure_data,"Long-form A_C, B_C, and d_C values for decomposition visualization.",6,5,09033308d79927acbe2d27b0d2274770cb0fdfe0cff7f958ff9b5061323b15e1
latex/report/party_size_diagnostics.tex,latex,Central analysis report section; never synchronized into the manuscript.,99,0,146139ecf552cc89d939101646755994a868c0baf2b5d870cc7882e94ba50fe6
