election,domain,ideological_universe,k,gap_count,case_identifier,case,sum_party_votes,coalition_votes,sum_party_votes_matches_coalition,sum_party_seats,coalition_seats,sum_party_seats_matches_coalition,sum_party_d_i,coalition_d_C,sum_party_d_i_exact,coalition_d_C_exact,exact_differential_closure,coalition_membership_matches_source,national_denominators_match_source,coalition_vote_share_matches_source,coalition_seat_share_matches_source,coalition_q_C_matches_source,coalition_d_C_matches_source,coalition_r_C_matches_source,coalition_R_C_matches_source,coalition_remains_inversion,all_checks_pass
2014,cabinet,not_applicable,,,cabinet/2014/2016.2,Cabinet 2014/2016.2,45305141,45305141,true,259,259,true,20.271092157910495,20.271092157910495,103868387//5123966,103868387//5123966,true,true,true,true,true,true,true,true,true,true,true
2014,cabinet,not_applicable,,,cabinet/2014/2017.1,Cabinet 2014/2017.1,48591926,48591926,true,266,266,true,9.951852529856755,9.951852529856755,25496477//2561983,25496477//2561983,true,true,true,true,true,true,true,true,true,true,true
2018,cabinet,not_applicable,,,cabinet/2018/2021.3/2022.1,Cabinet 2018/2021.3/2022.1,46426736,46426736,true,257,257,true,14.6236514237791,14.6236514237791,239496877//16377365,239496877//16377365,true,true,true,true,true,true,true,true,true,true,true
2022,cabinet,not_applicable,,,cabinet/2022/2023.1,Cabinet 2022/2023.1,53490123,53490123,true,263,263,true,12.20433865441916,12.20433865441916,1335319505//109413508,1335319505//109413508,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,seat_winning,0,0,ideological/2014/05-16,Ideological 2014/PSB-PTN,47627762,47627762,true,260,260,true,9.032375702727146,9.032375702727146,23140793//2561983,23140793//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,seat_winning,0,0,ideological/2014/05-17,Ideological 2014/PSB-PRTB,48081952,48081952,true,261,261,true,7.639086988477285,7.639086988477285,19571211//2561983,19571211//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,seat_winning,0,0,ideological/2014/07-20,Ideological 2014/PV-PR,48195846,48195846,true,265,265,true,11.03893897812749,11.03893897812749,28281574//2561983,28281574//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,seat_winning,0,0,ideological/2014/08-20,Ideological 2014/PTB-PR,46191382,46191382,true,257,257,true,13.601172997635034,13.601172997635034,34845974//2561983,34845974//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,seat_winning,0,0,ideological/2014/09-23,Ideological 2014/PT DO B-PSDC,47550066,47550066,true,257,257,true,6.441783571553754,6.441783571553754,16503740//2561983,16503740//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,seat_winning,0,0,ideological/2014/09-24,Ideological 2014/PT DO B-PSL,48358776,48358776,true,258,258,true,3.1804028363966506,3.1804028363966506,8148138//2561983,8148138//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,seat_winning,0,0,ideological/2014/10-24,Ideological 2014/SOLIDARIEDADE-PSL,47546279,47546279,true,257,257,true,6.461738621997101,6.461738621997101,33109729//5123966,33109729//5123966,true,true,true,true,true,true,true,true,true,true,true
2018,ideological,seat_winning,0,0,ideological/2018/03-16,Ideological 2018/PT-PSDB,49083988,49083988,true,267,267,true,10.751148368495176,10.751148368495176,176075481//16377365,176075481//16377365,true,true,true,true,true,true,true,true,true,true,true
2022,ideological,seat_winning,0,0,ideological/2022/11-20,Ideological 2022/MDB-UNIÃO,53852214,53852214,true,265,265,true,12.506626128832282,12.506626128832282,684196919//54706754,684196919//54706754,true,true,true,true,true,true,true,true,true,true,true
2022,ideological,seat_winning,0,0,ideological/2022/15-23,Ideological 2022/PROS-PL,51743481,51743481,true,262,262,true,19.39370541889581,19.39370541889581,2121933343//109413508,2121933343//109413508,true,true,true,true,true,true,true,true,true,true,true
2022,ideological,seat_winning,0,0,ideological/2022/16-23,Ideological 2022/PTB-PL,50943820,50943820,true,259,259,true,20.143023949108734,20.143023949108734,550979728//27353377,550979728//27353377,true,true,true,true,true,true,true,true,true,true,true
2022,ideological,seat_winning,0,0,ideological/2022/17-23,Ideological 2022/PP-PL,49521168,49521168,true,258,258,true,25.813319869060408,25.813319869060408,706081470//27353377,706081470//27353377,true,true,true,true,true,true,true,true,true,true,true
