"scope","case_id","election_year","check_name","exact_pass","floating_residual","atol","rtol","status"
"year",,2014,"complete-system sum_i A_i = 0",true,0.0,1.0e-9,1.0e-12,"PASS"
"year",,2014,"complete-system sum_i B_i = 0",true,0.0,1.0e-9,1.0e-12,"PASS"
"year",,2014,"complete-system sum_i d_i = 0",true,0.0,1.0e-9,1.0e-12,"PASS"
"year",,2018,"complete-system sum_i A_i = 0",true,0.0,1.0e-9,1.0e-12,"PASS"
"year",,2018,"complete-system sum_i B_i = 0",true,0.0,1.0e-9,1.0e-12,"PASS"
"year",,2018,"complete-system sum_i d_i = 0",true,0.0,1.0e-9,1.0e-12,"PASS"
"year",,2022,"complete-system sum_i A_i = 0",true,0.0,1.0e-9,1.0e-12,"PASS"
"year",,2022,"complete-system sum_i B_i = 0",true,0.0,1.0e-9,1.0e-12,"PASS"
"year",,2022,"complete-system sum_i d_i = 0",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2014-a264923b9881ebab3d9b",2014,"A_C + B_C = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2014-a264923b9881ebab3d9b",2014,"sum_i d_i = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2014-a264923b9881ebab3d9b",2014,"sum_i A_i = A_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2014-a264923b9881ebab3d9b",2014,"sum_i B_i = B_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2014-a264923b9881ebab3d9b",2014,"sum_d a_Cd = A_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2014-a264923b9881ebab3d9b",2014,"sum_d b_Cd = B_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2014-a264923b9881ebab3d9b",2014,"sum_id a_id = A_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2014-a264923b9881ebab3d9b",2014,"sum_id b_id = B_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2022-259238bde0cf94feb03e",2022,"A_C + B_C = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2022-259238bde0cf94feb03e",2022,"sum_i d_i = d_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2022-259238bde0cf94feb03e",2022,"sum_i A_i = A_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2022-259238bde0cf94feb03e",2022,"sum_i B_i = B_C",true,0.0,1.0e-9,1.0e-12,"PASS"
"case","cabinet/C2022-259238bde0cf94feb03e",2022,"sum_d a_Cd = A_C",true,0.0,1.0e-9,1.0e-12,"PASS"
