"path","artifact_type","description","rows","columns","bytes","sha256"
"audit/intermediate_accounting_generation_checks.csv","audit","Report-output cardinality and generation-boundary checks.",8,4,367,"02772f8dee7a3dcb44ddba66b1aeea72bf035106a3d3ead0bfc125e1fc2c50bc"
"audit/intermediate_accounting_identity_checks.csv","audit","Exact complete-system and registry-derived accounting identity checks.",121,9,10455,"ca6a9d2ca79bdefca7fc48083e6cb726de36c815367e31b5ce91893641802cad"
"audit/intermediate_accounting_input_manifest.csv","audit","SHA-256 provenance for every corrected-baseline and source-code input.",30,3,3995,"44097c84bfa3876e9e8af6a39706c616febd20bbdea464716fee9c0d7a88551c"
"audit/party_size_diagnostic_checks.csv","audit","Party-size diagnostic: checks; descriptive accounting only.",614,5,119685,"4335a58e35d6ca1a1da334bee571e47aeeed1709a2d54468674cb41686c3f435"
"audit/party_size_diagnostic_metadata.csv","audit","Diagnostic definitions, scope and descriptive-benchmark qualification.",9,2,1187,"8558e3f849a3a4aa5ceb84d28b1d9f2a641a3a1b8d3d395b355528006d5d08bf"
"latex/report/generated_interpretation.tex","latex","Procedurally generated descriptive interpretation linked to case outputs.",14,23,8064,"a5118a052e631e7d303843e2b624b39777552f1e6628884d25d48f194f96b177"
"latex/report/party_size_diagnostics.tex","latex","Central analysis report section; never synchronized into the manuscript.",99,0,6247,"dbe06332b02d2cb1ea1041f3701ec1cab4d75eb00d7626c9b4d15bbc93a261f0"
"latex/report/table_all_inversion_decomposition.tex","latex","Reusable LaTeX registry-derived decomposition table.",14,19,2863,"190bd45ba70c44eb3f596235578ed1a93e0edbd421bcb41af6e6160ed8084acc"
"latex/report/table_case_component_extremes.tex","latex","Reusable LaTeX party/district component-extremes table.",84,12,7729,"094e7d6256e61c506ec5789125a2c308dc308f497dacd2fcaee4d6043f1df819"
"latex/report/table_case_district_vectors.tex","latex","Reusable LaTeX complete district-vector table.",378,14,35856,"a3a5a426d4d9bc94c47925071bc06650535e844adeafb06cd9d8b4a9c692ef52"
"latex/report/table_case_party_district_extremes.tex","latex","Reusable LaTeX party-by-district cell-extremes table.",42,13,4485,"2a2dcd62b75bcd011ad7bb34b3fde49b458cd6bb2ba234249b08b5f22b116fdc"
"latex/report/table_case_party_vectors.tex","latex","Reusable LaTeX complete party-vector table.",162,16,15400,"b5fb19a2d206d009f13606a68d4e0ac39d2f59de9910a715530bad5501391f88"
"latex/report/table_district_weight_extremes.tex","latex","Reusable LaTeX district-weight extremes table.",18,10,2108,"ff48a57c205067970bd9b49d65e80cfc8cda95f4149967900e41c904934222e1"
"latex/report/table_inversion_case_registry.tex","latex","Reusable LaTeX inversion registry table.",14,13,2876,"924f952902f1978120e2d6420bfb3776c152001400da1691fa6cc7b57f31e57f"
"latex/report/table_party_district_accounting_2014.tex","latex","Reusable LaTeX complete 2014 party-by-district longtable.",864,38,70302,"dab316a8ff4237b2037da2cab2624af26a0437c58f75706b83a2a9ad083c7dcc"
"latex/report/table_party_district_accounting_2018.tex","latex","Reusable LaTeX complete 2018 party-by-district longtable.",945,38,76833,"51095cf1f9e3500f7266976cecb7502284d5def96ccaa5527aa8f3328a400e3f"
"latex/report/table_party_district_accounting_2022.tex","latex","Reusable LaTeX complete 2022 party-by-district longtable.",864,38,70457,"ebfb68b41a8899e49188ca3998112fbdbdc56945ca5ee16c9b1a8a06017cde97"
"latex/report/table_year_accounting_closure.tex","latex","Reusable LaTeX election-year accounting closure table.",3,12,1079,"39676c9629174e3c37fe0555886ae7e15e4129a10a57831aadd47a1b3d3c5d05"
"raw/all_inversion_contribution_rankings.csv","raw","Complete deterministic party, district, and cell rankings for A/B/d components.",14742,27,2968260,"2d50df08b16d50d792d908e9cae5a939038c13fdc65f32e71fe574f18399c0bd"
"raw/all_inversion_decomposition.csv","raw","Combined registry-derived exact-audited coalition decomposition.",14,57,21072,"d66adc06177442926b0986a9c40b060a8bb4990bf5df3218ab118182809533ca"
"raw/all_inversion_district_contributions.csv","raw","Combined district accounting vectors for all inversion cases.",378,44,208463,"323fdf3784a554fa28915e3e771d6b99f7f53a6428b061797897db09505fde10"
"raw/all_inversion_party_contributions.csv","raw","Combined full member-party accounting vectors for all inversion cases.",162,43,92602,"a800d810c9aa7833f51ffbbfcc29415b6232a58a3d8872beaff004c6cbef76d3"
"raw/all_inversion_party_district_contributions.csv","raw","Combined case-linked member-party-by-district accounting cells.",4374,50,3000101,"7ebaa03f6f875e11ddc798fffb63cd6285d31791e65a89e1dee927b0898f44d4"
"raw/cabinet_inversion_decomposition.csv","raw","Cabinet-only coalition decomposition.",2,57,3736,"f87140c7ec041a1f0fab33932120f07f53c8a99f5b86632a50bca5e9d5e0b596"
"raw/cabinet_inversion_district_contributions.csv","raw","Cabinet-only district accounting vectors.",54,44,28623,"929dfc463a57d46e4cd3dcbc95093dd7740349b5da9624e719678dcbb53b80a6"
"raw/cabinet_inversion_party_contributions.csv","raw","Cabinet-only member-party accounting vectors.",16,43,9057,"96cf7d377e53b2ed568f60aa6d9bf337c9c6150a6266b5f3d7aa39a421918e3f"
"raw/cabinet_inversion_party_district_contributions.csv","raw","Cabinet-only linked member-party-by-district cells.",432,50,281267,"f5980c96b613af6f9c7bbbf49ac4ee623c8e39871c7b0269960acb3e8e90c4cb"
"raw/cabinet_party_set_accounting.csv","raw","Party-size diagnostic: cabinet_sets; descriptive accounting only.",34,37,70383,"044106d392ca7148aefdec9d8b0b099e66e167fb784f9ea3ea4fb91b3c561e08"
"raw/cabinet_party_set_period_linkage.csv","raw","Party-size diagnostic: period_linkage; descriptive accounting only.",53,16,44276,"00650d0795712500c4a5ddcc8270cb92a73f48f6f6b39a5cca84037d1e068865"
"raw/district_accounting_all_years.csv","raw","All-year district seat/valid-vote weighting and closure output.",81,16,16171,"0c3e9df74ddd6e2006a8e37cd0fca51b1361dd06e36e0990fcb4f5cb6dc6d2c1"
"raw/ideological_inversion_decomposition.csv","raw","Ideological-only coalition decomposition.",12,57,18255,"81d03a45669e3af3cbca73e4d655825e33c902abf81662324ae6b56773ff1d13"
"raw/ideological_inversion_district_contributions.csv","raw","Ideological-only district accounting vectors.",324,44,180595,"df527104dac919af342018d561f1cebebdee7ecd6bd7105f0c18e2e8fc33bd8c"
"raw/ideological_inversion_party_contributions.csv","raw","Ideological-only member-party accounting vectors.",146,43,84214,"c3165535d2a72144c25fedee941fe7864b2ed35e99699b34525ce8090b3129d8"
"raw/ideological_inversion_party_district_contributions.csv","raw","Ideological-only linked member-party-by-district cells.",3942,50,2719708,"cd81abff95c0e1e3d9bbee9f3dc2f9e57424bfecf1be29a242e7e4bb9c0691bf"
"raw/inversion_case_registry.csv","raw","Combined cabinet and ideological inversion registry.",14,38,7499,"277cdb351c68b997ceef65414b5ddc1a5ad5c3c6bb60552e720f64e006d4f8ba"
