path,artifact_type,description,rows,columns,bytes,sha256
all_parties/audit/accounting_integration_checks.csv,audit,"Cardinality, registry, identity, and generation checks for manuscript integration.",12,5,870,de754072acf8258c37fce1540ba25a1348f87f394352bce9edfc133cff7f3975
all_parties/audit/coalition_party_component_checks.csv,audit,Exact and numerical closure audits of the focal member-party component vectors.,8,11,1214,efcd67c16b3576fb572a5daa1e1674010b06c7ad50c489d9cb14acb0bf698bb9
all_parties/audit/coalition_party_contribution_checks.csv,audit,"Per-case vote, seat, exact differential, source-regression, and inversion checks.",16,28,4585,7fb7c0a475ad1f45ae85c3098811c989eb4e70f64da1252484d3da4b782181fa
all_parties/figure_data/accounting_district_electoral_weight.csv,figure_data,State-year district electoral weights derived from audited valid votes and seats.,81,12,11866,ab1fa8ab3fa0044a461af3ad686e52f3818112c8d22cc5f319253e684c015ff4
all_parties/figure_data/accounting_state_weighting_anatomy.csv,figure_data,Seven-case gross positive and negative state-weighting anatomy.,5,25,5167,b781c6d3cbf0ebefe1501139fb2bf54aef01a0f71f5c52208aca308343dbdf57
all_parties/latex/table_accounting_focal_cases.tex,latex,Generated compact sign-and-magnitude table for selected focal accounting vectors.,5,68,1428,4200ca8cb33ff8b6652ad3d4f355a4aa0bd6af47ead06d2d4bb0d8efbbf23416
all_parties/latex/table_accounting_gross_components.tex,latex,Generated gross-component concentration appendix table.,20,29,3444,3f550f699aed559704bd6110f3b45ac3ffa77d598a567130dc6a37f5a934b355
all_parties/latex/table_accounting_minimal_ideological.tex,latex,Generated portrait tabular for all endpoint-minimal ideological decompositions.,6,68,562,db93b4d5eaa99361ec736b3b9f73bd856da8f33773868c98a24bbe4046a5dcb5
all_parties/latex/table_accounting_selected_party_geography.tex,latex,Generated selected-party geography appendix table.,17,28,2540,f16639a57edb9a9057df449e5106a89a6f1c67c03410b34142fd53190a28ce5e
all_parties/latex/table_cabinet_district_concentration.tex,latex,Generated cabinet within-district concentration tabular.,2,14,591,cdcfd5a399c1487269188056544971d304db3a0868228b84d60cdd43f47c3832
all_parties/latex/table_coalition_party_component_extremes.tex,latex,Generated appendix table of largest member-party within- and between-district contributions.,8,34,3351,8a03b25697b8923c06cd65c791e6419acaea12c27a26c9f32a026d2fa1a33be5
all_parties/latex/table_coalition_party_contributions.tex,latex,Generated appendix table of focal coalition-party contribution diagnostics.,8,55,2283,9101426b78bb9b68f25c093fa4e288cb60379c7c1687b18a5305ec6d96dd8f8c
all_parties/raw/accounting_all_inversion_decomposition.csv,raw,Exact-audited accounting totals for all registered inversion cases.,16,68,30613,0dde4efc761a0622130f2e8d156624d402758d15f89162eaa7892cbdbbd09a61
all_parties/raw/accounting_focal_case_decomposition.csv,raw,Selected focal cabinet and ideological accounting vectors.,5,68,10198,c6a4954c7d5d019ca9be992c85a4d49938e11b29c765f94a8ea4fc1229f0a0a8
all_parties/raw/accounting_focal_party_contributions.csv,raw,Complete member-party vectors for the selected focal cases.,53,51,63810,45534108f48c23c71becc91c0eb9441fec60a94c3d90b65248e5666384e18a48
all_parties/raw/accounting_focal_party_state_contributions.csv,raw,Complete member-party-by-state cells for the selected focal cases.,1431,54,1001821,50435e06a2b9ad35960a54109038b091ca2d83535a6227e6c3edf1f95ef6bb3f
all_parties/raw/accounting_focal_state_contributions.csv,raw,Complete 27-state vectors for the selected focal cases.,135,50,85179,fb13f34b30ba3f02cebc0428385712fb987c35d5c9bf8ec455519bfa924a1f87
all_parties/raw/accounting_gross_component_concentration.csv,raw,"Gross positive, negative, cancellation, and concentration diagnostics.",30,29,31414,3c94e5ed097949b9d24ad60a56c9a957b16f9dd4ac5b55dedc169d5875feb429
all_parties/raw/accounting_minimal_ideological_decomposition.csv,raw,All primary minimal connected ideological inversion decompositions.,6,68,12105,d312e53b13f467df765607f9ef50202de1f12d3bb268932fbef059d11aa6b704
all_parties/raw/accounting_selected_party_geography.csv,raw,Selected party differentials and state-level accounting geography.,17,28,21607,c1d40ee863e7cb3dfdbc84e61b242928dd72aac411d4eb431b20e4a43770aa70
all_parties/raw/coalition_party_contribution_named_aggregates.csv,raw,Named exact party aggregation used for the PP-PL substantive diagnostic.,1,12,428,5c3d16a3f575f83d7cf40b40b191cdb8e9da945305fafb3ef59eda9c03b26cb7
all_parties/raw/coalition_party_contribution_summary.csv,raw,"Case-level gross, net, concentration, and top-two party contribution diagnostics.",16,53,13162,638a9eea6969cec532437bf7020ef191e02588750c87985813b42cc68173dcf3
all_parties/raw/coalition_party_contributions.csv,raw,Canonical complete case-party contribution vectors for all cabinet and ideological inversions.,198,50,357741,cb78a37a7f45726755bb8c3edd71bbfd8209d9b4eb9bad7fd1d6387d1321a281
all_parties/tables/table_accounting_focal_cases.csv,table,Manuscript table source for selected focal accounting vectors.,5,68,10198,c6a4954c7d5d019ca9be992c85a4d49938e11b29c765f94a8ea4fc1229f0a0a8
all_parties/tables/table_accounting_gross_components.csv,table,Appendix table source for gross focal accounting components.,20,29,27625,2f9fc72bd6cbca91f5ddada9e2ace850db3b8ccebccb0db384d966244c49014b
all_parties/tables/table_accounting_minimal_ideological.csv,table,Manuscript table source for all endpoint-minimal ideological decompositions.,6,68,12105,d312e53b13f467df765607f9ef50202de1f12d3bb268932fbef059d11aa6b704
all_parties/tables/table_accounting_selected_party_geography.csv,table,Appendix table source for selected party state geography.,17,28,21607,c1d40ee863e7cb3dfdbc84e61b242928dd72aac411d4eb431b20e4a43770aa70
all_parties/tables/table_cabinet_district_concentration.csv,table,Exact district concentration for inverted cabinet vectors; shared table/prose source.,2,14,1547,71f9a8959928e30e1831aa809f6f9b571ceae8774c25a1b47198187fb36374ea
all_parties/tables/table_coalition_party_component_extremes.csv,table,Largest signed member-party A_i/B_i contributions for the existing focal appendix cases.,8,34,21334,3448f862ad39aac6f2c6e9dbe5f176dfe676835477e51aa15cdd32e7ed334e54
all_parties/tables/table_coalition_party_contributions.csv,table,Appendix table source for selected focal coalition-party contribution vectors.,8,55,7445,bf58876c47d1e31de449318d7345bbb6ef582154b66cf9935e9f134a91dae99a
artifact_manifest.csv,manifest,Manifest of every generated paper-runner and decomposition artifact.,178,5,23809,bc4087cde193525299698af850bdba907bf4991e0dad9b592df41b2cf2df0d42
diagnostics/audit_appendix_vote_columns_and_crosswalk.csv,diagnostic,Appendix-ready vote-column and crosswalk audit extract.,5,7,843,2e172782c920f177cec57132b4854f5eb5a2a78cf087c0ba91a14165702406d0
diagnostics/cabinet_coalitions_before_coalescing.csv,diagnostic,Translated historical cabinet rows before adjacent equal-party-set coalescing.,53,26,19769,f4352abfac4abd14b17969eb175505da8bd7feafd3372b6fa494fc2f2c7583d3
diagnostics/cabinet_interval_chronology.csv,diagnostic,Temporal cabinet transitions only; analytical comparisons use the distinct-set bridge.,53,91,65146,4237ea0a212eba7989ff790173c63aeaa5ee8047d575a1cf64ae890e5a0b8861
diagnostics/cabinet_interval_chronology_all_parties.csv,diagnostic,Temporal transitions in the all-party ideological universe; analytical comparisons use distinct sets.,53,91,64272,d0deb7ae3e2fbbdf450afd8c535178cb93d46334ff82c98791727a700be5382e
diagnostics/cabinet_period_coalescing.csv,diagnostic,Chronological period counts and unchanged inversion days after adjacent equal-party-set coalescing; source IDs remain in source_periods.,3,7,192,91dd07cab91fd08f417b071520ef31744b13caf0105f6a7abb55e65ba1bb8fba
diagnostics/cabinet_period_party_set_changes.csv,diagnostic,Contemporaneous cabinet release witnesses and party-set changes; pinned release provenance included.,54,12,63370,ad674b519ced909dd668cdc788478bc0d51f2484970f7589027e231488838bd4
diagnostics/cabinet_period_source_spells.csv,diagnostic,Contemporaneous cabinet release witnesses and party-set changes; pinned release provenance included.,3532,19,1729087,58f5743c08c46984734c20a5da3ea8e4606bbe656f083c7ebd1522bd5d5eb327
diagnostics/cabinet_translation_report.csv,diagnostic,Cabinet-party to election-party translation report.,421,12,65612,7d8f6beffa42df44eb4186740e8e42bf5e30729914db11916fb7a318855c1670
diagnostics/coalition_period_linkage.csv,diagnostic,Coalition periods linked to elections by inclusive mandate-window overlap.,159,8,17567,16ebcecc296dcac23da8f707d1b509df00bc58d000577d4d87d2b46a967c919e
diagnostics/decomposition_identity_checks.csv,diagnostic,Exact and floating-point decomposition identity results.,8,10,1074,eacfa383c770ad6375f49521bc2f5d4d13e7213201a95509f87243c5401c9d94
diagnostics/ideological_accounting_both_universes.json,diagnostic,Both-universe exact accounting and domain-relative minimality audit.,1,1,2602,82fd6b77748541208102aa25cde09e1132f4a3373a58232ccd49a4710d579f26
diagnostics/ideology_k_gap_checks.csv,diagnostic,"Both universes: order, domain membership, denominator, minimality, inversion, accounting and nesting checks.",150,6,14717,3f4d8efa7cf13c174e8091ad69ef06419a317e94b6bc839f787f27431bf2d23a
diagnostics/ideology_k_gap_strongest_inversion_ties.csv,diagnostic,Strongest minimal inversion exact ties in seat_winning.,0,10,130,49364c7db0b536cb4a81a994f20a9b740980910ed6e7f7103bc5ec87e427e904
diagnostics/ideology_k_gap_strongest_inversion_ties_all_parties.csv,diagnostic,Strongest minimal inversion exact ties in all_parties.,0,10,130,49364c7db0b536cb4a81a994f20a9b740980910ed6e7f7103bc5ec87e427e904
diagnostics/party_mapping_coalitions.csv,diagnostic,Raw-to-canonical party mapping for coalition inputs.,0,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
diagnostics/party_mapping_ideology.csv,diagnostic,Raw-to-canonical party mapping for ideology inputs.,102,10,6568,e9713b9e09abb4e261872c4a2c0797b0c498759efda59a0beba88bc455b81270
diagnostics/party_mapping_seats.csv,diagnostic,Raw-to-canonical party mapping for seat inputs.,99,7,5285,9923c725471814244e6d537be1224e1403f85ffb96d7cb7d5c96440c681d308e
diagnostics/party_mapping_votes.csv,diagnostic,Raw-to-canonical party mapping for vote inputs.,99,7,5764,6bbdbcd8d35933cdaa79d583cf7a18141fab1742e22aa8e52bdf62e9abbf2ffd
diagnostics/preflight_checks.csv,diagnostic,Required input files and directories for the paper runner.,16,5,2194,103ae9cac93e3741bf54d457f9d5baf3082809c117256768d1828cc1f89e3808
diagnostics/vote_column_consistency.csv,diagnostic,Vote-column selection and consistency checks.,5,12,1363,5a508a1fbe0a74977a50c7735a2d0381a092fbaa56d2460e12022d38094cb86e
figure_data/accounting_district_electoral_weight.csv,figure_data,State-year district electoral weights derived from audited valid votes and seats.,81,12,11866,ab1fa8ab3fa0044a461af3ad686e52f3818112c8d22cc5f319253e684c015ff4
figure_data/accounting_state_weighting_anatomy.csv,figure_data,Seven-case gross positive and negative state-weighting anatomy.,6,25,6139,f955cd6f770f282f1acecbeaff55808d5d5d6e7268a27a23b78e52ed836b110b
figure_data/cabinet_party_set_comparison.csv,figure_data,One observation per shared distinct cabinet party set; Figure 2 point comparison.,35,50,30138,c601f9be57fe6549f5454ddef59ee3a7c5386a7fe4b5b5b1cbe73df0cacd5eaf
figure_data/cross_domain_components_all_parties.csv,figure_data,Exact-audited ideological accounting with explicit party universe and all-valid-vote denominator.,314,46,255213,a48ff1f12125d2a15d6d9db74629939ea080744ea67a2786866a22ba7b8a76ad
figure_data/cross_domain_components_seat_winning.csv,figure_data,Exact-audited ideological accounting with explicit party universe and all-valid-vote denominator.,289,46,227611,65830aafebfa5e3684510d69637ef059c68ed9fe46443e722d9610342b5f7f7a
figure_data/ideological_interval_heatmap.csv,figure_data,Ideological interval heatmap figure input.,1147,15,139188,d29a01a32954f96c1c7b48fc9507929a8e3973ac89337715727c41f423446161
figure_data/inversion_decomposition_components.csv,figure_data,"Long-form A_C, B_C, and d_C values for decomposition visualization.",6,5,469,09033308d79927acbe2d27b0d2274770cb0fdfe0cff7f958ff9b5061323b15e1
figure_data/observed_coalition_timeline.csv,figure_data,Full cabinet chronology for audit and duration reconstruction; Figure 2 uses cabinet_party_set_comparison.csv.,53,22,15037,f2f7f668b2a1ce53433f49c752ee072085cc6fb6f13c72ac0dcd66e466af1f91
