"coalition_id","election_year","cabinet_period","component","seats"
"2014/2016.2",2014,"2016.2","A_C",15.742022264747815
"2014/2016.2",2014,"2016.2","B_C",4.529069893162678
"2014/2016.2",2014,"2016.2","d_C",20.271092157910495
"2014/2017.1",2014,"2017.1","A_C",11.268113712983139
"2014/2017.1",2014,"2017.1","B_C",-1.3162611831263826
"2014/2017.1",2014,"2017.1","d_C",9.951852529856755
"2018/2021.3/2022.1",2018,"2021.3/2022.1","A_C",19.06897840875699
"2018/2021.3/2022.1",2018,"2021.3/2022.1","B_C",-4.44532698497789
"2018/2021.3/2022.1",2018,"2021.3/2022.1","d_C",14.6236514237791
"2022/2023.1",2022,"2023.1","A_C",13.196247377886202
"2022/2023.1",2022,"2023.1","B_C",-0.9919087234670415
"2022/2023.1",2022,"2023.1","d_C",12.20433865441916
