"case_id","source_case_id","case_domain","ideological_universe","k","gap_count","case_order","election_year","case_label","cabinet_period","source_periods","period_start","period_end","period_days","ideology_start_index","ideology_end_index","start_party","end_party","coalition_parties","coalition_party_count","minimal_inversion","minimal_status","observed_coalition","synthetic_ideological_interval","composition_equivalence_group","composition_equivalence_count","compositionally_repeated","v_C","V","vote_share","vote_share_pct","s_C","S","seat_share","q_C","d_C","r_C","R_C","A_C","B_C","A_share_of_d_C","B_share_of_d_C","dominant_absolute_component","component_sign_pattern","A_plus_B_residual","party_d_residual","district_A_residual","district_B_residual","linked_cell_A_residual","linked_cell_B_residual","q_C_exact","d_C_exact","r_C_exact","A_C_exact","B_C_exact","accounting_qualification","interpretation"
"cabinet/C2014-a264923b9881ebab3d9b","C2014-a264923b9881ebab3d9b","cabinet","not_applicable",,,1,2014,"14-05","14-05","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,"2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false,45305141,97355354,0.4653584948188879,46.535849481888796,259,513,0.5048732943469786,238.7289078420895,20.271092157910495,18.271092157910495,1.0849125995722273,15.742022264747815,4.529069893162678,0.7765749443650338,0.22342505563496617,"A_C","A+, B+: reinforcing accounting components",0.0,0.0,0.0,0.0,0.0,0.0,"1223238807//5123966","103868387//5123966","93620455//5123966","156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775","231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650","ex post party accounting contribution; joint electoral lists","accounting identity; B combines district seat weights, valid-vote weights, and coalition vote geography"
"cabinet/C2022-259238bde0cf94feb03e","C2022-259238bde0cf94feb03e","cabinet","not_applicable",,,2,2022,"22-01","22-01","[""lula_3-2023-01-01""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,"2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false,53490123,109413508,0.48888043147286714,48.888043147286716,263,513,0.5126705653021443,250.79566134558084,12.20433865441916,6.20433865441916,1.0486624792029489,13.196247377886202,-0.9919087234670415,1.0812750900769108,-0.08127509007691079,"A_C","A+, B-: B offsets part of A",0.0,0.0,0.0,0.0,0.0,0.0,"27440433099//109413508","1335319505//109413508","678838457//109413508","10497487268074346792160899000840248410623615841056399283426289338360898340882412403622135690913235639511058447948596679249499892666036156185733268203//795490336568383810430275798306058116106485073201320908094873835108126063543250118510510096546683857514751193534681368057738706123762929289374450650","-43166572363286509472550572054050582048605050788637235552479576699515170429576631121182046488300368470720107817100720813128065010845452413539741612395078937//43518694152023777294791732250083138067540916704296655394202871558296815959248952593825322266295683308830544915908204070718169192190992126953202885594690100","accounting attribution; not an independent causal effect","accounting identity; B combines district seat weights, valid-vote weights, and coalition vote geography"
"ideological/2014/05-16","2014/5-16","ideological","seat_winning",0,0,1,2014,"5-16 PSB-PTN",,,,,,5,16,"PSB","PTN","PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",12,true,"endpoint-minimal",false,true,"2014:PHS|PMDB|PMN|PPS|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE",1,false,47627762,97355354,0.4892156419050153,48.921564190501535,260,513,0.50682261208577,250.96762429727286,9.032375702727146,6.032375702727145,1.0359902028320125,10.508783851460613,-1.476408148733468,1.1634573447036416,-0.1634573447036416,"A_C","A+, B-: B offsets part of A",0.0,0.0,0.0,0.0,0.0,0.0,"642974787//2561983","23140793//2561983","15454844//2561983","1403943021819941147185345877176847436867696425702929237711885136510778228177627213415344748292227914382569137203610477334016818982730940970157//133597097596103610565585708215030099750421300076714008066495430526612573692567730405922249874492410532534739810966531384626388634795063115100","-505335373999087021438522188884760099754760523945544776353707624431070578344246413304232425824062096569191446565881948851993770212488811371081467031//342273492890558316507650969489867460048883613634439984528224162586862461386605751648555903500201689413374950305119466976379269033738160184813243300","ex post party accounting contribution; joint electoral lists","accounting identity; B combines district seat weights, valid-vote weights, and coalition vote geography"
"ideological/2014/05-17","2014/5-17","ideological","seat_winning",0,0,2,2014,"5-17 PSB-PRTB",,,,,,5,17,"PSB","PRTB","PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB",13,false,"nonminimal",false,true,"2014:PHS|PMDB|PMN|PPS|PRTB|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE",1,false,48081952,97355354,0.49388092204975187,49.38809220497519,261,513,0.5087719298245614,253.3609130115227,7.639086988477285,3.639086988477285,1.0301510082896246,8.596445795970947,-0.9573588074936628,1.1253237211381062,-0.1253237211381062,"A_C","A+, B-: B offsets part of A",0.0,0.0,0.0,0.0,0.0,0.0,"649106352//2561983","19571211//2561983","9323279//2561983","117142941214362419998874475329947942170861456929741686530868589653462940906333389534429921449284326405531080611273298054043554364876479390551843//13626903954802568277689742237933070174542972607824828822782533913714482516641908501404069487198225874318543460718586201231891640749096437740200","-33423211385020348771403887055045698462942802534270419353855723586186014643020933595914533251783529005474039215318135802394856312152572856082365002469//34911896274836948283780398887966480924986128590712878421878864583859971061433786668152702157020572320164244931122185631590685441441292338850950816600","ex post party accounting contribution; joint electoral lists","accounting identity; B combines district seat weights, valid-vote weights, and coalition vote geography"
"ideological/2014/07-20","2014/7-20","ideological","seat_winning",0,0,3,2014,"7-20 PV-PR",,,,,,7,20,"PV","PR","PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",14,false,"nonminimal",false,true,"2014:PHS|PMDB|PMN|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE",1,false,48195846,97355354,0.4950508012122271,49.50508012122271,265,513,0.5165692007797271,253.96106102187252,11.03893897812749,3.0389389781274896,1.0434670533101007,11.103553161298816,-0.0646141831713266,1.0058532965259934,-0.005853296525993384,"A_C","A+, B-: B offsets part of A",0.0,0.0,0.0,0.0,0.0,0.0,"650643921//2561983","28281574//2561983","7785710//2561983","2480443483378088469856476029184639966561882108835190644829441180084896108610235273342771560686830684168049196118909942168463491994853505683341//223391868111517512749012167834968363517097911603685718406271047765811188797408336088591303068823374988828581323255511495604780995886826848200","-36980387881322443161172975153473894984405558574811915961949501431118581023701530998168417865773164040606487611644581095789314122483779918567958403//572326168439949971865252440786335752868625058864145547899653517768196246908750601117257412410173316724004015264298125108044023630185120309031980600","ex post party accounting contribution; joint electoral lists","accounting identity; B combines district seat weights, valid-vote weights, and coalition vote geography"
"ideological/2014/08-20","2014/8-20","ideological","seat_winning",0,0,4,2014,"8-20 PTB-PR",,,,,,8,20,"PTB","PR","PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",13,true,"endpoint-minimal",false,true,"2014:PHS|PMDB|PMN|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|SOLIDARIEDADE",1,false,46191382,97355354,0.4744616510767348,47.44616510767348,257,513,0.5009746588693957,243.39882700236495,13.601172997635034,13.601172997635034,1.0558801912282958,12.507073279630276,1.0940997180047587,0.9195584293946558,0.08044157060534413,"A_C","A+, B+: reinforcing accounting components",0.0,0.0,0.0,0.0,0.0,0.0,"623583657//2561983","34845974//2561983","34845974//2561983","15493880576109030913827003299966264087181502354767594743742035762602993302349267211241207153390164735860617864416576972562893412635183987679307//1238809450436597116153612930721188197685724782529529892980230355792225683331082591036733589745293261301685769156235109202899240068099676158200","3472463260846408410264528794516856020794098995805106198655437482765740973754454701461270086727161185219355130056595431273788290049432966510463101019//3173808752257904389434581717087861902271466235519352583807169507623633732857616969832063832456415665469476811920198693780971403767390212622813710600","ex post party accounting contribution; joint electoral lists","accounting identity; B combines district seat weights, valid-vote weights, and coalition vote geography"
"ideological/2014/09-23","2014/9-23","ideological","seat_winning",0,0,5,2014,"9-23 PT DO B-PSDC",,,,,,9,23,"PT DO B","PSDC","PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",15,true,"endpoint-minimal",false,true,"2014:PHS|PMDB|PMN|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PT DO B|PTC|PTN|SOLIDARIEDADE",1,false,47550066,97355354,0.4884175758839108,48.84175758839108,257,513,0.5009746588693957,250.55821642844626,6.441783571553754,6.441783571553754,1.0257097279162402,7.153118077830786,-0.7113345062770328,1.1104250862165272,-0.11042508621652736,"A_C","A+, B-: B offsets part of A",0.0,0.0,0.0,0.0,0.0,0.0,"641925891//2561983","16503740//2561983","16503740//2561983","1433453720940618915751225342159070167370870120165152965373014279419599789823925556632176254610129971836920559401337377493709884375768517453601//200395646394155415848378562322545149625631950115071012099743145789918860538851595608883374811738615798802109716449797076939582952192594672650","-365206419115531168879552341635639776928796902678977024454236297731349032903003636843019909099341552533346915324955364392896457951265541248528339783//513410239335837474761476454234801190073325420451659976792336243880293692079908627472833855250302534120062425457679200464568903550607240277219864950","ex post party accounting contribution; joint electoral lists","accounting identity; B combines district seat weights, valid-vote weights, and coalition vote geography"
"ideological/2014/09-24","2014/9-24","ideological","seat_winning",0,0,6,2014,"9-24 PT DO B-PSL",,,,,,9,24,"PT DO B","PSL","PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",16,false,"nonminimal",false,true,"2014:PHS|PMDB|PMN|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PSL|PT DO B|PTC|PTN|SOLIDARIEDADE",1,false,48358776,97355354,0.49672436094269656,49.672436094269656,258,513,0.5029239766081871,254.81959716360336,3.1804028363966506,2.1804028363966506,1.01248099781884,3.857780426893247,-0.6773775904965965,1.212984840393381,-0.2129848403933809,"A_C","A+, B-: B offsets part of A",0.0,0.0,0.0,0.0,0.0,0.0,"652843476//2561983","8148138//2561983","5586155//2561983","5841067039554614312498389080375490307516997680581665602538055786422151615209250736974896859425310855860801300518439310012125787962408136853847//1514100439422507586409971359770341130504774734202758758086948212634942501849100944600452165244247319368727051190954022359099071194344048637800","-2627615130924017320062189135851251946094406075492259043786185742462328134456912158332318075792105318084362400869174972945771274857954157901723082201//3879099586092994253753377654218497880554014287856986491319873842651107895714865185350300239668952480018249436791353959065631715715699148761216757400","ex post party accounting contribution; joint electoral lists","accounting identity; B combines district seat weights, valid-vote weights, and coalition vote geography"
"ideological/2014/10-24","2014/10-24","ideological","seat_winning",0,0,7,2014,"10-24 SOLIDARIEDADE-PSL",,,,,,10,24,"SOLIDARIEDADE","PSL","SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",15,true,"endpoint-minimal",false,true,"2014:PHS|PMDB|PMN|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PSL|PTC|PTN|SOLIDARIEDADE",1,false,47546279,97355354,0.48837867715010314,48.83786771501031,257,513,0.5009746588693957,250.5382613780029,6.461738621997101,6.461738621997101,1.0257914243774842,7.472745651139492,-1.0110070291423905,1.1564605268465538,-0.15646052684655373,"A_C","A+, B-: B offsets part of A",0.0,0.0,0.0,0.0,0.0,0.0,"1283749533//5123966","33109729//5123966","33109729//5123966","11314487474082937456016213248849387196325164857241375400156436957954901045409862267095973701699714374852292271464119624963282005947934735693723//1514100439422507586409971359770341130504774734202758758086948212634942501849100944600452165244247319368727051190954022359099071194344048637800","-3921796948283355009137668758048151023119372508699643905501281948163510161619429575958851757851615556589698440571652123237448657746288786376622954609//3879099586092994253753377654218497880554014287856986491319873842651107895714865185350300239668952480018249436791353959065631715715699148761216757400","ex post party accounting contribution; joint electoral lists","accounting identity; B combines district seat weights, valid-vote weights, and coalition vote geography"
"ideological/2018/03-16","2018/3-16","ideological","seat_winning",0,0,8,2018,"3-16 PT-PSDB",,,,,,3,16,"PT","PSDB","PT, PDT, PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PHS, MDB, PSD, PSDB",14,true,"endpoint-minimal",false,true,"2018:AVANTE|MDB|PDT|PHS|PMN|PPS|PSB|PSD|PSDB|PT|PTB|PV|REDE|SOLIDARIEDADE",1,false,49083988,98264190,0.4995104320302238,49.95104320302238,267,513,0.52046783625731,256.2488516315048,10.751148368495176,0.7511483684951761,1.0419558889729417,6.567768298801865,4.183380069693311,0.6108899322836846,0.38911006771631534,"A_C","A+, B+: reinforcing accounting components",0.0,0.0,0.0,0.0,0.0,0.0,"4196680974//16377365","176075481//16377365","12301831//16377365","302450908818231149991672699167352328703189911406390417697464864277381175593711589616762450273966396380351772891897130555544534183573184123314572239633//46050788495904495703378504905612593413542337879733272867072417682984097342872291907105030872349873961718693420331066661872312427242356901182768873360","631013161309552082650286564303534362834956242523687393728036669683639539633950862246399372387551197368658943525724578434285232225924090869939547780270595823//150838114347045786255032301598701598186035762081943582477728293165336970275949934589841036786548458715012613893572059912162888802996804486187827509931099280","ex post party accounting contribution; joint electoral lists","accounting identity; B combines district seat weights, valid-vote weights, and coalition vote geography"
