election,domain,ideological_universe,k,gap_count,case_identifier,case,case_order,cabinet_period,source_periods,period_start,period_end,period_days,coalition_start_party,coalition_end_party,minimal_ideological_inversion,coalition_parties,coalition_party_count,party_order,party,party_vote_total,national_vote_total,party_vote_share,party_seats,chamber_seats,party_quota_q_i,party_differential_d_i,coalition_vote_total,coalition_vote_share,coalition_seats,coalition_quota_q_C,coalition_differential_d_C,contribution_sign,rank_among_positive_contributors,rank_among_negative_contributors,A_i,B_i,A_C,B_C,party_quota_q_i_exact,party_differential_d_i_exact,coalition_quota_q_C_exact,coalition_differential_d_C_exact,A_i_exact,B_i_exact,A_C_exact,B_C_exact,contribution_vector_group,contribution_vector_repeated,accounting_qualification
2014,cabinet,not_applicable,,,cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,1,PCdoB,1913015,97355354,0.01964981812916011,10,513,10.080356700259134,-0.0803567002591352,45305141,0.4653584948188879,259,238.7289078420895,20.271092157910495,negative,,2,-0.5688758702547635,0.4885191699956283,15.742022264747815,4.529069893162678,51651405//5123966,-411745//5123966,1223238807//5123966,103868387//5123966,-78303200466327161423989624153050023739930160089457542306947291059794163952175357751014164998183608869845176690019358237411248969214991066417//137645494492955235128179214524576466409524975836614432553358928421358409259009176781859287749477029033520641017359456578099915563122186239800,172274046375321333362591133914292690390402560748545297846338355599818522434510712829993197267337227143489077143979530750782709001127458170658999411//352645416917544932159397968565317989141274026168816953756352167513737081428624107759118203606268407274386312435577632642330155974154468069201523400,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,false,accounting attribution; not an independent causal effect
2014,cabinet,not_applicable,,,cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,2,PDT,3528346,97355354,0.03624193077249763,20,513,18.592110486291283,1.407889513708717,45305141,0.4653584948188879,259,238.7289078420895,20.271092157910495,positive,5,,-0.15563789039051862,1.5635274040992357,15.742022264747815,4.529069893162678,47632671//2561983,3606989//2561983,1223238807//5123966,103868387//5123966,-2120862584079686717877215341699272910232760173779641157555877069287986379963583074395025952422716618733747506992710838557394961820388486160319//13626903954802568277689742237933070174542972607824828822782533913714482516641908501404069487198225874318543460718586201231891640749096437740200,54585706554777588965903067457832695164181439832025957882418027820500730787917921359258754970225450339195711398041578815695010013843426965806558810377//34911896274836948283780398887966480924986128590712878421878864583859971061433786668152702157020572320164244931122185631590685441441292338850950816600,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,false,accounting attribution; not an independent causal effect
2014,cabinet,not_applicable,,,cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,3,PMDB,10791949,97355354,0.11085110943153675,65,513,56.86661913837836,8.133380861621642,45305141,0.4653584948188879,259,238.7289078420895,20.271092157910495,positive,1,,3.9086952162479633,4.224685645373679,15.742022264747815,4.529069893162678,291382623//5123966,41675167//5123966,1223238807//5123966,103868387//5123966,1183158165631686216544067255830149040749674192654009893964425573012712486817105396842347796764954889674007591813996908847862935404232088757//302699008281189041665328140697789110456772237945373602176519034913023291053398829388335099009245765567518402877039988476429242541852068900,3276284753766903786866035126396436124666742111550292643880336206515709889656852930263337816186656488922906615638561750195857696471853990901578019//775509713333265544532862385889343838575372708488002097425004766623572150282859893112814921965004494205967500358127540796807620095101789036628700,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,false,accounting attribution; not an independent causal effect
2014,cabinet,not_applicable,,,cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,4,PR,5635519,97355354,0.05788607167922167,34,513,29.695554771440715,4.304445228559284,45305141,0.4653584948188879,259,238.7289078420895,20.271092157910495,positive,4,,5.0428381901786,-0.7383929616193156,15.742022264747815,4.529069893162678,152159013//5123966,22055831//5123966,1223238807//5123966,103868387//5123966,9816895953882026159527461959986922936440415183207278138032845694655528726270359153695031642984978682434598029379102761438611264936347502277781//1946700564971795468241391748276152882077567515403546974683219130530640359520272643057724212456889410616934780102655171604555948678442348248600,-3682671212303314719215643772246492136837545206903667628824624271855283407037126311058814016510960826631479139119599271965735187327219494821002406423//4987413753548135469111485555423782989283732655816125488839837797694281580204826666878957451002938902880606418731740804512955063063041762692992973800,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,false,accounting attribution; not an independent causal effect
2014,cabinet,not_applicable,,,cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,5,PSD,5967953,97355354,0.061300716959028265,36,513,31.4472677999815,4.552732200018501,45305141,0.4653584948188879,259,238.7289078420895,20.271092157910495,positive,2,,4.645941310001025,-0.09320910998252392,15.742022264747815,4.529069893162678,161134731//5123966,23328045//5123966,1223238807//5123966,103868387//5123966,21103265337011198466142554182088011234328362409810590661602192615974560104308636776646597675962152499198463544639119365927723160924444107637319//4542301318267522759229914079311023391514324202608276274260844637904827505547302833801356495732741958106181153572862067077297213583032145913400,-1084702259859914796963498896937827949508894340256273345788907519326090536394339107170597556906687160309422863135346410691502028574897520059800792077//11637298758278982761260132962655493641662042863570959473959621527953323687144595556050900719006857440054748310374061877196895147147097446283650272200,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,false,accounting attribution; not an independent causal effect
2014,cabinet,not_applicable,,,cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,6,PT,13554166,97355354,0.13922363222057618,69,513,71.42172332915558,-2.4217233291555798,45305141,0.4653584948188879,259,238.7289078420895,20.271092157910495,negative,,1,-1.215411226585322,-1.2063121025702577,15.742022264747815,4.529069893162678,182981241//2561983,-6204414//2561983,1223238807//5123966,103868387//5123966,-188207864207579163962835372191020634738137514106631233550137823712428601277137747468036878085587033610952490564733015370472595486126351987746//154851181304574639519201616340148524710715597816191236622528794474028210416385323879591698718161657662710721144529388650362405008512459519775,-478575488636514868250890921891378649946192042305696927553647615829544299916561735201669524782397717934040781584707777435860119107152373374303826532//396726094032238048679322714635982737783933279439919072975896188452954216607202121229007979057051958183684601490024836722621425470923776577851713825,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,false,accounting attribution; not an independent causal effect
2014,cabinet,not_applicable,,,cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,7,PTB,3914193,97355354,0.040205215626867324,25,513,20.625275616582936,4.374724383417064,45305141,0.4653584948188879,259,238.7289078420895,20.271092157910495,positive,3,,4.084472535550831,0.2902518478662325,15.742022264747815,4.529069893162678,105683211//5123966,22415939//5123966,1223238807//5123966,103868387//5123966,302493016021630978982671373632362711868895002516952268738118210768108389498533601134512467091284611543648967128930561573780663607155750771143//74059260623927001509183381727897120513820503303395808819470293009317839764358198377196029821729488447383388373470577180608106743201611074675,110143939198757205428839916960733416429434608531441094715927484452373855664384526902321887574207841664885919889267862510344691880592554895828731687//379477133422140742215004335738766097010718789029487808933465919389782294146019420306007632141527960001785270990458539473811798276535786291858161050,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,false,accounting attribution; not an independent causal effect
2014,cabinet,not_applicable,,,cabinet/2014/2017.1,Cabinet 2014/2017.1,2,2017.1,"[""2017.1""]",2017-12-28,2018-04-06,100,,,,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV",8,1,DEM,4085487,97355354,0.0419646874274629,21,513,21.527884650288467,-0.527884650288468,48591926,0.49911919584823244,266,256.04814747014325,9.951852529856755,negative,,3,-0.249641001967012,-0.278243648321456,11.268113712983139,-1.3162611831263826,110308149//5123966,-2704863//5123966,655991001//2561983,25496477//2561983,-1700916978492575772988274816182777534958735586439357342206722608802101600234084584300609744847499200003430172878750843755056046379966567377361//6813451977401284138844871118966535087271486303912414411391266956857241258320954250702034743599112937159271730359293100615945820374548218870100,-4857006694665440053216358036342188560535020855277058449360702447896239416780374913168099845404233165349331560594993584069564774895194923279664181287//17455948137418474141890199443983240462493064295356439210939432291929985530716893334076351078510286160082122465561092815795342720720646169425475408300,15354950331861497703533097637204554465480962876193159307979269023447224076144746179259302959521993105606395253884051020032546184469822042498751//1362690395480256827768974223793307017454297260782482882278253391371448251664190850140406948719822587431854346071858620123189164074909643774020,-4595317389590243307686223473319330938674225051734402052433456397224260675027291516361954235469898418144025929760439029233413082841388076344583455693//3491189627483694828378039888796648092498612859071287842187886458385997106143378666815270215702057232016424493112218563159068544144129233885095081660,2014:DEM|PMDB|PP|PPS|PSB|PSD|PSDB|PV,false,accounting attribution; not an independent causal effect
2014,cabinet,not_applicable,,,cabinet/2014/2017.1,Cabinet 2014/2017.1,2,2017.1,"[""2017.1""]",2017-12-28,2018-04-06,100,,,,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV",8,2,PMDB,10791949,97355354,0.11085110943153675,65,513,56.86661913837836,8.133380861621642,48591926,0.49911919584823244,266,256.04814747014325,9.951852529856755,positive,1,,3.9086952162479633,4.224685645373679,11.268113712983139,-1.3162611831263826,291382623//5123966,41675167//5123966,655991001//2561983,25496477//2561983,1183158165631686216544067255830149040749674192654009893964425573012712486817105396842347796764954889674007591813996908847862935404232088757//302699008281189041665328140697789110456772237945373602176519034913023291053398829388335099009245765567518402877039988476429242541852068900,3276284753766903786866035126396436124666742111550292643880336206515709889656852930263337816186656488922906615638561750195857696471853990901578019//775509713333265544532862385889343838575372708488002097425004766623572150282859893112814921965004494205967500358127540796807620095101789036628700,15354950331861497703533097637204554465480962876193159307979269023447224076144746179259302959521993105606395253884051020032546184469822042498751//1362690395480256827768974223793307017454297260782482882278253391371448251664190850140406948719822587431854346071858620123189164074909643774020,-4595317389590243307686223473319330938674225051734402052433456397224260675027291516361954235469898418144025929760439029233413082841388076344583455693//3491189627483694828378039888796648092498612859071287842187886458385997106143378666815270215702057232016424493112218563159068544144129233885095081660,2014:DEM|PMDB|PP|PPS|PSB|PSD|PSDB|PV,false,accounting attribution; not an independent causal effect
2014,cabinet,not_applicable,,,cabinet/2014/2017.1,Cabinet 2014/2017.1,2,2017.1,"[""2017.1""]",2017-12-28,2018-04-06,100,,,,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV",8,3,PP,6429791,97355354,0.06604455467338756,38,513,33.88085654744782,4.1191434525521835,48591926,0.49911919584823244,266,256.04814747014325,9.951852529856755,positive,3,,2.644600533192068,1.4745429193601152,11.268113712983139,-1.3162611831263826,173604357//5123966,21106351//5123966,655991001//2561983,25496477//2561983,360377174646279733698175424864244584148543926331827676849413507044604154725654198779967810863183220048463183325176173195832890693412411550145//136269039548025682776897422379330701745429726078248288227825339137144825166419085014040694871982258743185434607185862012318916407490964377402,257395447267478008936336637173366267813518604102643025612566911121325911380770794774846572573644036876911734324210567601002575010350425679248201258//174559481374184741418901994439832404624930642953564392109394322919299855307168933340763510785102861600821224655610928157953427207206461694254754083,15354950331861497703533097637204554465480962876193159307979269023447224076144746179259302959521993105606395253884051020032546184469822042498751//1362690395480256827768974223793307017454297260782482882278253391371448251664190850140406948719822587431854346071858620123189164074909643774020,-4595317389590243307686223473319330938674225051734402052433456397224260675027291516361954235469898418144025929760439029233413082841388076344583455693//3491189627483694828378039888796648092498612859071287842187886458385997106143378666815270215702057232016424493112218563159068544144129233885095081660,2014:DEM|PMDB|PP|PPS|PSB|PSD|PSDB|PV,false,accounting attribution; not an independent causal effect
