"coalition_id","election_year","coalition_year","cabinet_period","source_periods","period_start","period_end","period_days","days_overlapping_mandate","coalition_parties","coalition_party_count","v_C","V","vote_share","s_C","S","seat_share","q_C","d_C","r_C","R_C","vote_majority","seat_majority","majority_status","coalition_inversion"
"2014/2015.1",2014,2015,"2015.1","[""dilma_2-2015-01-01""]",2015-01-01,2015-03-18,77,77,"PCdoB, PDT, PMDB, PP, PR, PRB, PROS, PSD, PT, PTB",10,58136873,97355354,0.5971615387480385,329,513,0.6413255360623782,306.3438693777437,22.656130622256274,-49.34386937774372,1.0739565334481027,true,true,"votes+seats",false
"2014/2015.2",2014,2015,"2015.2","[""dilma_2-2015-03-19""]",2015-03-19,2016-03-17,365,365,"PCdoB, PDT, PMDB, PP, PR, PRB, PSD, PT, PTB",9,56159756,97355354,0.5768532873908506,318,513,0.6198830409356725,295.9257364315064,22.074263568493624,-38.92573643150638,1.0745939296618185,true,true,"votes+seats",false
"2014/2016.1",2014,2016,"2016.1","[""dilma_2-2016-03-18""]",2016-03-18,2016-03-30,13,13,"PCdoB, PDT, PMDB, PP, PR, PROS, PSD, PT, PTB",9,53712049,97355354,0.5517113008494633,308,513,0.6003898635477583,283.0278973357747,24.97210266422533,-26.02789733577467,1.0882319478019484,true,true,"votes+seats",false
"2014/2016.2",2014,2016,"2016.2","[""dilma_2-2016-03-31""]",2016-03-31,2016-04-13,14,14,"PCdoB, PDT, PMDB, PP, PR, PSD, PT, PTB",8,51734932,97355354,0.5314030494922755,297,513,0.5789473684210527,272.6097643895373,24.39023561046268,-15.609764389537323,1.0894694130457154,true,true,"votes+seats",false
"2014/2016.3",2014,2016,"2016.3","[""dilma_2-2016-04-14""]",2016-04-14,2016-04-18,5,5,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,45305141,97355354,0.4653584948188879,259,513,0.5048732943469786,238.7289078420895,20.271092157910495,18.271092157910495,1.0849125995722273,false,true,"seats_only",true
"2014/2016.4",2014,2016,"2016.4","[""dilma_2-2016-04-19""]",2016-04-19,2016-05-11,23,23,"PCdoB, PDT, PMDB, PR, PT, PTB",6,39337188,97355354,0.4040577778598597,223,513,0.4346978557504873,207.281640042108,15.718359957891993,49.71835995789199,1.0758309320338209,false,false,"neither",false
"2014/2016.5",2014,2016,"2016.5","[""temer-2016-05-12""]",2016-05-12,2016-10-09,151,151,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",11,62566462,97355354,0.6426607210528966,346,513,0.6744639376218323,329.68494990013596,16.31505009986405,-72.68494990013595,1.0494867906612237,true,true,"votes+seats",false
"2014/2016.6",2014,2016,"2016.6","[""temer-2016-10-10""]",2016-10-10,2016-10-10,1,1,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",10,56298584,97355354,0.578279279843202,312,513,0.6081871345029239,296.6572705595627,15.342729440437349,-39.657270559562654,1.0517187035783666,true,true,"votes+seats",false
"2014/2016.7",2014,2016,"2016.7","[""temer-2016-10-11""]",2016-10-11,2016-10-24,14,14,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",11,62566462,97355354,0.6426607210528966,346,513,0.6744639376218323,329.68494990013596,16.31505009986405,-72.68494990013595,1.0494867906612237,true,true,"votes+seats",false
"2014/2016.8",2014,2016,"2016.8","[""temer-2016-10-25""]",2016-10-25,2016-10-25,1,1,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",10,56298584,97355354,0.578279279843202,312,513,0.6081871345029239,296.6572705595627,15.342729440437349,-39.657270559562654,1.0517187035783666,true,true,"votes+seats",false
"2014/2016.9",2014,2016,"2016.9","[""temer-2016-10-26""]",2016-10-26,2017-04-25,182,182,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",11,62566462,97355354,0.6426607210528966,346,513,0.6744639376218323,329.68494990013596,16.31505009986405,-72.68494990013595,1.0494867906612237,true,true,"votes+seats",false
"2014/2017.1",2014,2017,"2017.1","[""temer-2017-04-26""]",2017-04-26,2017-04-26,1,1,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",10,56298584,97355354,0.578279279843202,312,513,0.6081871345029239,296.6572705595627,15.342729440437349,-39.657270559562654,1.0517187035783666,true,true,"votes+seats",false
"2014/2017.2",2014,2017,"2017.2","[""temer-2017-04-27""]",2017-04-27,2017-08-01,97,97,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",11,62566462,97355354,0.6426607210528966,346,513,0.6744639376218323,329.68494990013596,16.31505009986405,-72.68494990013595,1.0494867906612237,true,true,"votes+seats",false
"2014/2017.3",2014,2017,"2017.3","[""temer-2017-08-02""]",2017-08-02,2017-08-02,1,1,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",10,56298584,97355354,0.578279279843202,312,513,0.6081871345029239,296.6572705595627,15.342729440437349,-39.657270559562654,1.0517187035783666,true,true,"votes+seats",false
"2014/2017.4",2014,2017,"2017.4","[""temer-2017-08-03""]",2017-08-03,2017-10-17,76,76,"DEM, PMDB, PP, PPS, PR, PRB, PSB, PSD, PSDB, PTB, PV",11,62566462,97355354,0.6426607210528966,346,513,0.6744639376218323,329.68494990013596,16.31505009986405,-72.68494990013595,1.0494867906612237,true,true,"votes+seats",false
"2014/2017.5",2014,2017,"2017.5","[""temer-2017-10-18""]",2017-10-18,2018-03-20,154,154,"DEM, PMDB, PP, PPS, PR, PRB, PSD, PSDB, PTB, PV",10,56298584,97355354,0.578279279843202,312,513,0.6081871345029239,296.6572705595627,15.342729440437349,-39.657270559562654,1.0517187035783666,true,true,"votes+seats",false
"2014/2018.1",2014,2018,"2018.1","[""temer-2018-03-21""]",2018-03-21,2018-04-01,12,12,"DEM, PMDB, PP, PR, PRB, PSD, PSDB, PTB, PV",9,54342895,97355354,0.5581911293753808,302,513,0.5886939571150097,286.35204936957035,15.647950630429632,-29.352049369570366,1.0546458482308054,true,true,"votes+seats",false
"2014/2018.2",2014,2018,"2018.2","[""temer-2018-04-02""]",2018-04-02,2018-04-05,4,4,"DEM, PMDB, PP, PRB, PSD, PSDB, PTB, PV",8,48707376,97355354,0.5003050576961592,268,513,0.5224171539961013,256.65649459812965,11.343505401870349,0.34350540187034806,1.0441972271912772,true,true,"votes+seats",false
"2014/2018.3",2014,2018,"2018.3","[""temer-2018-04-06"",""temer-2018-05-15""]",2018-04-06,2018-07-04,90,90,"PMDB, PP, PRB, PSD, PSDB, PTB, PV",7,44621889,97355354,0.4583403702686963,247,513,0.48148148148148145,235.12860994784117,11.871390052158816,21.871390052158816,1.0504889220192823,false,false,"neither",false
"2014/2018.4",2014,2018,"2018.4","[""temer-2018-07-05""]",2018-07-05,2018-12-31,180,180,"PMDB, PP, PRB, PSD, PSDB, PV",6,40707696,97355354,0.41813515464182893,222,513,0.4327485380116959,214.50333433125826,7.496665668741752,42.496665668741755,1.0349489470273903,false,false,"neither",false
"2018/2019.1",2018,2019,"2019.1","[""bolsonaro-2019-01-01""]",2019-01-01,2020-02-10,406,406,"DEM, MDB, NOVO, PP, PSL",5,29612726,98264190,0.3013582669332541,160,513,0.31189083820662766,154.59679093675936,5.403209063240637,102.40320906324064,1.0349503313134807,false,false,"neither",false
