"case_id","source_case_id","case_domain","ideological_universe","k","gap_count","case_order","election_year","case_label","cabinet_period","source_periods","period_start","period_end","period_days","ideology_start_index","ideology_end_index","start_party","end_party","coalition_parties","coalition_party_count","minimal_inversion","minimal_status","observed_coalition","synthetic_ideological_interval","v_C","V","vote_share","s_C","S","seat_share","q_C","d_C","r_C","R_C","source_registry","composition_equivalence_group","composition_equivalence_count","compositionally_repeated"
"cabinet/2014/2016.2","2014/2016.2","cabinet","not_applicable",,,1,2014,"2016.2","2016.2","[""2016.2""]",2016-04-14,2016-04-15,2,,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,,"not applicable",true,false,45305141,97355354,0.4653584948188879,259,513,0.5048732943469786,238.7289078420895,20.271092157910495,18.271092157910495,1.0849125995722273,"PSC-correct observed cabinet reconstruction","2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB",1,false
"cabinet/2014/2017.1","2014/2017.1","cabinet","not_applicable",,,2,2014,"2017.1","2017.1","[""2017.1""]",2017-12-28,2018-04-06,100,,,,,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV",8,,"not applicable",true,false,48591926,97355354,0.49911919584823244,266,513,0.5185185185185185,256.04814747014325,9.951852529856755,0.9518525298567555,1.0388671139712784,"PSC-correct observed cabinet reconstruction","2014:DEM|PMDB|PP|PPS|PSB|PSD|PSDB|PV",1,false
"cabinet/2018/2021.3/2022.1","2018/2021.3/2022.1","cabinet","not_applicable",,,3,2018,"2021.3/2022.1","2021.3/2022.1","[""2021.3"",""2022.1""]",2021-08-04,2022-03-29,238,,,,,"DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL",9,,"not applicable",true,false,46426736,98264190,0.47246851574312065,257,513,0.5009746588693957,242.3763485762209,14.6236514237791,14.6236514237791,1.0603344819314346,"PSC-correct observed cabinet reconstruction","2018:DEM|PATRIOTA|PP|PR|PRB|PSC|PSD|PSDB|PSL",1,false
"cabinet/2022/2023.1","2022/2023.1","cabinet","not_applicable",,,4,2022,"2023.1","2023.1","[""2023.1""]",2023-01-01,2023-09-12,255,,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,,"not applicable",true,false,53490123,109413508,0.48888043147286714,263,513,0.5126705653021443,250.79566134558084,12.20433865441916,6.20433865441916,1.0486624792029489,"PSC-correct observed cabinet reconstruction","2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO",1,false
"ideological/2014/05-16","2014/5-16","ideological","seat_winning",0,0,1,2014,"5-16 PSB-PTN",,,,,,5,16,"PSB","PTN","PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",12,true,"endpoint-minimal",false,true,47627762,97355354,0.4892156419050153,260,513,0.50682261208577,250.96762429727286,9.032375702727137,6.032375702727137,1.0359902028320125,"validated contiguous ideological intervals","2014:PHS|PMDB|PMN|PPS|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE",1,false
"ideological/2014/05-17","2014/5-17","ideological","seat_winning",0,0,2,2014,"5-17 PSB-PRTB",,,,,,5,17,"PSB","PRTB","PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB",13,false,"nonminimal",false,true,48081952,97355354,0.49388092204975187,261,513,0.5087719298245614,253.3609130115227,7.639086988477288,3.6390869884772883,1.0301510082896246,"validated contiguous ideological intervals","2014:PHS|PMDB|PMN|PPS|PRTB|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE",1,false
"ideological/2014/07-20","2014/7-20","ideological","seat_winning",0,0,3,2014,"7-20 PV-PR",,,,,,7,20,"PV","PR","PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",14,false,"nonminimal",false,true,48195846,97355354,0.4950508012122271,265,513,0.5165692007797271,253.9610610218725,11.038938978127504,3.0389389781275042,1.043467053310101,"validated contiguous ideological intervals","2014:PHS|PMDB|PMN|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE",1,false
"ideological/2014/08-20","2014/8-20","ideological","seat_winning",0,0,4,2014,"8-20 PTB-PR",,,,,,8,20,"PTB","PR","PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR",13,true,"endpoint-minimal",false,true,46191382,97355354,0.4744616510767348,257,513,0.5009746588693957,243.39882700236495,13.601172997635047,13.601172997635047,1.0558801912282958,"validated contiguous ideological intervals","2014:PHS|PMDB|PMN|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|SOLIDARIEDADE",1,false
"ideological/2014/09-23","2014/9-23","ideological","seat_winning",0,0,5,2014,"9-23 PT DO B-PSDC",,,,,,9,23,"PT DO B","PSDC","PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",15,true,"endpoint-minimal",false,true,47550066,97355354,0.4884175758839108,257,513,0.5009746588693957,250.55821642844626,6.441783571553742,6.441783571553742,1.0257097279162402,"validated contiguous ideological intervals","2014:PHS|PMDB|PMN|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PT DO B|PTC|PTN|SOLIDARIEDADE",1,false
"ideological/2014/09-24","2014/9-24","ideological","seat_winning",0,0,6,2014,"9-24 PT DO B-PSL",,,,,,9,24,"PT DO B","PSL","PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL",16,false,"nonminimal",false,true,48358776,97355354,0.49672436094269656,258,513,0.5029239766081871,254.81959716360333,3.1804028363966665,2.1804028363966665,1.0124809978188403,"validated contiguous ideological intervals","2014:PHS|PMDB|PMN|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PSL|PT DO B|PTC|PTN|SOLIDARIEDADE",1,false
