"coalition_id","election_year","cabinet_period","source_periods","coalition_parties","party","v_i","V","vote_share","s_i","S","seat_share","q_i","R_i","d_i","A_i","B_i","q_times_R_minus_1","accounting_qualification"
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PMDB",10791949,97355354,0.11085110943153675,65,513,0.1267056530214425,56.86661913837836,1.1430255743150477,8.133380861621642,3.9086952162479633,4.224685645373679,8.133380861621642,"ex post party accounting contribution; joint electoral lists"
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PSD",5967953,97355354,0.061300716959028265,36,513,0.07017543859649122,31.4472677999815,1.1447735373697927,4.552732200018501,4.645941310001025,-0.09320910998252392,4.552732200018501,"ex post party accounting contribution; joint electoral lists"
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PTB",3914193,97355354,0.040205215626867324,25,513,0.04873294346978557,20.625275616582936,1.2121050144852241,4.374724383417064,4.084472535550831,0.2902518478662325,4.374724383417064,"ex post party accounting contribution; joint electoral lists"
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PR",5635519,97355354,0.05788607167922167,34,513,0.06627680311890838,29.695554771440715,1.1449525109629883,4.304445228559284,5.0428381901786,-0.7383929616193156,4.304445228559284,"ex post party accounting contribution; joint electoral lists"
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PDT",3528346,97355354,0.03624193077249763,20,513,0.03898635477582846,18.592110486291283,1.075725104729063,1.407889513708717,-0.15563789039051862,1.5635274040992357,1.407889513708717,"ex post party accounting contribution; joint electoral lists"
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PCdoB",1913015,97355354,0.01964981812916011,10,513,0.01949317738791423,10.080356700259134,0.9920283872239294,-0.0803567002591352,-0.5688758702547635,0.4885191699956283,-0.0803567002591352,"ex post party accounting contribution; joint electoral lists"
"2014/2016.3",2014,"2016.3","[""dilma_2-2016-04-14""]","PCdoB, PDT, PMDB, PR, PSD, PT, PTB","PT",13554166,97355354,0.13922363222057618,69,513,0.13450292397660818,71.42172332915558,0.9660926225765405,-2.4217233291555798,-1.215411226585322,-1.2063121025702577,-2.4217233291555798,"ex post party accounting contribution; joint electoral lists"
"2022/2023.1",2022,"2023.1","[""lula_3-2023-01-01""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","UNIÃO",10215433,109413508,0.09336537313107629,59,513,0.11500974658869395,47.89643641624213,1.231824419822443,11.103563583757866,9.356662317791708,1.7469012659661585,11.103563583757866,"accounting attribution; not an independent causal effect"
"2022/2023.1",2022,"2023.1","[""lula_3-2023-01-01""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","PT",13236698,109413508,0.1209786455251942,69,513,0.13450292397660818,62.062045154424624,1.111790625467017,6.937954845575375,9.068253408506147,-2.130298562930772,6.937954845575375,"accounting attribution; not an independent causal effect"
"2022/2023.1",2022,"2023.1","[""lula_3-2023-01-01""]","MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","MDB",7950895,109413508,0.0726683125816604,42,513,0.08187134502923976,37.27884435439178,1.1266443669961037,4.721155645608219,5.119561127195656,-0.3984054815874375,4.721155645608219,"accounting attribution; not an independent causal effect"
