summary,metric,aggregation,value,source_file,source_filter,source_row_count,selection,result_status,ideological_universe,k,election
strongest-cabinet-inversion-within-adjusted-quota,within_adjusted_quota,identity,254.47093010683733,processing/Processing/output/decomposition/raw/accounting_all_inversion_decomposition.csv,case_domain=cabinet,1,lowest_vote_share,computed,not_applicable,not_applicable,all
seat-winning-k0-totals,minimal_inversions,sum,7,processing/Processing/output/paper/tables/ideological_universe_comparison.csv,ideological_universe=seat_winning; k=0,3,all_matching_rows,computed,seat_winning,0,all
seat-winning-k0-totals,minimal_seat_majority_coalitions,sum,20,processing/Processing/output/paper/tables/ideological_universe_comparison.csv,ideological_universe=seat_winning; k=0,3,all_matching_rows,computed,seat_winning,0,all
all-parties-k0-totals,minimal_inversions,sum,6,processing/Processing/output/paper/tables/ideological_universe_comparison.csv,ideological_universe=all_parties; k=0,3,all_matching_rows,computed,all_parties,0,all
seat-winning-k1-surviving-connected,count,sum,6,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=1; gap_count=0; minimal_seat_majority=true,6,all_matching_rows,computed,seat_winning,1,all
seat-winning-k0-all-inversions,count,sum,12,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; inversion=true,12,all_matching_rows,computed,seat_winning,0,all
seat-winning-k1-negative-within,A_C,count_negative,3,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=1; minimal_inversion=true,100,all_matching_rows,computed,seat_winning,1,all
seat-winning-2014-k1-negative-within,A_C,count_negative,2,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=1; minimal_inversion=true; election=2014,46,all_matching_rows,computed,seat_winning,1,2014
seat-winning-2022-k1-negative-within,A_C,count_negative,1,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=1; minimal_inversion=true; election=2022,12,all_matching_rows,computed,seat_winning,1,2022
all-parties-k0-positive-within,A_C,count_positive,5,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=all_parties; k=0; minimal_inversion=true,6,all_matching_rows,computed,all_parties,0,all
seat-winning-2014-k1-pt-membership,includes_PT,sum,7,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,election=2014; ideological_universe=seat_winning; k=1; minimal_inversion=true,46,all_matching_rows,computed,seat_winning,1,2014
seat-winning-2022-k1-mdb-uniao-gapped,count,sum,3,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,election=2022; ideological_universe=seat_winning; k=1; minimal_inversion=true; left_endpoint=MDB; right_endpoint=UNIÃO; gap_count=1,3,all_matching_rows,computed,seat_winning,1,2022
cabinet-party-sets,count,sum,34,processing/Processing/output/decomposition/raw/cabinet_party_set_accounting.csv,all rows,34,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-party-sets,d_C,count_positive,32,processing/Processing/output/decomposition/raw/cabinet_party_set_accounting.csv,all rows,34,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-party-sets,d_C,count_negative,2,processing/Processing/output/decomposition/raw/cabinet_party_set_accounting.csv,all rows,34,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-inversions,count,sum,2,processing/Processing/output/decomposition/raw/accounting_all_inversion_decomposition.csv,case_domain=cabinet,2,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-inversions,numerical_vector_group,unique_count,2,processing/Processing/output/decomposition/raw/accounting_all_inversion_decomposition.csv,case_domain=cabinet,2,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-component-signs,B_C,count_positive,11,processing/Processing/output/decomposition/raw/cabinet_party_set_accounting.csv,all rows,34,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-component-signs,A_C,count_positive,34,processing/Processing/output/decomposition/raw/cabinet_party_set_accounting.csv,all rows,34,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-closure-gaps,closure_gap_n,min,4,processing/Processing/output/paper/tables/table_appendix_cabinet_interval_bridge.csv,ideological_universe=seat_winning,34,all_matching_rows,computed,seat_winning,not_applicable,all
cabinet-closure-gaps,closure_gap_n,max,16,processing/Processing/output/paper/tables/table_appendix_cabinet_interval_bridge.csv,ideological_universe=seat_winning,34,all_matching_rows,computed,seat_winning,not_applicable,all
district-magnitude,S_d,median,10.0,processing/Processing/output/decomposition/raw/district_accounting_all_years.csv,election_year=2014,27,all_matching_rows,computed,not_applicable,not_applicable,all
district-magnitude,S_d,mean,19.0,processing/Processing/output/decomposition/raw/district_accounting_all_years.csv,election_year=2014,27,all_matching_rows,computed,not_applicable,not_applicable,all
eight-seat-districts,count,sum,11,processing/Processing/output/decomposition/raw/district_accounting_all_years.csv,election_year=2014; S_d=8,11,all_matching_rows,computed,not_applicable,not_applicable,all
seat-winning-2014-k0-other-inversions,count,sum_minus_one,3,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,election=2014; ideological_universe=seat_winning; k=0; minimal_inversion=true,4,all_matching_rows,computed,seat_winning,0,2014
seat-winning-2014-k0-negative-between,B_C,count_negative,3,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,election=2014; ideological_universe=seat_winning; k=0; minimal_inversion=true,4,all_matching_rows,computed,seat_winning,0,2014
cabinet-district-concentration,positive_count,min,18,processing/Processing/output/decomposition/tables/table_cabinet_district_concentration.csv,all rows,2,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-district-concentration,positive_count,max,20,processing/Processing/output/decomposition/tables/table_cabinet_district_concentration.csv,all rows,2,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-district-concentration,top_three_positive_share,min,0.3736878075279613,processing/Processing/output/decomposition/tables/table_cabinet_district_concentration.csv,all rows,2,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-district-concentration,top_three_positive_share,max,0.4512009751151352,processing/Processing/output/decomposition/tables/table_cabinet_district_concentration.csv,all rows,2,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-district-concentration,districts_for_ninety_pct,min,12,processing/Processing/output/decomposition/tables/table_cabinet_district_concentration.csv,all rows,2,all_matching_rows,computed,not_applicable,not_applicable,all
cabinet-district-concentration,districts_for_ninety_pct,max,13,processing/Processing/output/decomposition/tables/table_cabinet_district_concentration.csv,all rows,2,all_matching_rows,computed,not_applicable,not_applicable,all
ideology-component-dominance,minimal_inversions,count,7,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true,7,all_matching_rows,computed,seat_winning,0,all
ideology-component-dominance,A_C_gt_B_C,count,6,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true,7,all_matching_rows,computed,seat_winning,0,all
ideology-component-dominance,A_C_gt_B_C,percentage,85.71428571428571,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true,7,all_matching_rows,computed,seat_winning,0,all
ideology-component-dominance,A_C_lt_B_C,count,1,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true,7,all_matching_rows,computed,seat_winning,0,all
ideology-component-dominance,A_C_lt_B_C,percentage,14.285714285714286,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true,7,all_matching_rows,computed,seat_winning,0,all
ideology-component-dominance,A_C_eq_B_C,count,0,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true,7,all_matching_rows,computed,seat_winning,0,all
ideology-component-dominance,A_C_eq_B_C,percentage,0.0,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true,7,all_matching_rows,computed,seat_winning,0,all
ideology-component-dominance,minimal_inversions,count,4,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true; election=2014,4,all_matching_rows,computed,seat_winning,0,2014
ideology-component-dominance,A_C_gt_B_C,count,4,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true; election=2014,4,all_matching_rows,computed,seat_winning,0,2014
ideology-component-dominance,A_C_gt_B_C,percentage,100.0,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true; election=2014,4,all_matching_rows,computed,seat_winning,0,2014
ideology-component-dominance,A_C_lt_B_C,count,0,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true; election=2014,4,all_matching_rows,computed,seat_winning,0,2014
ideology-component-dominance,A_C_lt_B_C,percentage,0.0,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true; election=2014,4,all_matching_rows,computed,seat_winning,0,2014
ideology-component-dominance,A_C_eq_B_C,count,0,processing/Processing/output/paper/raw/ideology_k_gap_accounting_both_universes.csv,ideological_universe=seat_winning; k=0; minimal_seat_majority=true; inversion=true; election=2014,4,all_matching_rows,computed,seat_winning,0,2014
