"case_id","case_domain","election_year","case_order","case_label","case_display","minimal_status","d_C","A_C","B_C","component_sign_pattern","largest_positive_party_d","largest_positive_party_d_value","largest_negative_party_d","largest_negative_party_d_value","largest_absolute_A_district","largest_absolute_A_district_value","largest_absolute_B_district","largest_absolute_B_district_value","largest_absolute_a_cell","largest_absolute_a_cell_value","largest_absolute_b_cell","largest_absolute_b_cell_value"
"cabinet/C2014-a264923b9881ebab3d9b","cabinet",2014,1,"14-05","Cabinet 2014/14-05","not applicable",20.271092157910495,15.742022264747815,4.529069893162678,"A+, B+: reinforcing accounting components","PMDB",8.133380861621642,"PT",-2.4217233291555798,"RJ",4.719045361414271,"SP",-15.331280017322854,"PSD/RJ",2.5553763515128423,"PT/SP",-5.847087177691173
"cabinet/C2022-259238bde0cf94feb03e","cabinet",2022,2,"22-01","Cabinet 2022/22-01","not applicable",12.20433865441916,13.196247377886202,-0.9919087234670415,"A+, B-: B offsets part of A","UNIÃO",11.103563583757866,"PSOL",-6.0617753157133025,"RJ",2.9208916803521645,"SP",-18.347999826686895,"MDB/PA",3.288847368891319,"PT/SP",-4.961769627837824
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","endpoint-minimal",9.032375702727146,10.508783851460613,-1.476408148733468,"A+, B-: B offsets part of A","PMDB",8.133380861621642,"PSDB",-4.4303847839739765,"PE",2.9936998505763817,"SP",-20.029666259552023,"PSD/RJ",2.5553763515128423,"PSDB/SP",-8.187137176278128
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","nonminimal",7.639086988477285,8.596445795970947,-0.9573588074936628,"A+, B-: B offsets part of A","PMDB",8.133380861621642,"PSDB",-4.4303847839739765,"PE",2.889901849716733,"SP",-20.095717062722105,"PSD/RJ",2.5553763515128423,"PSDB/SP",-8.187137176278128
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","nonminimal",11.03893897812749,11.103553161298816,-0.0646141831713266,"A+, B-: B offsets part of A","PMDB",8.133380861621642,"PSDB",-4.4303847839739765,"RJ",2.4755396472871745,"SP",-20.518094515158506,"PSD/RJ",2.5553763515128423,"PSDB/SP",-8.187137176278128
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","endpoint-minimal",13.601172997635034,12.507073279630276,1.0940997180047587,"A+, B+: reinforcing accounting components","PMDB",8.133380861621642,"PSDB",-4.4303847839739765,"RJ",2.900834019900858,"SP",-18.628608813538296,"PSD/RJ",2.5553763515128423,"PSDB/SP",-8.187137176278128
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","endpoint-minimal",6.441783571553754,7.153118077830786,-0.7113345062770328,"A+, B-: B offsets part of A","PMDB",8.133380861621642,"PSDB",-4.4303847839739765,"DF",2.1875434558200024,"SP",-21.788788794092678,"PSD/RJ",2.5553763515128423,"PSDB/SP",-8.187137176278128
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","nonminimal",3.1804028363966506,3.857780426893247,-0.6773775904965965,"A+, B-: B offsets part of A","PMDB",8.133380861621642,"PSDB",-4.4303847839739765,"MA",-2.778715294592671,"SP",-21.970684126558336,"PSD/RJ",2.5553763515128423,"PSDB/SP",-8.187137176278128
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","endpoint-minimal",6.461738621997101,7.472745651139492,-1.0110070291423905,"A+, B-: B offsets part of A","PMDB",8.133380861621642,"PSDB",-4.4303847839739765,"MA",-2.2013798470016854,"SP",-21.903626650369315,"PSD/RJ",2.5553763515128423,"PSDB/SP",-8.187137176278128
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","endpoint-minimal",10.751148368495176,6.567768298801865,4.183380069693311,"A+, B+: reinforcing accounting components","MDB",5.600328135814278,"PV",-4.31557588781834,"MG",3.394072546556463,"SP",-15.637137696722283,"PSDB/PB",1.4897161272096742,"PT/SP",-3.944774529520726
