"case_id","case_domain","election_year","case_order","case_label","case_display","minimal_status","vote_share","s_C","q_C","d_C","r_C","R_C","A_C","B_C","A_share_of_d_C","B_share_of_d_C","dominant_absolute_component","component_sign_pattern"
"cabinet/C2014-a264923b9881ebab3d9b","cabinet",2014,1,"14-05","Cabinet 2014/14-05","not applicable",0.4653584948188879,259,238.7289078420895,20.271092157910495,18.271092157910495,1.0849125995722273,15.742022264747815,4.529069893162678,0.7765749443650338,0.22342505563496617,"A_C","A+, B+: reinforcing accounting components"
"cabinet/C2022-259238bde0cf94feb03e","cabinet",2022,2,"22-01","Cabinet 2022/22-01","not applicable",0.48888043147286714,263,250.79566134558084,12.20433865441916,6.20433865441916,1.0486624792029489,13.196247377886202,-0.9919087234670415,1.0812750900769108,-0.08127509007691079,"A_C","A+, B-: B offsets part of A"
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","endpoint-minimal",0.4892156419050153,260,250.96762429727286,9.032375702727146,6.032375702727145,1.0359902028320125,10.508783851460613,-1.476408148733468,1.1634573447036416,-0.1634573447036416,"A_C","A+, B-: B offsets part of A"
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","nonminimal",0.49388092204975187,261,253.3609130115227,7.639086988477285,3.639086988477285,1.0301510082896246,8.596445795970947,-0.9573588074936628,1.1253237211381062,-0.1253237211381062,"A_C","A+, B-: B offsets part of A"
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","nonminimal",0.4950508012122271,265,253.96106102187252,11.03893897812749,3.0389389781274896,1.0434670533101007,11.103553161298816,-0.0646141831713266,1.0058532965259934,-0.005853296525993384,"A_C","A+, B-: B offsets part of A"
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","endpoint-minimal",0.4744616510767348,257,243.39882700236495,13.601172997635034,13.601172997635034,1.0558801912282958,12.507073279630276,1.0940997180047587,0.9195584293946558,0.08044157060534413,"A_C","A+, B+: reinforcing accounting components"
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","endpoint-minimal",0.4884175758839108,257,250.55821642844626,6.441783571553754,6.441783571553754,1.0257097279162402,7.153118077830786,-0.7113345062770328,1.1104250862165272,-0.11042508621652736,"A_C","A+, B-: B offsets part of A"
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","nonminimal",0.49672436094269656,258,254.81959716360336,3.1804028363966506,2.1804028363966506,1.01248099781884,3.857780426893247,-0.6773775904965965,1.212984840393381,-0.2129848403933809,"A_C","A+, B-: B offsets part of A"
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","endpoint-minimal",0.48837867715010314,257,250.5382613780029,6.461738621997101,6.461738621997101,1.0257914243774842,7.472745651139492,-1.0110070291423905,1.1564605268465538,-0.15646052684655373,"A_C","A+, B-: B offsets part of A"
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","endpoint-minimal",0.4995104320302238,267,256.2488516315048,10.751148368495176,0.7511483684951761,1.0419558889729417,6.567768298801865,4.183380069693311,0.6108899322836846,0.38911006771631534,"A_C","A+, B+: reinforcing accounting components"
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO","endpoint-minimal",0.492189812614362,265,252.4933738711677,12.506626128832282,4.506626128832282,1.0495324924257763,2.953163469827912,9.55346265900437,0.23612790847083895,0.763872091529161,"B_C","A+, B+: reinforcing accounting components"
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL","nonminimal",0.4729167535694039,262,242.60629458110418,19.39370541889581,14.39370541889581,1.0799390034474659,16.35057546336421,3.0431299555315996,0.8430867186130095,0.15691328138699046,"A_C","A+, B+: reinforcing accounting components"
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL","nonminimal",0.4656081404500804,259,238.85697605089126,20.143023949108734,18.143023949108734,1.0843309007848154,17.376123306190518,2.7669006429182157,0.8626372758177333,0.13736272418226672,"A_C","A+, B+: reinforcing accounting components"
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL","endpoint-minimal",0.4526056142903306,258,232.18668013093958,25.813319869060408,24.813319869060408,1.1111748522977427,23.321113301517023,2.4922065675433847,0.9034526910840895,0.09654730891591046,"A_C","A+, B+: reinforcing accounting components"
