"case_id","case_domain","election_year","case_order","case_label","case_display","aggregation_level","component","largest_positive_unit","largest_positive_value","largest_negative_unit","largest_negative_value"
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","party","A_i","PR",5.0428381901786,"PT",-1.215411226585322
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","party","B_i","PMDB",4.224685645373679,"PT",-1.2063121025702577
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","party","d_i","PMDB",8.133380861621642,"PT",-2.4217233291555798
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","district","a_Cd","RJ",4.719045361414271,"MT",-1.3255823546072767
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","district","b_Cd","AC",3.0431133715438876,"SP",-15.331280017322854
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","district","d_Cd","RJ",7.657001236932485,"SP",-14.847482399375796
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","party","A_i","PSD",4.645941310001025,"PV",-1.4035201183314603
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","party","B_i","PMDB",4.224685645373679,"PSDB",-5.011331274299147
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","party","d_i","PMDB",8.133380861621642,"PSDB",-4.4303847839739765
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","district","a_Cd","SP",2.472405922752327,"CE",-1.7190376961864156
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","district","b_Cd","TO",3.1081790588417175,"SP",-20.144883843175688
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","district","d_Cd","TO",4.096774646826306,"SP",-17.67247792042336
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","party","A_i","PP",7.318776629343754,"PSC",-3.073116754686265
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","party","B_i","PP",1.4450926499939176,"PSL",-5.276539936713024
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","party","d_i","PP",8.763869279337671,"PSL",-7.697795432903889
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","district","a_Cd","BA",2.1840245497496875,"MT",-1.1095917454320794
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","district","b_Cd","RR",3.5655892101600175,"SP",-23.280394850063004
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","district","d_Cd","RR",5.234959897394972,"SP",-22.70029342327047
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","party","A_i","UNIÃO",9.356662317791708,"PSB",-5.545916698920125
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","party","B_i","UNIÃO",1.7469012659661585,"PSOL",-2.6596964876850473
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","party","d_i","UNIÃO",11.103563583757866,"PSOL",-6.0617753157133025
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","district","a_Cd","RJ",2.9208916803521645,"DF",-1.7259055725002317
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","district","b_Cd","RR",3.1517294702711056,"SP",-18.347999826686895
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","district","d_Cd","RJ",5.700134356353879,"SP",-17.992496813099166
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","party","A_i","PSD",4.645941310001025,"PT DO B",-3.614965224246245
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","party","B_i","PMDB",4.224685645373679,"PSDB",-5.011331274299147
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","party","d_i","PMDB",8.133380861621642,"PSDB",-4.4303847839739765
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","district","a_Cd","PE",2.9936998505763817,"MG",-1.3608135696938708
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","district","b_Cd","RR",2.7302013508384837,"SP",-20.029666259552023
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","district","d_Cd","RR",4.492186911466626,"SP",-20.365501059140517
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","party","A_i","PSD",4.645941310001025,"PT DO B",-3.614965224246245
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","party","B_i","PMDB",4.224685645373679,"PSDB",-5.011331274299147
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","party","d_i","PMDB",8.133380861621642,"PSDB",-4.4303847839739765
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","district","a_Cd","PE",2.889901849716733,"MG",-1.3876679989239689
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","district","b_Cd","RR",2.8579135016886346,"SP",-20.095717062722105
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","district","d_Cd","RR",4.468432655486004,"SP",-20.54148173504664
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","party","A_i","PR",5.0428381901786,"PT DO B",-3.614965224246245
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","party","B_i","PMDB",4.224685645373679,"PSDB",-5.011331274299147
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","party","d_i","PMDB",8.133380861621642,"PSDB",-4.4303847839739765
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","district","a_Cd","RJ",2.4755396472871745,"SP",-1.148737192936357
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","district","b_Cd","RR",3.5161920148106627,"SP",-20.518094515158506
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","district","d_Cd","RJ",5.563957684340607,"SP",-21.66683170809486
