"case_id","case_domain","election_year","case_order","case_label","case_display","electoral_unit","v_Cd","V_d","s_Cd","S_d","a_Cd","b_Cd","d_Cd"
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","AC",206024,399201,5,8,0.871272867552937,3.0431133715438876,3.9143862390968245
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","AL",462101,1384584,4,9,0.9962754155760863,0.5687499963801991,1.5650254119562854
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","AM",883732,1658407,4,8,-0.2630403754928676,-0.39365797106134454,-0.6566983465542121
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","AP",177840,386084,5,8,1.3149988085494348,2.747898954628541,4.0628977631779755
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","BA",3372656,6646541,20,39,0.2102200227155749,2.0180554966770208,2.2282755193925956
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","CE",2043455,4367020,12,22,1.7055635192877523,-0.4732549910890874,1.2323085281986648
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","DF",546474,1454063,4,8,0.9933957469518171,0.12703830745057357,1.1204340544023907
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","ES",662777,1794470,4,10,0.30655848244885675,0.20103368346325115,0.5075921659121079
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","GO",1416853,3032760,8,17,0.05789412943985017,0.47620328650709404,0.5340974159469443
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","MA",1431399,3130492,7,18,-1.2303938166907948,0.6878431830605172,-0.5425506336302778
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","MG",4477684,10118666,26,53,2.5465870698766024,-0.14109725983492757,2.405489810041675
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","MS",825708,1276893,5,8,-0.17323221287923107,0.8222829677046924,0.6490507548254614
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","MT",604679,1454612,2,8,-1.3255823546072767,0.13931355422881989,-1.186268800378457
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","PA",1908838,3756049,10,17,1.3605370962945371,-1.4188836973453638,-0.058346601050826646
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","PB",977061,1936819,8,12,1.9463976757766213,0.9051202695024847,2.851517945279106
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","PE",1739512,4483227,10,25,0.29988889699317034,0.5340034434321955,0.8338923404253659
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","PI",1143169,1733434,6,10,-0.594822762216502,0.5710585530082443,-0.023764209208257822
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","PR",2410723,5665222,13,30,0.23409426850351142,0.0629484909527379,0.2970427594562493
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","RJ",4050400,7673438,29,46,4.719045361414271,2.9379558755182145,7.657001236932485
