"case_id","case_domain","election_year","case_order","case_label","case_display","component","largest_positive_party","largest_positive_electoral_unit","largest_positive_value","largest_negative_party","largest_negative_electoral_unit","largest_negative_value"
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","a_id","PSD","RJ",2.5553763515128423,"PT","PE",-2.145212589056945
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","b_id","PT","AC",1.4421938535518855,"PT","SP",-5.847087177691173
"cabinet/2014/2016.2","cabinet",2014,1,"2016.2","Cabinet 2014/2016.2","d_id","PSD","RJ",2.972170190044196,"PT","SP",-5.578529014439206
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","a_id","PSD","RJ",2.5553763515128423,"PSDB","PA",-1.1745594905710761
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","b_id","PMDB","TO",1.3042286334364415,"PSDB","SP",-8.187137176278128
"cabinet/2014/2017.1","cabinet",2014,2,"2017.1","Cabinet 2014/2017.1","d_id","PSD","RJ",2.972170190044196,"PSDB","SP",-7.813178112423072
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","a_id","PP","SP",1.8828109446061572,"PSL","SP",-4.607303272337464
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","b_id","PSL","RJ",1.2457549229218,"PSL","SP",-8.413276625588729
"cabinet/2018/2021.3/2022.1","cabinet",2018,3,"2021.3/2022.1","Cabinet 2018/2021.3/2022.1","d_id","PSL","RJ",3.0594741278587856,"PSL","SP",-13.020579897926194
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","a_id","MDB","PA",3.288847368891319,"PSOL","SP",-0.9559809511068117
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","b_id","UNIÃO","AC",1.1665356971071428,"PT","SP",-4.961769627837824
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","d_id","UNIÃO","RO",3.084923801181843,"PSOL","SP",-4.303569290548658
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","a_id","PSD","RJ",2.5553763515128423,"PSDB","PA",-1.1745594905710761
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","b_id","PMDB","TO",1.3042286334364415,"PSDB","SP",-8.187137176278128
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","d_id","PSD","RJ",2.972170190044196,"PSDB","SP",-7.813178112423072
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","a_id","PSD","RJ",2.5553763515128423,"PSDB","PA",-1.1745594905710761
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","b_id","PMDB","TO",1.3042286334364415,"PSDB","SP",-8.187137176278128
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","d_id","PSD","RJ",2.972170190044196,"PSDB","SP",-7.813178112423072
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","a_id","PSD","RJ",2.5553763515128423,"PSDB","PA",-1.1745594905710761
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","b_id","PMDB","TO",1.3042286334364415,"PSDB","SP",-8.187137176278128
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR","d_id","PSD","RJ",2.972170190044196,"PSDB","SP",-7.813178112423072
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","a_id","PSD","RJ",2.5553763515128423,"PSDB","PA",-1.1745594905710761
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","b_id","PMDB","TO",1.3042286334364415,"PSDB","SP",-8.187137176278128
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR","d_id","PSD","RJ",2.972170190044196,"PSDB","SP",-7.813178112423072
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","a_id","PSD","RJ",2.5553763515128423,"PSDB","PA",-1.1745594905710761
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","b_id","PMDB","TO",1.3042286334364415,"PSDB","SP",-8.187137176278128
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC","d_id","PSD","RJ",2.972170190044196,"PSDB","SP",-7.813178112423072
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","a_id","PSD","RJ",2.5553763515128423,"PSDB","PA",-1.1745594905710761
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","b_id","PMDB","TO",1.3042286334364415,"PSDB","SP",-8.187137176278128
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL","d_id","PSD","RJ",2.972170190044196,"PSDB","SP",-7.813178112423072
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","a_id","PSD","RJ",2.5553763515128423,"PSDB","PA",-1.1745594905710761
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","b_id","PMDB","TO",1.3042286334364415,"PSDB","SP",-8.187137176278128
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL","d_id","PSD","RJ",2.972170190044196,"PSDB","SP",-7.813178112423072
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","a_id","PSDB","PB",1.4897161272096742,"PSDB","PR",-1.1025611293239288
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","b_id","SOLIDARIEDADE","TO",0.7481844160404736,"PT","SP",-3.944774529520726
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB","d_id","MDB","AC",1.7336178622140985,"PSDB","SP",-2.958385613314474
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO","a_id","MDB","PA",3.288847368891319,"PODE","PR",-1.1361971781072633
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO","b_id","REPUBLICANOS","RR",1.5512194684051137,"UNIÃO","SP",-3.0560334290062783
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO","d_id","UNIÃO","RO",3.084923801181843,"MDB","SP",-2.5657032950629826
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL","a_id","PL","RN",2.4107248669446193,"NOVO","MG",-0.8773956725895793
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL","b_id","REPUBLICANOS","RR",1.5512194684051137,"PL","SP",-9.015052474453062
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL","d_id","UNIÃO","RO",3.084923801181843,"PL","SP",-8.054503974043131
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL","a_id","PL","RN",2.4107248669446193,"NOVO","MG",-0.8773956725895793
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL","b_id","REPUBLICANOS","RR",1.5512194684051137,"PL","SP",-9.015052474453062
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL","d_id","UNIÃO","RO",3.084923801181843,"PL","SP",-8.054503974043131
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL","a_id","PL","RN",2.4107248669446193,"NOVO","MG",-0.8773956725895793
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL","b_id","REPUBLICANOS","RR",1.5512194684051137,"PL","SP",-9.015052474453062
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL","d_id","UNIÃO","RO",3.084923801181843,"PL","SP",-8.054503974043131
