"case_id","case_domain","election_year","case_order","case_label","case_display","coalition_party_order","party","v_i","s_i","q_i","R_i","d_i","A_i","B_i","accounting_qualification"
"cabinet/2014/2016.3","cabinet",2014,1,"2016.3","Cabinet 2014/2016.3",1,"PCdoB",1913015,10,10.080356700259134,0.9920283872239294,-0.0803567002591352,-0.5688758702547635,0.4885191699956283,"ex post party accounting contribution; joint electoral lists"
"cabinet/2014/2016.3","cabinet",2014,1,"2016.3","Cabinet 2014/2016.3",2,"PDT",3528346,20,18.592110486291283,1.075725104729063,1.407889513708717,-0.15563789039051862,1.5635274040992357,"ex post party accounting contribution; joint electoral lists"
"cabinet/2014/2016.3","cabinet",2014,1,"2016.3","Cabinet 2014/2016.3",3,"PMDB",10791949,65,56.86661913837836,1.1430255743150477,8.133380861621642,3.9086952162479633,4.224685645373679,"ex post party accounting contribution; joint electoral lists"
"cabinet/2014/2016.3","cabinet",2014,1,"2016.3","Cabinet 2014/2016.3",4,"PR",5635519,34,29.695554771440715,1.1449525109629883,4.304445228559284,5.0428381901786,-0.7383929616193156,"ex post party accounting contribution; joint electoral lists"
"cabinet/2014/2016.3","cabinet",2014,1,"2016.3","Cabinet 2014/2016.3",5,"PSD",5967953,36,31.4472677999815,1.1447735373697927,4.552732200018501,4.645941310001025,-0.09320910998252392,"ex post party accounting contribution; joint electoral lists"
"cabinet/2014/2016.3","cabinet",2014,1,"2016.3","Cabinet 2014/2016.3",6,"PT",13554166,69,71.42172332915558,0.9660926225765405,-2.4217233291555798,-1.215411226585322,-1.2063121025702577,"ex post party accounting contribution; joint electoral lists"
"cabinet/2014/2016.3","cabinet",2014,1,"2016.3","Cabinet 2014/2016.3",7,"PTB",3914193,25,20.625275616582936,1.2121050144852241,4.374724383417064,4.084472535550831,0.2902518478662325,"ex post party accounting contribution; joint electoral lists"
"cabinet/2022/2023.1","cabinet",2022,2,"2023.1","Cabinet 2022/2023.1",1,"MDB",7950895,42,37.27884435439178,1.1266443669961037,4.721155645608219,5.119561127195656,-0.3984054815874375,"accounting attribution; not an independent causal effect"
"cabinet/2022/2023.1","cabinet",2022,2,"2023.1","Cabinet 2022/2023.1",2,"PCdoB",1154712,6,5.414023065598079,1.108233180262077,0.5859769344019204,0.17628181135851972,0.4096951230434007,"accounting attribution; not an independent causal effect"
"cabinet/2022/2023.1","cabinet",2022,2,"2023.1","Cabinet 2022/2023.1",3,"PDT",3828367,17,17.949815401220842,0.947084948786925,-0.9498154012208437,-1.9742011739935168,1.024385772772673,"accounting attribution; not an independent causal effect"
