"election_year","direction","rank","electoral_unit","V_d","S_d","district_vote_weight","district_seat_weight","district_weight_gap","seat_equivalent_weight_gap"
2014,"largest positive",1,"RR",238099,8,0.002445669295188429,0.015594541910331383,0.013148872615142955,6.745371651568336
2014,"largest positive",2,"AP",386084,8,0.0039657192351229085,0.015594541910331383,0.011628822675208475,5.965586032381948
2014,"largest positive",3,"AC",399201,8,0.00410045245174703,0.015594541910331383,0.011494089458584354,5.896467892253773
2014,"most negative",1,"SP",21266194,70,0.21843887496932116,0.1364522417153996,-0.08198663325392155,-42.059142859261755
2014,"most negative",2,"PA",3756049,17,0.038580816007304536,0.03313840155945419,-0.005442414447850347,-2.7919586117472286
2014,"most negative",3,"SC",3391619,16,0.03483751905416522,0.031189083820662766,-0.003648435233502452,-1.871647274786757
2018,"largest positive",1,"RR",270708,8,0.0027548998266815204,0.015594541910331383,0.012839642083649863,6.58673638891238
2018,"largest positive",2,"AP",364871,8,0.0037131634627019265,0.015594541910331383,0.011881378447629456,6.095147143633912
2018,"largest positive",3,"AC",417502,8,0.004248770584686039,0.015594541910331383,0.011345771325645345,5.820380690056062
2018,"most negative",1,"SP",21131103,70,0.21504378146301312,0.1364522417153996,-0.07859153974761351,-40.31745989052573
2018,"most negative",2,"PA",3956457,17,0.04026346729159422,0.03313840155945419,-0.007125065732140029,-3.6551587205878358
2018,"most negative",3,"SC",3548458,16,0.03611140538582774,0.031189083820662766,-0.004922321565164971,-2.525150962929629
2022,"largest positive",1,"RR",291714,8,0.0026661607449785817,0.015594541910331383,0.012928381165352802,6.632259537825988
2022,"largest positive",2,"AP",423017,8,0.003866222806785429,0.015594541910331383,0.011728319103545954,6.016627700119074
2022,"largest positive",3,"AC",434253,8,0.003968915794199743,0.015594541910331383,0.011625626116131639,5.963946197575532
2022,"most negative",1,"SP",23321040,70,0.21314589419799976,0.1364522417153996,-0.07669365248260016,-39.343843723573876
2022,"most negative",2,"PA",4521516,17,0.04132502542556263,0.03313840155945419,-0.008186623866108439,-4.199738043313628
2022,"most negative",3,"SC",3969848,16,0.036282978880450484,0.031189083820662766,-0.0050938950597877175,-2.613168165671098
