"case_id","case_domain","election_year","case_order","case_label","case_display","coalition_party_count","coalition_parties","minimal_status","vote_share","s_C","compositionally_repeated","source_registry"
"cabinet/C2014-a264923b9881ebab3d9b","cabinet",2014,1,"14-05","Cabinet 2014/14-05",7,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB","not applicable",0.4653584948188879,259,false,"Distinct translated cabinet party sets from pinned V5 chronology"
"cabinet/C2022-259238bde0cf94feb03e","cabinet",2022,2,"22-01","Cabinet 2022/22-01",9,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO","not applicable",0.48888043147286714,263,false,"Distinct translated cabinet party sets from pinned V5 chronology"
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN",12,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN","endpoint-minimal",0.4892156419050153,260,false,"validated contiguous ideological intervals"
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB",13,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB","nonminimal",0.49388092204975187,261,false,"validated contiguous ideological intervals"
"ideological/2014/07-20","ideological",2014,3,"7-20 PV-PR","Ideological 2014/7-20 PV-PR",14,"PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR","nonminimal",0.4950508012122271,265,false,"validated contiguous ideological intervals"
"ideological/2014/08-20","ideological",2014,4,"8-20 PTB-PR","Ideological 2014/8-20 PTB-PR",13,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR","endpoint-minimal",0.4744616510767348,257,false,"validated contiguous ideological intervals"
"ideological/2014/09-23","ideological",2014,5,"9-23 PT DO B-PSDC","Ideological 2014/9-23 PT DO B-PSDC",15,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC","endpoint-minimal",0.4884175758839108,257,false,"validated contiguous ideological intervals"
"ideological/2014/09-24","ideological",2014,6,"9-24 PT DO B-PSL","Ideological 2014/9-24 PT DO B-PSL",16,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL","nonminimal",0.49672436094269656,258,false,"validated contiguous ideological intervals"
"ideological/2014/10-24","ideological",2014,7,"10-24 SOLIDARIEDADE-PSL","Ideological 2014/10-24 SOLIDARIEDADE-PSL",15,"SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PRTB, PROS, PRP, PR, PRB, PTC, PSDC, PSL","endpoint-minimal",0.48837867715010314,257,false,"validated contiguous ideological intervals"
"ideological/2018/03-16","ideological",2018,8,"3-16 PT-PSDB","Ideological 2018/3-16 PT-PSDB",14,"PT, PDT, PSB, REDE, PPS, PV, PTB, AVANTE, SOLIDARIEDADE, PMN, PHS, MDB, PSD, PSDB","endpoint-minimal",0.4995104320302238,267,false,"validated contiguous ideological intervals"
"ideological/2022/11-20","ideological",2022,9,"11-20 MDB-UNIÃO","Ideological 2022/11-20 MDB-UNIÃO",10,"MDB, PSDB, PSD, PODE, PROS, PTB, PP, REPUBLICANOS, PSC, UNIÃO","endpoint-minimal",0.492189812614362,265,false,"validated contiguous ideological intervals"
"ideological/2022/15-23","ideological",2022,10,"15-23 PROS-PL","Ideological 2022/15-23 PROS-PL",9,"PROS, PTB, PP, REPUBLICANOS, PSC, UNIÃO, PATRIOTA, NOVO, PL","nonminimal",0.4729167535694039,262,false,"validated contiguous ideological intervals"
"ideological/2022/16-23","ideological",2022,11,"16-23 PTB-PL","Ideological 2022/16-23 PTB-PL",8,"PTB, PP, REPUBLICANOS, PSC, UNIÃO, PATRIOTA, NOVO, PL","nonminimal",0.4656081404500804,259,false,"validated contiguous ideological intervals"
"ideological/2022/17-23","ideological",2022,12,"17-23 PP-PL","Ideological 2022/17-23 PP-PL",7,"PP, REPUBLICANOS, PSC, UNIÃO, PATRIOTA, NOVO, PL","endpoint-minimal",0.4526056142903306,258,false,"validated contiguous ideological intervals"
