"election_year","electoral_unit","party","v_id","V_d","district_party_vote_share","s_id","S_d","district_party_seat_share","v_i","V","national_party_vote_share","national_cell_vote_share","s_i","S","national_party_seat_share","district_vote_weight","district_seat_weight","district_weight_gap","within_district_quota","national_quota_contribution","a_id","b_id","b_id_factored","b_crosscheck_residual","d_id","q_i","R_i","d_i","A_i","B_i","within_district_quota_exact","national_quota_contribution_exact","a_id_exact","b_id_exact","b_id_factored_exact","d_id_exact","accounting_qualification"
2018,"AC","AVANTE",530,417502,0.0012694549966227706,0,8,0.0,1854015,98264190,0.018867656671265495,5.393623048233542e-6,7,513,0.01364522417153996,0.004248770584686039,0.015594541910331383,0.011345771325645345,0.010155639972982165,0.0027669286237438076,-0.010155639972982165,0.007388711349238358,0.007388711349238358,0.0,-0.0027669286237438076,9.679107872359198,0.7232071480461567,-2.6791078723591983,-3.174030012110914,0.494922139751716,"2120//208751","9063//3275473","-2120//208751","5052092447//683758264223","5052092447//683758264223","-9063//3275473","ex post party accounting contribution; joint electoral lists"
2018,"AC","DC",953,417502,0.0022826237958141517,0,8,0.0,381734,98264190,0.0038847722654611005,9.698344839559559e-6,1,513,0.001949317738791423,0.004248770584686039,0.015594541910331383,0.011345771325645345,0.018260990366513213,0.004975250902694054,-0.018260990366513213,0.013285739463819161,0.013285739463819161,0.0,-0.004975250902694054,1.9928881721815446,0.5017843017781249,-0.9928881721815445,-1.1584780236518382,0.16558985147029376,"3812//208751","162963//32754730","-3812//208751","90842341547//6837582642230","90842341547//6837582642230","-162963//32754730","ex post party accounting contribution; joint electoral lists"
2018,"AC","DEM",22983,417502,0.05504883808939837,1,8,0.125,4581164,98264190,0.046620890071958056,0.00023388988399538022,29,513,0.056530214424951264,0.004248770584686039,0.015594541910331383,0.011345771325645345,0.440390704715187,0.11998551048963005,0.559609295284813,0.32040519422555697,0.32040519422555697,0.0,0.88001448951037,23.91651660691448,1.2125511618868374,5.083483393085518,4.575529227412437,0.5079541656730813,"91932//208751","3930093//32754730","116819//208751","2190796994517//6837582642230","2190796994517//6837582642230","28824637//32754730","ex post party accounting contribution; joint electoral lists"
2018,"AC","MDB",51025,417502,0.12221498340127712,2,8,0.25,5439904,98264190,0.05535998414071291,0.0005192634264832388,34,513,0.06627680311890838,0.004248770584686039,0.015594541910331383,0.011345771325645345,0.977719867210217,0.2663821377859015,1.022280132789783,0.7113377294243155,0.7113377294243155,0.0,1.7336178622140985,28.399671864185724,1.1971969310982338,5.600328135814278,4.338282118829407,1.2620460169848708,"204100//208751","1745055//6550946","213402//208751","972766102295//1367516528446","972766102295//1367516528446","11356837//6550946","ex post party accounting contribution; joint electoral lists"
2018,"AC","NOVO",0,417502,0.0,0,8,0.0,2748079,98264190,0.027966230627861483,0.0,8,513,0.015594541910331383,0.004248770584686039,0.015594541910331383,0.011345771325645345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.34667631209294,0.5576204429493352,-6.34667631209294,-4.882279731577308,-1.4643965805156332,"0//1","0//1","0//1","0//1","0//1","0//1","ex post party accounting contribution; joint electoral lists"
2018,"AC","PATRIOTA",420,417502,0.0010059832048708748,0,8,0.0,1432304,98264190,0.014576052578258673,4.274191849543562e-6,5,513,0.009746588693957114,0.004248770584686039,0.015594541910331383,0.011345771325645345,0.008047865638966999,0.0021926604188158474,-0.008047865638966999,0.005855205220151151,0.005855205220151151,0.0,-0.0021926604188158474,7.4775149726466985,0.6686713458000911,-2.4775149726466985,-2.764922573613393,0.28740760096669427,"1680//208751","7182//3275473","-1680//208751","4003544958//683758264223","4003544958//683758264223","-7182//3275473","ex post party accounting contribution; joint electoral lists"
2018,"AC","PCB",0,417502,0.0,0,8,0.0,61343,98264190,0.0006242660729203588,0.0,0,513,0.0,0.004248770584686039,0.015594541910331383,0.011345771325645345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3202484954081441,0.0,-0.3202484954081441,-0.3389184778746364,0.018669982466492322,"0//1","0//1","0//1","0//1","0//1","0//1","ex post party accounting contribution; joint electoral lists"
2018,"AC","PCO",0,417502,0.0,0,8,0.0,2785,98264190,2.8341962621378142e-5,0.0,0,513,0.0,0.004248770584686039,0.015594541910331383,0.011345771325645345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014539426824766988,0.0,-0.014539426824766988,-0.01550697276338996,0.0009675459386229713,"0//1","0//1","0//1","0//1","0//1","0//1","ex post party accounting contribution; joint electoral lists"
2018,"AC","PCdoB",19210,417502,0.046011755632308346,1,8,0.125,1329575,98264190,0.0135306157818021,0.00019549339388031387,9,513,0.017543859649122806,0.004248770584686039,0.015594541910331383,0.011345771325645345,0.36809404505846677,0.10028811106060102,0.6319059549415332,0.2678059339978658,0.2678059339978658,0.0,0.899711888939399,6.941205896064477,1.2966046728426277,2.058794103935523,1.3151741859377608,0.7436199179977624,"76840//208751","328491//3275473","131911//208751","183114520579//683758264223","183114520579//683758264223","2946982//3275473","ex post party accounting contribution; joint electoral lists"
2018,"AC","PDT",41989,417502,0.1005719733079123,1,8,0.125,4561885,98264190,0.046424694489416746,0.0004273072418344872,28,513,0.05458089668615984,0.004248770584686039,0.015594541910331383,0.011345771325645345,0.8045757864632984,0.21920861506109193,0.1954242135367016,0.5853671714022064,0.5853671714022064,0.0,0.7807913849389081,23.81586827307079,1.1756867177360195,4.18413172692921,3.1025656409100697,1.0815660860191403,"844//1049","7180119//32754730","205//1049","20113047289//34359711770","20113047289//34359711770","25574611//32754730","ex post party accounting contribution; joint electoral lists"
