scope,check_name,actual,expected,status
accounting_integration,focal_state_rows,189,189,PASS
accounting_integration,gross_component_rows,42,42,PASS
accounting_integration,state_weighting_rows,7,7,PASS
accounting_integration,selected_party_rows,17,17,PASS
accounting_integration,district_electoral_weight_rows,81,81,PASS
accounting_integration,minimal_ideological_cases,6,6,PASS
accounting_integration,coalition_party_contribution_rows,215,215,PASS
accounting_integration,coalition_party_contribution_cases,18,18,PASS
accounting_integration,coalition_party_contribution_focal_cases,10,10,PASS
accounting_integration,coalition_party_contribution_checks,18,18,PASS
accounting_integration,state_weighting_gross_identity,7 exact closures,7 exact closures,PASS
accounting_integration,coalition_party_contribution_validations,18 complete case audits,18 complete case audits,PASS
