election,domain,ideological_universe,k,gap_count,case_identifier,case,sum_party_votes,coalition_votes,sum_party_votes_matches_coalition,sum_party_seats,coalition_seats,sum_party_seats_matches_coalition,sum_party_d_i,coalition_d_C,sum_party_d_i_exact,coalition_d_C_exact,exact_differential_closure,coalition_membership_matches_source,national_denominators_match_source,coalition_vote_share_matches_source,coalition_seat_share_matches_source,coalition_q_C_matches_source,coalition_d_C_matches_source,coalition_r_C_matches_source,coalition_R_C_matches_source,coalition_remains_inversion,all_checks_pass
2014,cabinet,not_applicable,,,cabinet/2014/2016.3,Cabinet 2014/2016.3,45305141,45305141,true,259,259,true,20.271092157910495,20.271092157910495,103868387//5123966,103868387//5123966,true,true,true,true,true,true,true,true,true,true,true
2022,cabinet,not_applicable,,,cabinet/2022/2023.1,Cabinet 2022/2023.1,53490123,53490123,true,263,263,true,12.20433865441916,12.20433865441916,1335319505//109413508,1335319505//109413508,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,all_parties,0,0,ideological/2014/08-19,Ideological 2014/PSB-PTN,47627762,47627762,true,260,260,true,9.032375702727146,9.032375702727146,23140793//2561983,23140793//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,all_parties,0,0,ideological/2014/08-20,Ideological 2014/PSB-PPL,47769016,47769016,true,260,260,true,8.288058117481654,8.288058117481654,21233864//2561983,21233864//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,all_parties,0,0,ideological/2014/08-21,Ideological 2014/PSB-PRTB,48223206,48223206,true,261,261,true,6.894769403231794,6.894769403231794,17664282//2561983,17664282//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,all_parties,0,0,ideological/2014/10-24,Ideological 2014/PV-PR,48337100,48337100,true,265,265,true,10.294621392881998,10.294621392881998,26374645//2561983,26374645//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,all_parties,0,0,ideological/2014/11-24,Ideological 2014/PTB-PR,46332636,46332636,true,257,257,true,12.856855412389544,12.856855412389544,32939045//2561983,32939045//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,all_parties,0,0,ideological/2014/12-27,Ideological 2014/PT DO B-PSDC,47691320,47691320,true,257,257,true,5.697465986308262,5.697465986308262,14596811//2561983,14596811//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,all_parties,0,0,ideological/2014/12-28,Ideological 2014/PT DO B-PSL,48500030,48500030,true,258,258,true,2.4360852511511593,2.4360852511511593,6241209//2561983,6241209//2561983,true,true,true,true,true,true,true,true,true,true,true
2014,ideological,all_parties,0,0,ideological/2014/13-28,Ideological 2014/SOLIDARIEDADE-PSL,47687533,47687533,true,257,257,true,5.71742103675161,5.71742103675161,29295871//5123966,29295871//5123966,true,true,true,true,true,true,true,true,true,true,true
2022,ideological,all_parties,0,0,ideological/2022/15-29,Ideological 2022/MDB-UNIÃO,54687303,54687303,true,265,265,true,8.591198638837172,8.591198638837172,939993181//109413508,939993181//109413508,true,true,true,true,true,true,true,true,true,true,true
2022,ideological,all_parties,0,0,ideological/2022/21-32,Ideological 2022/PROS-PL,52238937,52238937,true,262,262,true,17.070693090290096,17.070693090290096,60250465//3529468,60250465//3529468,true,true,true,true,true,true,true,true,true,true,true
2022,ideological,all_parties,0,0,ideological/2022/22-32,Ideological 2022/PRTB-PL,51439276,51439276,true,259,259,true,17.820011620503017,17.820011620503017,487437496//27353377,487437496//27353377,true,true,true,true,true,true,true,true,true,true,true
2022,ideological,all_parties,0,0,ideological/2022/23-32,Ideological 2022/AGIR-PL,51200429,51200429,true,259,259,true,18.939878017621005,18.939878017621005,2072278495//109413508,2072278495//109413508,true,true,true,true,true,true,true,true,true,true,true
2022,ideological,all_parties,0,0,ideological/2022/24-32,Ideological 2022/PTB-PL,51041561,51041561,true,259,259,true,19.684752078326564,19.684752078326564,2153777779//109413508,2153777779//109413508,true,true,true,true,true,true,true,true,true,true,true
2022,ideological,all_parties,0,0,ideological/2022/25-32,Ideological 2022/PP-PL,49618909,49618909,true,258,258,true,25.355047998278238,25.355047998278238,2774184747//109413508,2774184747//109413508,true,true,true,true,true,true,true,true,true,true,true
