case_id,baseline_case_id,source_case_id,source_case_ids,analysis_variant,case_domain,ideological_universe,k,gap_count,case_order,registry_order,focal_order,election_year,case_label,case_display,cabinet_period,source_periods,period_start,period_end,period_days,ideology_start_index,ideology_end_index,start_party,end_party,minimal_inversion,minimal_status,observed_coalition,synthetic_ideological_interval,main_text_focal,appendix_minimal,shared_numerical_vector,numerical_vector_group,coalition_parties,coalition_party_count,v_C,V,vote_share,vote_share_pct,s_C,S,seat_share,q_C,A_C,B_C,d_C,r_C,R_C,A_minus_r_C,d_minus_r_C,seat_margin,vote_majority,seat_majority,coalition_inversion,A_accounting_sufficient,positive_B_required,component_sign_pattern,threshold_interpretation,q_C_exact,A_C_exact,B_C_exact,d_C_exact,r_C_exact,R_C_exact,A_minus_r_C_exact,d_minus_r_C_exact,seat_margin_exact,accounting_qualification,interpretation
cabinet/2014/2016.2,cabinet/2014/2016.2,2014/2016.2,cabinet/2014/2016.2,baseline,cabinet,not_applicable,,,1,1,1,2014,2016.2,Cabinet 2014/2016.2,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,,,not applicable,true,false,true,false,false,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,45305141,97355354,0.4653584948188879,46.535849481888796,259,513,0.5048732943469786,238.7289078420895,15.742022264747815,4.529069893162678,20.271092157910495,18.271092157910495,1.0849125995722273,-2.5290698931626783,2.0,2,false,true,true,false,true,"A+, B+",positive B required to meet threshold,1223238807//5123966,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,103868387//5123966,93620455//5123966,189586742//174748401,-129085710207468400798755598533533180457543884993236867569675463622427326123775081997164946907048140339224186378630232116841546602941901723623135581//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,2//1,2//1,accounting attribution; not an independent causal effect,"accounting identity; B combines district seat weights, valid-vote and turnout differences, and coalition vote geography"
cabinet/2014/2017.1,cabinet/2014/2017.1,2014/2017.1,cabinet/2014/2017.1,baseline,cabinet,not_applicable,,,2,2,2,2014,2017.1,Cabinet 2014/2017.1,2017.1,"[""2017.1""]",2017-12-28,2018-04-06,100,,,,,,not applicable,true,false,true,false,false,2014:DEM|PMDB|PP|PPS|PSB|PSD|PSDB|PV,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV",8,48591926,97355354,0.49911919584823244,49.911919584823245,266,513,0.5185185185185185,256.04814747014325,11.268113712983139,-1.3162611831263826,9.951852529856755,0.9518525298567555,1.0388671139712784,10.316261183126382,9.0,9,false,true,true,true,false,"A+, B-",A accounting-sufficient; B offsets,655991001//2561983,15354950331861497703533097637204554465480962876193159307979269023447224076144746179259302959521993105606395253884051020032546184469822042498751//1362690395480256827768974223793307017454297260782482882278253391371448251664190850140406948719822587431854346071858620123189164074909643774020,-4595317389590243307686223473319330938674225051734402052433456397224260675027291516361954235469898418144025929760439029233413082841388076344583455693//3491189627483694828378039888796648092498612859071287842187886458385997106143378666815270215702057232016424493112218563159068544144129233885095081660,25496477//2561983,2438630//2561983,681487478//655991001,36016024036943496763088582472489163771161740783375992632124434522698234630317699517699386176788413506291846367770406097665029980138551181310439190633//3491189627483694828378039888796648092498612859071287842187886458385997106143378666815270215702057232016424493112218563159068544144129233885095081660,9//1,9//1,accounting attribution; not an independent causal effect,"accounting identity; B combines district seat weights, valid-vote and turnout differences, and coalition vote geography"
cabinet/2018/2021.3/2022.1,cabinet/2018/2021.3/2022.1,2018/2021.3/2022.1,cabinet/2018/2021.3/2022.1,baseline,cabinet,not_applicable,,,3,3,3,2018,2021.3/2022.1,Cabinet 2018/2021.3/2022.1,2021.3/2022.1,"[""2021.3"",""2022.1""]",2021-08-04,2022-03-29,238,,,,,,not applicable,true,false,true,false,false,2018:DEM|PATRIOTA|PP|PR|PRB|PSC|PSD|PSDB|PSL,"DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL",9,46426736,98264190,0.47246851574312065,47.24685157431207,257,513,0.5009746588693957,242.3763485762209,19.06897840875699,-4.44532698497789,14.6236514237791,14.6236514237791,1.0603344819314346,4.44532698497789,0.0,0,false,true,true,true,false,"A+, B-",A accounting-sufficient; B offsets,3969485928//16377365,3073495220371231634874373197353913911386487408178985947239965425794066801902088940324673264231814150346235575268153949593002860852798680492794060994751//161177759735665734961824767169644076947398182579066455034753461890444340700053021674867608053224558866015426971158733316553093495348249154139691056760,-2346836590245361388923518608180039334980920469697803326307055155581982221829302482523258207371706664854364039747488881617178200281115112422904115380890094519//527933400214660251892613055595455593651125167286802538672049026078679395965824771064443628752919605502544148627502209692570110810488815701657396284758847480,239496877//16377365,239496877//16377365,4208982805//3969485928,2346836590245361388923518608180039334980920469697803326307055155581982221829302482523258207371706664854364039747488881617178200281115112422904115380890094519//527933400214660251892613055595455593651125167286802538672049026078679395965824771064443628752919605502544148627502209692570110810488815701657396284758847480,0//1,0//1,accounting attribution; not an independent causal effect,"accounting identity; B combines district seat weights, valid-vote and turnout differences, and coalition vote geography"
cabinet/2022/2023.1,cabinet/2022/2023.1,2022/2023.1,cabinet/2022/2023.1,baseline,cabinet,not_applicable,,,4,4,4,2022,2023.1,Cabinet 2022/2023.1,2023.1,"[""2023.1""]",2023-01-01,2023-09-12,255,,,,,,not applicable,true,false,true,false,false,2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,53490123,109413508,0.48888043147286714,48.888043147286716,263,513,0.5126705653021443,250.79566134558084,13.196247377886202,-0.9919087234670415,12.20433865441916,6.20433865441916,1.0486624792029489,6.991908723467041,6.0,6,false,true,true,true,false,"A+, B-",A accounting-sufficient; B offsets,27440433099//109413508,10497487268074346792160899000840248410623615841056399283426289338360898340882412403622135690913235639511058447948596679249499892666036156185733268203//795490336568383810430275798306058116106485073201320908094873835108126063543250118510510096546683857514751193534681368057738706123762929289374450650,-43166572363286509472550572054050582048605050788637235552479576699515170429576631121182046488300368470720107817100720813128065010845452413539741612395078937//43518694152023777294791732250083138067540916704296655394202871558296815959248952593825322266295683308830544915908204070718169192190992126953202885594690100,1335319505//109413508,678838457//109413508,28775752604//27440433099,304278737275429173241300965554549410453850551014417167917696806049296066185070346684133980086074468323703377312549945237437080163991405175258958925963219537//43518694152023777294791732250083138067540916704296655394202871558296815959248952593825322266295683308830544915908204070718169192190992126953202885594690100,6//1,6//1,accounting attribution; not an independent causal effect,"accounting identity; B combines district seat weights, valid-vote and turnout differences, and coalition vote geography"
ideological/2014/08-19,ideological/2014/08-19,2014/8-19,ideological/2014/08-19,baseline,ideological,all_parties,0,0,1,5,,2014,8-19 PSB-PTN,Ideological 2014/PSB-PTN,,,,,,8,19,PSB,PTN,true,endpoint-minimal,false,true,false,true,false,2014:PHS|PMDB|PMN|PPS|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",12,47627762,97355354,0.4892156419050153,48.921564190501535,260,513,0.50682261208577,250.96762429727286,10.508783851460613,-1.476408148733468,9.032375702727146,6.032375702727145,1.0359902028320125,4.476408148733468,3.0,3,false,true,true,true,false,"A+, B-",A accounting-sufficient; B offsets,642974787//2561983,1403943021819941147185345877176847436867696425702929237711885136510778228177627213415344748292227914382569137203610477334016818982730940970157//133597097596103610565585708215030099750421300076714008066495430526612573692567730405922249874492410532534739810966531384626388634795063115100,-505335373999087021438522188884760099754760523945544776353707624431070578344246413304232425824062096569191446565881948851993770212488811371081467031//342273492890558316507650969489867460048883613634439984528224162586862461386605751648555903500201689413374950305119466976379269033738160184813243300,23140793//2561983,15454844//2561983,51239660//49459599,1532155852670761970961475097354362479901411364848864729938380112191657962504063668249900136324667164809316297481240349781131577313703291925521196931//342273492890558316507650969489867460048883613634439984528224162586862461386605751648555903500201689413374950305119466976379269033738160184813243300,3//1,3//1,accounting attribution; not an independent causal effect,"accounting identity; B combines district seat weights, valid-vote and turnout differences, and coalition vote geography"
ideological/2014/08-20,ideological/2014/08-20,2014/8-20,ideological/2014/08-20,baseline,ideological,all_parties,0,0,2,6,,2014,8-20 PSB-PPL,Ideological 2014/PSB-PPL,,,,,,8,20,PSB,PPL,false,nonminimal,false,true,false,false,false,2014:PHS|PMDB|PMN|PPL|PPS|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL",13,47769016,97355354,0.49066655337722875,49.06665533772288,260,513,0.50682261208577,251.71194188251835,9.622248653201956,-1.3341905357203014,8.288058117481654,5.288058117481654,1.0329267576877619,4.334190535720301,3.0,3,false,true,true,true,false,"A+, B-",A accounting-sufficient; B offsets,644881716//2561983,68115043234499433654923252221813424337182646403385735891202882928043198274765395598449181137139533279506577312883904022720625603080302660469//7078911145351983520877788175549646843918427328740170817029887747384146761891900520209906227115961493152490109464200624016567086103426720904,-24196946282564312320981123756568895991855094988133319330170115249415569147525274163835228157938714315193193218086294160758937291260030125334856971//18136050012902310796769038383359210870122664202967729050326682900706478473472096970468936185465232374111296068115421107319836592956515500701792632,21233864//2561983,13547915//2561983,166528895//161220429,78605096321271244711288238906646528602223087597036506481150163951535004567941565075242036714334411437527081422432557482718447070129576627440234867//18136050012902310796769038383359210870122664202967729050326682900706478473472096970468936185465232374111296068115421107319836592956515500701792632,3//1,3//1,accounting attribution; not an independent causal effect,"accounting identity; B combines district seat weights, valid-vote and turnout differences, and coalition vote geography"
ideological/2014/08-21,ideological/2014/08-21,2014/8-21,ideological/2014/08-21,baseline,ideological,all_parties,0,0,3,7,,2014,8-21 PSB-PRTB,Ideological 2014/PSB-PRTB,,,,,,8,21,PSB,PRTB,false,nonminimal,false,true,false,false,false,2014:PHS|PMDB|PMN|PPL|PPS|PRTB|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB",14,48223206,97355354,0.4953318335219653,49.53318335219653,261,513,0.5087719298245614,254.1052305967682,7.709910597712289,-0.8151411944804962,6.894769403231794,2.8947694032317934,1.0271335201838994,4.815141194480496,4.0,4,false,true,true,true,false,"A+, B-",A accounting-sufficient; B offsets,651013281//2561983,17510368535856638795282742730816724243238835972426740979136975894307786385189800048846571802078446783593198323967757434951840519094584338833109//2271150659133761379614957039655511695757162101304138137130422318952413752773651416900678247866370979053090576786431033538648606791516072956700,-4743020805174962300427214503365882178713047823996915312725836291556964376815658700710940003626870035360568101735715546492074339359045347916942505747//5818649379139491380630066481327746820831021431785479736979810763976661843572297778025450359503428720027374155187030938598447573573548723141825136100,17664282//2561983,7416350//2561983,74297507//72334809,28017618321732927822947480428676869462037133551138834260645079347463611751104849812812741441640584915470064722483839300885864633653240240484243050147//5818649379139491380630066481327746820831021431785479736979810763976661843572297778025450359503428720027374155187030938598447573573548723141825136100,4//1,4//1,accounting attribution; not an independent causal effect,"accounting identity; B combines district seat weights, valid-vote and turnout differences, and coalition vote geography"
ideological/2014/10-24,ideological/2014/10-24,2014/10-24,ideological/2014/10-24,baseline,ideological,all_parties,0,0,4,8,,2014,10-24 PV-PR,Ideological 2014/PV-PR,,,,,,10,24,PV,PR,false,nonminimal,false,true,false,false,false,2014:PHS|PMDB|PMN|PPL|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,"PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",15,48337100,97355354,0.49650171268444054,49.650171268444055,265,513,0.5165692007797271,254.705378607118,10.217017963040158,0.07760342984184004,10.294621392881998,2.294621392881998,1.0404177620793844,7.92239657015816,8.0,8,false,true,true,true,false,"A+, B+",A accounting-sufficient; B reinforces,652550850//2561983,66046642545939662919386631326003530004196569043531968063827883158236451627148843658709001216832555042826902417356144700163074839362946152339//6464375690134045672528340720082101600826837100486161680636875670642543888350051471254302413281890832219422894079025712159341385554599828150,1285238564141321601522319046721298764997996450296679603331018144945917903074567362789667808448835762255045000281557436716917511635099712309328513//16561620623736692734241175943058102905591142595214837961043104641299796518706729918478511459687178520002013724441264531115125920987330331523221450,26374645//2561983,5878781//2561983,135785099//130510170,131207726425752220272407088497743524479731144311422024085013818985452454246579271985038423869048592397761064795248558812204089856263542939876443087//16561620623736692734241175943058102905591142595214837961043104641299796518706729918478511459687178520002013724441264531115125920987330331523221450,8//1,8//1,accounting attribution; not an independent causal effect,"accounting identity; B combines district seat weights, valid-vote and turnout differences, and coalition vote geography"
ideological/2014/11-24,ideological/2014/11-24,2014/11-24,ideological/2014/11-24,baseline,ideological,all_parties,0,0,5,9,,2014,11-24 PTB-PR,Ideological 2014/PTB-PR,,,,,,11,24,PTB,PR,true,endpoint-minimal,false,true,false,true,false,2014:PHS|PMDB|PMN|PPL|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|SOLIDARIEDADE,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",14,46332636,97355354,0.47591256254894826,47.59125625489482,257,513,0.5009746588693957,244.14314458761046,11.620538081371619,1.2363173310179254,12.856855412389544,12.856855412389544,1.052661136294064,-1.2363173310179254,0.0,0,false,true,true,false,true,"A+, B+",positive B required to meet threshold,625490586//2561983,455034357293036646048617865961440540941287600020868682543435802014415815317952155408916057616316570087629039773320670269710678990454168123331//39157769985064851372671673097508822340640725884554105812593488257800237116787093394839280135627085845742940979076397129976700117095104706150,124029259837014561729167864294643165572987369379727286387099190078354537624787307780812828115003108708975681136570092722569199616500182184470701377//100321541019646403114311491057374945186741748823887581672065702827183824889177547896990523439714288276334037158397085148249096096095667640376295450,32939045//2561983,32939045//2561983,658429631//625490586,-124029259837014561729167864294643165572987369379727286387099190078354537624787307780812828115003108708975681136570092722569199616500182184470701377//100321541019646403114311491057374945186741748823887581672065702827183824889177547896990523439714288276334037158397085148249096096095667640376295450,0//1,0//1,accounting attribution; not an independent causal effect,"accounting identity; B combines district seat weights, valid-vote and turnout differences, and coalition vote geography"
ideological/2014/12-27,ideological/2014/12-27,2014/12-27,ideological/2014/12-27,baseline,ideological,all_parties,0,0,6,10,,2014,12-27 PT DO B-PSDC,Ideological 2014/PT DO B-PSDC,,,,,,12,27,PT DO B,PSDC,true,endpoint-minimal,false,true,false,true,false,2014:PHS|PMDB|PMN|PPL|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PT DO B|PTC|PTN|SOLIDARIEDADE,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",16,47691320,97355354,0.48986848735612426,48.986848735612426,257,513,0.5009746588693957,251.30253401369174,6.266582879572128,-0.5691168932638662,5.697465986308262,5.697465986308262,1.022671741089558,0.5691168932638662,0.0,0,false,true,true,true,false,"A+, B-",A accounting-sufficient; B offsets,643832820//2561983,2082783488408280464485495227360223772433920172586564902178493578363818612508106063649694992114029082461919691995711907932677094810811849494919//332363511092745567748530298486172443281535917264020215189817900334499573576631914668391938712151850593135206358989907347119308310953571652200,-484608535265501085730950224301782913182772531509305126472862497777744045250665022284791721676412604364803893590076152567671923528969659422419930177//851509665239925567897082899706499534755759233919826302972655233752682221010580162637870784317574934638152315393224039794894766864421764362218312600,14596811//2561983,14596811//2561983,658429631//643832820,484608535265501085730950224301782913182772531509305126472862497777744045250665022284791721676412604364803893590076152567671923528969659422419930177//851509665239925567897082899706499534755759233919826302972655233752682221010580162637870784317574934638152315393224039794894766864421764362218312600,0//1,0//1,accounting attribution; not an independent causal effect,"accounting identity; B combines district seat weights, valid-vote and turnout differences, and coalition vote geography"
