election,domain,ideological_universe,k,gap_count,case_identifier,case,case_order,cabinet_period,source_periods,period_start,period_end,period_days,coalition_start_party,coalition_end_party,minimal_ideological_inversion,coalition_parties,coalition_party_count,coalition_vote_total,coalition_vote_share,coalition_seats,coalition_quota_q_C,d_C,gross_positive_party_contribution,gross_negative_party_contribution,net_party_contribution,positive_party_count,negative_party_count,zero_party_count,largest_positive_contributor,largest_positive_d_i,second_largest_positive_contributor,second_largest_positive_d_i,largest_negative_contributor,largest_negative_d_i,second_largest_negative_contributor,second_largest_negative_d_i,largest_positive_share_of_gross_positive,top_two_positive_share_of_gross_positive,largest_negative_share_of_gross_negative,top_two_negative_share_of_gross_negative,cancellation_share,d_C_exact,gross_positive_party_contribution_exact,gross_negative_party_contribution_exact,net_party_contribution_exact,largest_positive_d_i_exact,second_largest_positive_d_i_exact,largest_negative_d_i_exact,second_largest_negative_d_i_exact,contribution_vector_group,contribution_vector_repeated,exact_closure_pass
2014,cabinet,not_applicable,,,cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2016.2,"[""2016.2""]",2016-04-14,2016-04-15,2,,,,"PCdoB, PDT, PMDB, PR, PSD, PT, PTB",7,45305141,0.4653584948188879,259,238.7289078420895,20.271092157910495,22.77317218732521,2.502080029414715,20.271092157910495,5,2,0,PMDB,8.133380861621642,PSD,4.552732200018501,PT,-2.4217233291555798,PCdoB,-0.0803567002591352,0.35714747136318636,0.5570639416102432,0.9678840407523127,1.0,0.19798655285090094,103868387//5123966,58344480//2561983,12820573//5123966,103868387//5123966,41675167//5123966,23328045//5123966,-6204414//2561983,-411745//5123966,2014:PCdoB|PDT|PMDB|PR|PSD|PT|PTB,false,true
2014,cabinet,not_applicable,,,cabinet/2014/2017.1,Cabinet 2014/2017.1,2,2017.1,"[""2017.1""]",2017-12-28,2018-04-06,100,,,,"DEM, PMDB, PP, PPS, PSB, PSD, PSDB, PV",8,48591926,0.49911919584823244,266,256.04814747014325,9.951852529856755,17.77757717361903,7.825724643762273,9.951852529856755,4,4,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PV,-2.5622340195075455,0.4575078359772862,0.7136019119897651,0.5661309317221309,0.8935426585773366,0.6113058932461302,25496477//2561983,91091701//5123966,932529//119162,25496477//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-6564400//2561983,2014:DEM|PMDB|PP|PPS|PSB|PSD|PSDB|PV,false,true
2018,cabinet,not_applicable,,,cabinet/2018/2021.3/2022.1,Cabinet 2018/2021.3/2022.1,3,2021.3/2022.1,"[""2021.3"",""2022.1""]",2021-08-04,2022-03-29,238,,,,"DEM, PATRIOTA, PP, PR, PRB, PSC, PSD, PSDB, PSL",9,46426736,0.47246851574312065,257,242.3763485762209,14.6236514237791,27.53602453752481,12.91237311374571,14.6236514237791,5,4,0,PP,8.763869279337671,PR,5.724395499520222,PSL,-7.697795432903889,PATRIOTA,-2.4775149726466985,0.31826922827566045,0.5261567354835104,0.5961565209658707,0.7880279105874493,0.6384615393208349,239496877//16377365,901935049//32754730,84588259//6550946,239496877//16377365,143529086//16377365,187501029//32754730,-252139211//32754730,-40575167//16377365,2018:DEM|PATRIOTA|PP|PR|PRB|PSC|PSD|PSDB|PSL,false,true
2022,cabinet,not_applicable,,,cabinet/2022/2023.1,Cabinet 2022/2023.1,4,2023.1,"[""2023.1""]",2023-01-01,2023-09-12,255,,,,"MDB, PCdoB, PDT, PSB, PSD, PSOL, PT, REDE, UNIÃO",9,53490123,0.48888043147286714,263,250.79566134558084,12.20433865441916,26.46131885287875,14.25698019845959,12.20433865441916,5,4,0,UNIÃO,11.103563583757866,PT,6.937954845575375,PSOL,-6.0617753157133025,PSB,-5.574577455280933,0.4196148969555197,0.6818072269806948,0.42517947218361524,0.8161863598752488,0.7002738587132111,1335319505//109413508,1447612861//54706754,1559906217//109413508,1335319505//109413508,1214879843//109413508,379552989//54706754,-10697421//1764734,-609934075//109413508,2022:MDB|PCdoB|PDT|PSB|PSD|PSOL|PT|REDE|UNIÃO,false,true
2014,ideological,all_parties,0,0,ideological/2014/08-19,Ideological 2014/PSB-PTN,1,,,,,,PSB,PTN,true,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN",12,47627762,0.4892156419050153,260,250.96762429727286,9.032375702727146,19.611551481801403,10.579175779074257,9.032375702727146,8,4,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.4147239890311094,0.6468694265934166,0.4187835495405354,0.7289528721914527,0.7008228511794661,23140793//2561983,100488923//5123966,54207337//5123966,23140793//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPS|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,false,true
2014,ideological,all_parties,0,0,ideological/2014/08-20,Ideological 2014/PSB-PPL,2,,,,,,PSB,PPL,false,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL",13,47769016,0.49066655337722875,260,251.71194188251835,8.288058117481654,19.611551481801403,11.323493364319747,8.288058117481654,8,5,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.4147239890311094,0.6468694265934166,0.3912560056717205,0.6810372313083176,0.7320819103800049,21233864//2561983,100488923//5123966,58021195//5123966,21233864//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPL|PPS|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,false,true
2014,ideological,all_parties,0,0,ideological/2014/08-21,Ideological 2014/PSB-PRTB,3,,,,,,PSB,PRTB,false,"PSB, PPS, PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB",14,48223206,0.4953318335219653,261,254.1052305967682,6.894769403231794,19.611551481801403,12.716782078569608,6.894769403231794,8,6,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.4147239890311094,0.6468694265934166,0.3483888264028748,0.6064207534522639,0.7867267302734219,17664282//2561983,100488923//5123966,65160359//5123966,17664282//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPL|PPS|PRTB|PSB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,false,true
2014,ideological,all_parties,0,0,ideological/2014/10-24,Ideological 2014/PV-PR,4,,,,,,PV,PR,false,"PV, PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",15,48337100,0.49650171268444054,265,254.705378607118,10.294621392881998,23.525543104696634,13.230921711814638,10.294621392881998,9,6,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.34572553013655594,0.5392484673013772,0.3348508048398348,0.582855883931971,0.7199235170119631,26374645//2561983,120544083//5123966,67794793//5123966,26374645//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPL|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|PV|SOLIDARIEDADE,false,true
2014,ideological,all_parties,0,0,ideological/2014/11-24,Ideological 2014/PTB-PR,5,,,,,,PTB,PR,true,"PTB, PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR",14,46332636,0.47591256254894826,257,244.14314458761046,12.856855412389544,23.525543104696634,10.668687692307092,12.856855412389544,9,5,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.34572553013655594,0.5392484673013772,0.4152698918320207,0.7228368466662629,0.6240051285634965,32939045//2561983,120544083//5123966,54665993//5123966,32939045//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPL|PR|PROS|PRP|PRTB|PSD|PSDB|PT DO B|PTB|PTN|SOLIDARIEDADE,false,true
2014,ideological,all_parties,0,0,ideological/2014/12-27,Ideological 2014/PT DO B-PSDC,6,,,,,,PT DO B,PSDC,true,"PT DO B, SOLIDARIEDADE, PMN, PHS, PMDB, PSD, PSDB, PTN, PPL, PRTB, PROS, PRP, PR, PRB, PTC, PSDC",16,47691320,0.48986848735612426,257,251.30253401369174,5.697465986308262,19.36915994368425,13.671693957375986,5.697465986308262,9,7,0,PMDB,8.133380861621642,PSD,4.552732200018501,PSDB,-4.4303847839739765,PT DO B,-3.281335785600451,0.4199139707281789,0.6549645466569002,0.32405529247410847,0.5640647452771493,0.8275629920652432,14596811//2561983,99246917//5123966,70053295//5123966,14596811//2561983,41675167//5123966,23328045//5123966,-22701141//5123966,-16813453//5123966,2014:PHS|PMDB|PMN|PPL|PR|PRB|PROS|PRP|PRTB|PSD|PSDB|PSDC|PT DO B|PTC|PTN|SOLIDARIEDADE,false,true
