case_id,case_display,focal_order,election_year,case_domain,ideological_universe,k,gap_count,aggregation_level,component,unit_count,positive_count,negative_count,gross_positive,gross_negative_magnitude,gross_absolute,net_component,cancellation_share,absolute_hhi,largest_positive_unit,largest_positive_value,largest_positive_share,largest_negative_unit,largest_negative_value,largest_negative_share,gross_positive_exact,gross_negative_magnitude_exact,gross_absolute_exact,net_component_exact
cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2014,cabinet,not_applicable,,,party,A,7,4,3,17.681947251978418,1.9399249872306041,19.621872239209022,15.742022264747815,0.19773087538040202,0.2098626465774598,PR,5.0428381901786,0.285196993199624,PT,-1.215411226585322,0.6265248577061825,4154313740286122909384693943749808323420922530687933686298978602374665789587604444303519337730041655551956216544427820688658345984002468144989//234946619910389108236030038585052934043844355307324634875560929546801422700722560369035680813762515074457645874458382779860200702570628236900,528703429610260842551634017713220822348838945280389727967115747418026510472341305378653471175491057092244783380022653133253940251035831533145//272538079096051365553794844758661403490859452156496576455650678274289650332838170028081389743964517486370869214371724024637832814981928754804,308047659466714482571306393575057515986008587608202350465088186991511453133292768477576952934466554005329147152739569420051706312930800379109//15699198104611253776140256034485103887722318672609249795832412342989035157421553573046163003684592021104312742763348158101257650632599582650,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775
cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2014,cabinet,not_applicable,,,party,B,7,4,3,6.566984067334776,2.0379141741720974,8.604898241506872,4.529069893162678,0.4736637475483316,0.3055548215706664,PMDB,4.224685645373679,0.6433220489125195,PT,-1.2063121025702577,0.5919346937465225,19105488883108211545449002616320825607048889475732966443772985744952115586885838634919719747134154923158503723993747381774277636478290278127106860551//2909324689569745690315033240663873410415510715892739868489905381988330921786148889012725179751714360013687077593515469299223786786774361570912568050,2964477011071510659644933509290843750068933299666492627660836777248548077129180591527933706964491101897675472612396606257930953268526578369381498167//1454662344784872845157516620331936705207755357946369934244952690994165460893074444506362589875857180006843538796757734649611893393387180785456284025,385145275465403582534444148229269432418257785770245410755302450760757103709910766430393648631740571183905456449516009142925223738697591305628767029//44758841377996087543308203702521129391007857167580613361383159722897398796709982907888079688487913230979801193746391835372673642873451716475577970,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650
cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2014,cabinet,not_applicable,,,state,A,27,20,7,20.416689269602788,4.674667004854971,25.09135627445776,15.742022264747815,0.37261174355996385,0.0766261595753193,RJ,4.719045361414271,0.23113665977373624,MT,-1.3255823546072767,0.2835672259073354,162119946687237610223620426035802589326107613287998317993514671175412213016531243028751434858104317480703//7940560026478362860920510715012276935547190368079184416747754366987678261526811013962669449544393332550,150522933930297603860965817696275738258781//32199712572888918573373500468194733897354,749819083438089161571338029813906187330551109373685154512736333812141048523032543494872426777695023187446544227022121244650969230995064138427//29883561304391597100196803153361995996804764490843922856979241038847549378600676538166819050873302355961718115610934651824323773572579907325,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775
cabinet/2014/2016.2,Cabinet 2014/2016.2,1,2014,cabinet,not_applicable,,,state,B,27,19,8,23.83268542138838,19.303615528225702,43.13630094961408,4.529069893162678,0.8950056033211351,0.15505334590146486,AC,3.0431133715438876,0.12768654970005516,SP,-15.331280017322854,0.7942180569699749,4162572933165415338796402224554053708126979934848489535546473367572769326203589353179125506358724561777009//174658157885546556164936922676946689211085625368449978591195370051012799930203397259110175009108121964850,499084709738738378634453940630968452851976375726886682564//25854467988599227723051320259196581616745026330563810463,2201710620516194996999918853642430925318094044119731926161951387658430361091046663427531477861012169067983461500658086982307716539409500794523347281//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650
cabinet/2014/2017.1,Cabinet 2014/2017.1,2,2014,cabinet,not_applicable,,,party,A,8,6,2,12.921274833281611,1.6531611202984722,14.574435953580082,11.268113712983139,0.22685764657566565,0.22074673982599194,PSD,4.645941310001025,0.35955750264164127,PV,-1.4035201183314603,0.8489917292986299,136705722924484527928695283015354787828764609626014922834450789484107692284575480287995700753346327497116932010812773380241559367049001224791//10579894374846714501311911675413874359117214757627972688495756144188262823479742625313718545961355492483341196210082454372586677600230153525,1023975809460049769855843097805973730392690383471619433226360300957203040958443491742974226140460852737393449594833723337530300911858779661059//619404725218298558076806465360594098842862391264764946490115177896112841665541295518366794872646630650842884578117554601449620034049838079100,33100739822476194484831345445918064798681334272447141356958757246098195760603162571547315924233368096084877386835532337862799180803334455012351//2271150659133761379614957039655511695757162101304138137130422318952413752773651416900678247866370979053090576786431033538648606791516072956700,15354950331861497703533097637204554465480962876193159307979269023447224076144746179259302959521993105606395253884051020032546184469822042498751//1362690395480256827768974223793307017454297260782482882278253391371448251664190850140406948719822587431854346071858620123189164074909643774020
cabinet/2014/2017.1,Cabinet 2014/2017.1,2,2014,cabinet,not_applicable,,,party,B,8,3,5,6.022185103384174,7.338446286510557,13.36063138989473,-1.3162611831263826,0.9014821122808663,0.2649978985993885,PMDB,4.224685645373679,0.701520390497398,PSDB,-5.011331274299147,0.6828872323438432,11257544531870662936903697208907874046165835854957357523915858450600785909767121705006847125099286760629216203186450176512796257206693664285077427//1869345484838131735049282442062887177392703394233930093268305021624543320916351824167525281485359408875789512268268667358678809244018651684030350,283718021334430705982546831147031985471785792059551796600451310839200275968358659993762410507851845638845701034449974627950549307541801092832097//38661865231058208122404944029127692313214008091544107593835328429556360712369338263702236925358826320272783271785775101816250879220395367086100,21202044420469792504367687858196373670869479607805056307165441309958325547813383867683422553245797421111942859955667149338186210345377386901002118647//1586904376128952194717290858543930951135733117759676291903584753811816866428808484916031916228207832734738405960099346890485701883695106311406855300,-4595317389590243307686223473319330938674225051734402052433456397224260675027291516361954235469898418144025929760439029233413082841388076344583455693//3491189627483694828378039888796648092498612859071287842187886458385997106143378666815270215702057232016424493112218563159068544144129233885095081660
cabinet/2014/2017.1,Cabinet 2014/2017.1,2,2014,cabinet,not_applicable,,,state,A,27,20,7,15.956706535289713,4.688592822306575,20.645299357596286,11.268113712983139,0.454204392108409,0.05565010936815773,SP,2.472405922752327,0.1549446257775297,CE,-1.7190376961864156,0.3666425644828606,1319405316516350240171793877823672183489431393388148764614557732991804581158109868460221740302521671416719931//82686569035932632918237078727149667993928664560119501161835320385059429593373858515997379271147984348577940,15677473890235978437429905402159688673676//3343748217087312351956191623663547374035,330978248781307962537717087672761507462671276016441345428484898431792897148846720640331333213229340900846105362710783948880910429483736995427//16031651711532433267870284985803611970050556009205680967979451663193508843108127648710669984939089263904168777315983766155166636175407573812,15354950331861497703533097637204554465480962876193159307979269023447224076144746179259302959521993105606395253884051020032546184469822042498751//1362690395480256827768974223793307017454297260782482882278253391371448251664190850140406948719822587431854346071858620123189164074909643774020
cabinet/2014/2017.1,Cabinet 2014/2017.1,2,2014,cabinet,not_applicable,,,state,B,27,19,8,22.913971837590076,24.230233020716458,47.14420485830654,-1.3162611831263826,0.9720801064079361,0.20454088675314913,TO,3.1081790588417175,0.13564558256734827,SP,-20.144883843175688,0.8313945567899464,273744468392042611407136163138854292808182588107409365364390384630514571482808184282228198955255430748599279//11946617999371384441681685511103153542038256775201978535637763311489275515225912372523135970622995542395740,9396896759856205121045927787279666754845178459450065077483//387817019828988415845769803887948724251175394958457156945,52333659458596563979852027522376394979928878940970434035429792942223656013940312551378135307761707949508735829578980910588104214109295445885220867//1110076193158567512997786928075245816374757665841426976848294581362797172064667302643965092433086560259594433422009082085554386055367006004799708,-4595317389590243307686223473319330938674225051734402052433456397224260675027291516361954235469898418144025929760439029233413082841388076344583455693//3491189627483694828378039888796648092498612859071287842187886458385997106143378666815270215702057232016424493112218563159068544144129233885095081660
cabinet/2018/2021.3/2022.1,Cabinet 2018/2021.3/2022.1,3,2018,cabinet,not_applicable,,,party,A,9,6,3,27.32827323324751,8.259294824490523,35.58756805773804,19.06897840875699,0.4641674199872532,0.13861970659566772,PP,7.318776629343754,0.2678096990204177,PSC,-3.073116754686265,0.3720797985772147,2364733280518428412239650895431943052026839354241313190978598201232925471987792761633709967574036867677635573827651803231980437280220571578249660401//86530651253936507674565909360939912462812195371725011650726625925435401234817298680136511123778395955269556355310701494212469664646518873017013810,61440675544973585584185378640183939085638709030207696453361699555498263565561832785156177017050393316060320934530098887404586168668869423090414143639//7438973526261495459776527715522034320649146888264605616988621318020508032310139461916966525533441178431481244822710768456296622862226884037216510312,17207773481960261030567218815285653815292494398463958380656917219596974669229305083044322804911993582126548447293374704141604784485349066480136021657323//483533279206997204885474301508932230842194547737199365104260385671333022100159065024602824159673676598046280913476199949659280486044747462419073170280,3073495220371231634874373197353913911386487408178985947239965425794066801902088940324673264231814150346235575268153949593002860852798680492794060994751//161177759735665734961824767169644076947398182579066455034753461890444340700053021674867608053224558866015426971158733316553093495348249154139691056760
cabinet/2018/2021.3/2022.1,Cabinet 2018/2021.3/2022.1,3,2018,cabinet,not_applicable,,,party,B,9,5,4,4.05849504176237,8.50382202674026,12.56231706850263,-4.44532698497789,0.6461379727372418,0.2266566119636202,PP,1.4450926499939176,0.35606613661560554,PSL,-5.276539936713024,0.620490400683475,22915669381304250887734767098900703755839051631037044049550786711749117792283304378119410632926389863109806119096444304740206174707290025603174929866545431//5646346526360002694038642305833749664717916227666337312000524343087480170757484182507418489336038561524536348957242884412514554122875034242325093954640080,1795780670958923538770687732770902054460748718879906777976021485252209894163116576750969240620129646822052364753202569644154991046498691926720388529364836927//211173360085864100757045222238182237460450066914721015468819610431471758386329908425777451501167842201017659451000883877028044324195526280662958513903538992,1658016691137314076232480013918617734330705781175432640893263067669766812246570100307896998932235392313974446004630991650899188737844586802674456816483522529//131983350053665062973153263898863898412781291821700634668012256519669848991456192766110907188229901375636037156875552423142527702622203925414349071189711870,-2346836590245361388923518608180039334980920469697803326307055155581982221829302482523258207371706664854364039747488881617178200281115112422904115380890094519//527933400214660251892613055595455593651125167286802538672049026078679395965824771064443628752919605502544148627502209692570110810488815701657396284758847480
